,ncm_ind,volume_raw,volume,perimeter_raw,perimeter,dist_from_center,dist_mean,contact_area,contact_area_mean,contact_area_extended_pore,contact_area_extended_ncm,concated_pore_number
10,10,[16514.0],16514.0,[4023.200469136238],4023.200469136238,"[[561.898567358914, 561.898567358914, 561.1105060502788, 561.1105060502788, 561.1105060502788, 561.1105060502788, 561.1105060502788, 561.1105060502788, 561.1105060502788, 561.8433945504744, 562.5237772752366, 562.5237772752366, 563.2051136131489, 563.9370532249145, 563.9370532249145, 563.9370532249145, 564.6184552421219, 565.3008048817903, 565.3008048817903, 565.3008048817903, 564.5706333134942, 565.2548097982007, 565.2548097982007, 565.2123494758408, 564.4856065481209, 564.4856065481209, 564.4856065481209, 564.4856065481209, 564.4856065481209, 564.4484033107012, 564.4484033107012, 564.4484033107012, 564.4484033107012, 565.1380362353962, 565.1380362353962, 565.1061847122185, 565.1061847122185, 565.0778707399538, 565.0778707399538, 565.0530948503866, 565.0530948503866, 565.0530948503866, 565.0530948503866, 565.7490609802194, 565.7490609802194, 565.7490609802194, 565.7490609802194, 566.4459374026792, 566.4459374026792, 566.4459374026792, 566.4459374026792, 565.7296173968621, 565.7296173968621, 566.4282831921442]]",[564.2969831853593],191.30287432670593,7.97095309694608,492.5883718729019,809.8455154895782,22
11,11,[4762.0],4762.0,[1541.947388768196],1541.947388768196,"[[603.7549171642414, 603.7549171642414, 603.7549171642414, 603.0961780678103, 603.0961780678103, 603.0961780678103, 603.0961780678103, 603.0961780678103, 602.4383785915369, 602.4383785915369, 602.1644293712474, 602.1644293712474, 601.4158295223032, 601.4158295223032, 602.0797289396148, 602.0797289396148, 601.9983388681401, 601.2528586210631, 601.9202604996779, 601.1763468400932, 600.3615577300066, 600.3615577300066, 600.3615577300066, 600.3615577300066]]",[602.1140171012576],352.9829295873642,23.53219530582428,500.03758347034454,948.809681892395,14
12,12,[3253.0],3253.0,[1009.0579986572266],1009.0579986572266,"[[296.84002425549016, 296.84002425549016, 296.84002425549016, 297.83384629689084, 297.83384629689084, 297.83384629689084, 298.82770955853476, 297.83384629689084, 298.82770955853476, 297.83384629689084, 297.83384629689084, 296.84002425549016, 296.84002425549016, 297.7247050548543, 297.7247050548543, 297.7247050548543, 297.7247050548543, 297.7247050548543, 297.7247050548543, 297.7247050548543]]",[297.64657767799224],101.85099947452545,10.185099947452546,213.9967222213745,464.92967545986176,8
13,13,[3342.0],3342.0,[941.3056915998459],941.3056915998459,"[[171.39719951037708, 170.46993869888027, 170.46993869888027, 170.46993869888027, 170.46993869888027, 170.46993869888027, 169.1685549976709, 169.1685549976709, 169.1685549976709, 169.72919607421701, 169.72919607421701, 169.72919607421701, 169.72919607421701, 168.7986966774329, 168.7986966774329, 167.31407591712062]]",[169.69255072291534],349.0519605875015,29.087663382291794,474.20315539836884,1028.7448662519455,13
14,14,"[15836.5, 2496.5]",18333.0,"[3670.791307926178, 922.8082177639008]",4593.599525690079,"[[523.6458727040632, 522.7083316726452, 522.7083316726452, 522.7083316726452, 521.7710225759955, 520.4853504182419, 520.4853504182419, 520.4853504182419, 520.13844310914, 520.13844310914, 519.7932281205672, 519.7932281205672, 519.449708826562, 519.1078885934985, 519.1078885934985, 518.7677707799512, 518.4293587365592, 518.0926558058896, 518.0926558058896, 518.700298823897, 518.700298823897, 518.3676301622238, 518.3676301622238, 518.0366782381341, 518.0366782381341, 518.0366782381341, 518.9807318195927, 518.9807318195927, 519.5969591904864, 519.5969591904864, 520.2163011671203, 520.2163011671203, 520.2163011671203, 521.7853964993654, 521.1679191968745, 521.1679191968745, 520.2547452931112, 520.2547452931112, 519.6546930414465, 519.6546930414465, 511.9736321335309, 511.02446125405777], [521.8620507375489, 521.8620507375489, 521.8620507375489, 522.518899179733, 522.518899179733, 523.4739726099092, 525.0904683956851, 525.0904683956851, 524.79805639884, 524.79805639884, 524.5073879365285, 520.7705828865528, 520.7705828865528, 519.52670768691, 518.5682211628476, 517.0415844011002, 516.0823577686027]]","[519.4975617693324, 521.831905735304]",892.5385308265686,42.50183480126517,1220.9714888334274,2898.897999048233,44
15,15,[1091.5],1091.5,[499.10259318351746],499.10259318351746,"[[752.3961722390671, 751.7346606349876, 751.7346606349876, 751.7346606349876, 751.7346606349876, 750.9846869277695, 750.9846869277695, 750.9846869277695, 750.9846869277695, 750.9846869277695, 750.9846869277695]]",[751.3857214859669],11.071067690849304,5.535533845424652,14.071067690849304,66.9443428516388,1
16,16,[5924.5],5924.5,[1530.8763210773468],1530.8763210773468,"[[673.2325007009094, 674.1965588758222, 674.1965588758222, 674.4627491566899, 675.4265319040999, 675.4265319040999, 675.4265319040999, 675.1607216063446, 675.1607216063446, 676.1249884451838, 676.1249884451838, 676.8256791818703, 676.8256791818703, 676.8256791818703, 677.7905281132217, 677.5285971824363, 677.5285971824363, 677.5285971824363, 677.5285971824363, 677.5285971824363, 678.4939203854371, 678.233735521907, 678.233735521907, 677.9749257900324]]",[676.4077605089541],52.9990473985672,8.833174566427866,83.54419982433319,159.5053893327713,2
17,17,[9607.0],9607.0,[2298.204309940338],2298.204309940338,"[[116.46887996370532, 116.46887996370532, 115.10430052782563, 115.10430052782563, 115.10430052782563, 115.10430052782563, 115.6027681329474, 114.73883387938018, 114.73883387938018, 115.24755962709145, 115.24755962709145, 116.1077086157504, 116.61903789690601, 116.61903789690601, 117.13667231059623, 117.99152511939153, 118.51160280748886, 118.51160280748886, 118.51160280748886, 117.66052864066182, 117.66052864066182, 116.81181447096864, 116.81181447096864, 116.81181447096864, 117.34564329364768, 116.50321883965266, 116.50321883965266, 116.50321883965266, 116.50321883965266, 117.04699910719626, 116.50321883965266]]",[116.50337241096636],270.3850783109665,15.905004606527442,372.38104689121246,853.9547854661942,8
18,18,[1301.5],1301.5,[478.3036036491394],478.3036036491394,"[[465.6790740413402, 464.8440598738463, 464.8440598738463, 464.8440598738463, 465.6790740413402, 465.6790740413402, 465.6790740413402, 465.6790740413402, 467.0642354109336, 466.51473717343595]]",[465.65065224126084],0.0,0.0,8.927446603775024,11.577728152275085,1
19,19,[26374.0],26374.0,[3869.69881939888],3869.69881939888,"[[696.9167812587095, 696.9167812587095, 695.0136689303312, 695.0136689303312, 694.2398720903316, 693.6065166937232, 692.9740254872472, 692.3424008393534, 691.7116451238912, 692.4882670486194, 691.8590896996295, 691.2307863514183, 691.3826726205973, 692.1625531621889, 692.1625531621889, 692.1625531621889, 692.1625531621889, 691.5374176427476, 692.1625531621889, 691.5374176427476, 691.5374176427476, 691.5374176427476, 691.5374176427476, 690.9131638635929, 691.695019499201, 691.0723551119665, 691.0723551119665, 691.0723551119665, 691.8554762376316, 691.2344030790134, 691.2344030790134, 690.614219372871, 690.614219372871, 689.9949275175869, 689.9949275175869]]",[692.1589672923669],775.0714765787125,40.79323560940592,1146.5591737031937,2342.1757934093475,38
