,ncm_ind,volume_raw,volume,perimeter_raw,perimeter,dist_from_center,dist_mean,contact_area,contact_area_mean,contact_area_extended_pore,contact_area_extended_ncm,concated_pore_number
14,14,"[402541.0, 764.0, 83.0, 100.5, 126.0, 88121.5, 690.5, 11606.0, 1629.5, 528.5]",506190.5,"[31997.640330910683, 312.8061298131943, 36.79898953437805, 41.870057225227356, 44.38477599620819, 11876.040882587433, 212.2670258283615, 2097.9007062911987, 309.3208485841751, 190.53910398483276]",47119.56885075569,"[[876.5688792102991, 876.0296798625033, 876.8722826044851, 876.3344110555057, 876.3344110555057, 862.9913093421045, 862.9913093421045, 859.9255781752279, 859.0838143045182, 861.2096144377396, 862.0469824783333, 862.0469824783333, 865.9105034586427, 865.9105034586427, 870.0649401050475, 870.9006832010181, 873.6704184073077, 874.5061463477543, 877.2758973093926, 878.947666246404, 880.3323236142134, 881.1685423345525, 882.0051020260597, 882.0051020260597, 882.0051020260597, 882.842001719447, 883.3894950699832, 884.2262153996567, 885.6105238760434, 885.6105238760434, 885.6105238760434, 885.6105238760434, 885.6105238760434, 884.773982438453, 884.773982438453, 884.773982438453, 884.773982438453, 884.773982438453, 884.773982438453, 885.3225400948515, 885.3225400948515, 885.3225400948515, 885.3225400948515, 885.8718869001318, 885.8718869001318, 885.5873757004443, 885.5873757004443, 886.1388153105585, 886.1388153105585, 885.8577763952857, 885.8577763952857, 886.4113040795452, 886.4113040795452, 886.9656137641414, 886.9656137641414, 887.5207039838564, 888.0765732750752, 888.9077567441967, 888.6332201757933, 888.6332201757933, 888.6332201757933, 889.1906432256246, 889.2114484193285, 888.3839260139729, 888.6827330380623, 879.7681512762325, 880.3527702006736, 879.5419262320586, 879.3179174792243, 878.2875383381003, 878.2875383381003, 877.8524933039719, 877.8524933039719, 877.0461789438456, 876.0279675900764, 876.0279675900764, 890.0724689596909, 890.6368507983486, 891.2019973047637, 891.2019973047637, 891.7679070251407, 890.9438815099411, 890.6879363727792, 889.8651583245633, 890.8338790144883, 890.8338790144883, 890.8338790144883, 890.2595127264858, 891.3254175664464, 891.574450060117, 894.5490484037194, 894.5490484037194, 894.8072418124476, 894.8072418124476], [848.6978260841723, 849.2496688253697, 849.8470450616393, 850.9788481507634], [884.4868568836962], [830.1451680278576], [919.2306565819049], [857.5529138193165, 857.5529138193165, 857.5529138193165, 855.5255694600834, 856.9305689494336, 855.5255694600834, 855.5255694600834, 855.5255694600834, 855.5255694600834, 859.4242258628739, 859.4242258628739, 860.0494171848499, 860.0494171848499, 862.5508680651826, 862.5508680651826, 861.928651339541, 861.928651339541, 861.307146144742, 861.307146144742, 854.9573088757122, 854.3424371995108, 853.7282940139679, 848.1804053383926, 847.5570777239725, 847.5570777239725, 848.3395546595715, 848.3395546595715, 860.0662765159439, 849.1224882194559, 848.5010312309585, 849.2849933914999, 849.2849933914999, 849.2849933914999, 849.2849933914999, 849.9058771416985, 849.9058771416985, 851.3107540728004, 851.3107540728004, 859.9023200340839, 859.9023200340839, 859.9023200340839, 860.5236777683691, 856.0198595827085, 855.4022445610018, 854.1691869881516, 854.9573088757122, 854.5179927889172, 858.9580897808694, 858.9580897808694, 858.9580897808694, 856.1477676195856, 854.6157031087131, 855.2338861387568, 855.2338861387568, 855.2338861387568, 855.2338861387568, 855.2338861387568, 853.0439613525202], [877.8245838434921, 877.1869812075416, 877.1869812075416, 877.9578577585601], [890.7401416799403, 890.1263955191981, 784.357699012383, 890.1263955191981, 886.3554591697397, 886.3554591697397, 886.3554591697397, 886.3554591697397, 886.3554591697397, 886.9706872270357, 886.1828253808578, 886.1828253808578, 886.1828253808578, 886.1828253808578, 886.1828253808578, 885.395391901268, 885.395391901268, 884.4399357785694, 884.4399357785694, 877.547719500199], [839.6886327681232, 841.0856080090778, 844.6881081203878, 844.6881081203878], [861.5665963812664, 862.3375209278557, 862.3375209278557, 862.3375209278557]]","[882.5131521174479, 849.6933470304862, 884.4868568836962, 830.1451680278576, 919.2306565819049, 855.3474289628022, 877.5391010042838, 881.1115558285308, 842.5376142544941, 862.1447897912084]",6118.88171505928,49.345820282736135,8791.616665005684,16355.063418149948,199
15,15,[15752.5],15752.5,[2978.1912409067154],2978.1912409067154,"[[206.23530250662714, 206.23530250662714, 206.23530250662714, 206.23530250662714, 206.23530250662714, 205.8275977608445, 204.94877408757534, 204.94877408757534, 204.94877408757534, 204.07106605298068, 204.55317157159897, 204.55317157159897, 203.67866849525504, 203.67866849525504, 203.2953516438583, 202.4252948620799, 202.9211669589942, 202.05444810743464, 201.1889659002203, 201.1889659002203, 201.1889659002203, 201.1889659002203, 201.1889659002203, 201.1889659002203, 200.83077453418338, 200.83077453418338, 200.83077453418338, 200.83077453418338, 201.69283576765935, 201.69283576765935, 200.83077453418338, 199.96999774966244, 407.4432475817951, 199.6246477767713, 199.6246477767713, 197.91412279066898, 198.4363877921587, 197.5854245636555, 198.1136037731887, 198.6454127333425, 199.49185447030163]]",[207.1854665105277],225.10409545898438,11.255204772949218,434.5300191640854,822.2964284420013,13
16,16,[4461.5],4461.5,[1581.7240810394287],1581.7240810394287,"[[287.9600666759195, 287.9600666759195, 287.6421387766403, 287.07664481806944, 286.5135249861689, 286.5135249861689, 285.68689154387187, 284.8613697923957, 284.29737951659, 284.29737951659, 283.47133893923035, 283.47133893923035, 282.0815484926301, 282.0815484926301, 281.5190934910099, 281.5190934910099, 280.6920020235703, 280.1303268123607, 280.1303268123607, 279.3027031734566, 278.7418160233588, 278.7418160233588, 278.18339274658365, 277.35356496717327, 276.7959537276512, 276.7959537276512, 276.7959537276512, 275.40878707840824, 276.24083695210595]]",[281.8022890665436],0.0,0.0,0.0,0.0,0
17,17,"[95581.5, 19840.5, 85.0, 25833.5, 34.5, 588.5, 60.5]",142024.0,"[10847.739366889, 3109.5638242959976, 50.455843687057495, 3926.438057422638, 35.72792184352875, 206.23758828639984, 48.21320307254791]",18224.37580549717,"[[475.2367830881781, 474.6124734981161, 474.6124734981161, 474.6124734981161, 473.36772175550794, 472.5843839993023, 471.3427627533916, 470.5581791872287, 470.1063709417263, 468.70246425637663, 468.70246425637663, 467.4719242906466, 467.4719242906466, 465.4556906946138, 464.05279872014563, 463.26234468171486, 477.91317203023397, 477.36987755827244, 477.36987755827244, 477.91317203023397, 477.91317203023397, 477.36987755827244, 467.15843136991543, 465.2418725781247, 465.2418725781247, 466.51259361350577, 466.51259361350577, 467.0385423067351, 467.0385423067351, 465.33966089298684, 479.22646003742324, 478.6992792975565, 478.6992792975565, 462.585127300911, 462.585127300911, 461.20819593758307, 461.20819593758307, 461.20819593758307, 460.358555910499, 460.358555910499, 460.358555910499, 459.5095211200743, 489.1237062339138, 488.6153906704127, 488.6153906704127, 488.6153906704127, 488.1085944746312, 487.24634426540337, 485.8775565921933, 486.2355396307432, 488.3287826864192], [480.1353975703104, 481.9813274391447, 481.77691933092854, 482.1047603996459, 482.43652432211223, 482.43652432211223, 482.43652432211223, 482.43652432211223, 482.43652432211223, 482.43652432211223, 483.8109134775693, 483.8109134775693, 483.8109134775693, 482.9575550708364, 454.62182085773225, 453.8413819827363, 453.68932101163676, 452.91169117168965, 451.5052602129902, 451.5052602129902, 450.87692333939646, 450.0988780257067, 449.32171102674306, 448.06472746691406, 448.06472746691406, 446.6587063967297, 446.6587063967297, 446.8131600568631, 446.8131600568631], [484.48426187029025], [434.4156995321417, 434.92528093915166, 437.8367275594865, 438.353738435068, 439.3927627988426, 440.2465218488387, 439.7271881519268, 443.15234400824284, 441.2674925711161, 441.2674925711161, 440.06590415527535, 440.06590415527535, 439.5509071768593, 440.9228957538948, 435.6604182158393, 434.81145339100715, 434.81145339100715, 433.64732214093056, 433.64732214093056, 433.64732214093056, 433.64732214093056, 434.493958531071, 434.493958531071, 433.11545804785123, 433.11545804785123, 433.11545804785123, 433.11545804785123, 433.11545804785123, 431.7371885765691, 431.20760661194277, 430.6796953653608, 430.6796953653608, 429.30292335366175, 429.30292335366175], [453.8479921735911], [452.08074500027095, 452.6367196770496, 452.6367196770496, 451.80637445702337, 451.2493767308715], [467.88887569592845]]","[472.44820072997203, 465.7397683399614, 484.48426187029025, 435.5452562690226, 453.8479921735911, 452.081987108453, 467.88887569592845]",1077.110285282135,21.11980951533598,1569.6427290439606,3563.8127220869064,35
18,18,[9217.0],9217.0,[1955.0672268867493],1955.0672268867493,"[[591.1590310567876, 590.3388857258177, 589.5192956977744, 589.5192956977744, 588.1266870326494, 587.3074152434992, 585.9146695552178, 585.9146695552178, 585.0957186649035, 585.0957186649035, 585.0957186649035, 583.702835353744, 583.702835353744, 582.3100548676796, 582.3100548676796, 581.7370540029232, 581.7370540029232, 580.3447251418763, 579.5248053362341, 579.5248053362341, 580.3447251418763, 580.3447251418763, 580.3447251418763, 580.9173779462963, 580.9173779462963, 582.8842080550819, 582.8842080550819]]",[583.9488398981804],0.0,0.0,0.0,0.0,0
19,19,[95.0],95.0,[72.42640614509583],72.42640614509583,"[[652.3258388259659, 652.3258388259659]]",[652.3258388259659],0.0,0.0,0.0,0.0,0
20,20,[3578.5],3578.5,[997.9625457525253],997.9625457525253,"[[818.3819401721912, 818.3819401721912, 819.3515728916373, 820.3511443278421, 820.322497558125, 820.322497558125, 820.2950688624186, 820.2950688624186, 820.2950688624186, 820.2950688624186, 820.268858362915, 820.2950688624186, 820.2950688624186, 819.2954290120261, 819.2954290120261, 818.3232857495868, 818.3232857495868, 817.3824074446428]]",[819.5428167325226],601.0030190944672,50.08358492453893,974.9474864006042,1611.7326951026917,26
21,21,[4839.0],4839.0,[1349.0529463291168],1349.0529463291168,"[[355.7555340398797, 355.7555340398797, 356.7365975057788, 357.71776584340904, 358.69903819218695, 359.6804137008297, 360.6618915272308, 361.64347083833826, 362.62515081003414, 362.4362012823774, 363.4184915493432, 363.4184915493432, 363.4184915493432, 364.40087815481456, 364.40087815481456, 365.3833603217311, 365.3833603217311, 366.3659372812926, 366.3659372812926]]",[361.80354862861316],134.19008421897888,10.322314170690683,267.65408658981323,489.0959391593933,13
22,22,[2801.5],2801.5,[1063.538227558136],1063.538227558136,"[[716.9135233764251, 717.2224201738259, 717.532577657628, 717.532577657628, 717.532577657628, 717.8439941937245, 718.1566681442149, 718.1566681442149, 718.1566681442149, 718.1566681442149, 718.4705978674423, 718.7857817180304, 718.1538832311637, 718.4719897114987, 718.4719897114987, 718.4719897114987, 718.7913466368387, 718.7913466368387]]",[718.0896260288072],14.478708624839783,2.4131181041399636,65.61370730400085,156.81862807273865,4
23,23,[8560.0],8560.0,[1714.160591840744],1714.160591840744,"[[772.9747731976769, 770.4803696396165, 769.2034841314749, 768.8699499915444, 767.92707987152, 767.92707987152, 766.9843544688509, 766.6511592634554, 766.6511592634554, 766.6511592634554, 765.7081689521145, 764.7653234816547, 764.7653234816547, 763.8226233884409, 763.8226233884409, 763.4893581445651, 763.4893581445651, 765.3757247260982, 765.3757247260982, 765.3757247260982, 765.3757247260982, 766.319124125191]]",[766.4547895897085],0.0,0.0,0.0,0.0,0
