,ncm_id,ncm_volume,ncm_sur,pore_id,pore_volume,pore_sur
0,0,5233.5,1493.93519616127,0,21.5,32.55634891986847
1,1,2806.5,907.6610300540924,1,138.75,148.33199721574783
2,2,681.5,281.4213538169861,2,65.5,55.49848430156708
3,3,2697.0,806.0092282295227,4,41.5,30.485281229019165
4,3,2697.0,806.0092282295227,5,389.5,242.0365778207779
5,3,2697.0,806.0092282295227,6,42.5,37.79898953437805
6,3,2697.0,806.0092282295227,7,108.0,131.9827550649643
7,3,2697.0,806.0092282295227,8,41.0,33.14213538169861
8,3,2697.0,806.0092282295227,9,76.0,115.56854152679443
9,3,2697.0,806.0092282295227,10,36.5,31.38477599620819
10,3,2697.0,806.0092282295227,11,77.5,111.11879414319992
11,3,2697.0,806.0092282295227,12,77.5,101.6690467596054
12,3,2697.0,806.0092282295227,13,66.5,77.5269113779068
13,3,2697.0,806.0092282295227,14,67.5,73.35533845424652
14,4,1335.5,470.9310202598572,15,20.166666666666668,31.36108676592509
15,5,27240.0,4891.025931835175,16,103.0,65.35533845424652
16,5,27240.0,4891.025931835175,17,117.25,84.7192993760109
17,5,27240.0,4891.025931835175,18,140.5,100.15432798862456
18,5,27240.0,4891.025931835175,19,197.0,153.85281229019165
19,5,27240.0,4891.025931835175,20,36.5,41.455843687057495
20,5,27240.0,4891.025931835175,21,207.0,151.02438521385193
21,5,27240.0,4891.025931835175,22,62.0,64.4558436870575
22,5,27240.0,4891.025931835175,23,69.0,50.38477599620819
23,5,27240.0,4891.025931835175,24,57.5,65.04163014888763
24,5,27240.0,4891.025931835175,25,210.5,183.61017167568207
25,5,27240.0,4891.025931835175,26,159.0,118.88224983215332
26,5,27240.0,4891.025931835175,27,54.5,68.69848430156708
27,5,27240.0,4891.025931835175,28,212.5,121.32590091228484
28,5,27240.0,4891.025931835175,29,152.0,118.0538227558136
29,5,27240.0,4891.025931835175,30,50.5,68.69848430156708
30,5,27240.0,4891.025931835175,31,213.0,123.911687374115
31,5,27240.0,4891.025931835175,32,37.5,41.38477599620819
32,5,27240.0,4891.025931835175,33,234.16666666666663,146.5252272685369
33,5,27240.0,4891.025931835175,34,251.5,166.4385987520218
34,5,27240.0,4891.025931835175,35,79.5,65.04163014888763
35,5,27240.0,4891.025931835175,36,275.5,218.5807341337204
36,5,27240.0,4891.025931835175,37,100.0,73.28427076339722
37,5,27240.0,4891.025931835175,38,116.21428571428572,76.14910258565631
38,5,27240.0,4891.025931835175,39,83.0,76.5979790687561
39,5,27240.0,4891.025931835175,40,120.83333333333331,87.96481414635976
40,6,13074.0,3147.394339323044,41,65.0,66.5979790687561
41,6,13074.0,3147.394339323044,42,55.625,53.412950456142426
42,6,13074.0,3147.394339323044,43,21.0,30.38477599620819
43,6,13074.0,3147.394339323044,44,50.5,54.28427076339722
44,6,13074.0,3147.394339323044,45,40.5,62.35533845424652
45,6,13074.0,3147.394339323044,46,34.5,63.85043219725291
46,6,13074.0,3147.394339323044,47,43.5,39.79898953437805
47,6,13074.0,3147.394339323044,48,12.0,30.313708305358887
48,6,13074.0,3147.394339323044,49,23.75,31.88477599620819
49,6,13074.0,3147.394339323044,50,33.5,57.251785069704056
50,6,13074.0,3147.394339323044,51,133.0,104.3614347577095
51,7,6935.5,1622.597102642059,52,46.0,39.97056245803833
52,8,9913.0,2368.1748723983765,64,102.33333333333331,85.84061968326569
53,8,9913.0,2368.1748723983765,53,45.5,47.69543614983559
54,8,9913.0,2368.1748723983765,54,55.5,60.21320307254791
55,8,9913.0,2368.1748723983765,55,48.0,69.76955199241638
56,8,9913.0,2368.1748723983765,56,58.5,74.01219260692596
57,8,9913.0,2368.1748723983765,57,31.5,39.041630148887634
58,8,9913.0,2368.1748723983765,58,214.33333333333331,145.15839219093323
59,8,9913.0,2368.1748723983765,59,331.5,197.4091612100601
60,8,9913.0,2368.1748723983765,60,29.0,42.79898953437805
61,8,9913.0,2368.1748723983765,61,304.0,171.02438521385193
62,8,9913.0,2368.1748723983765,62,153.0,116.3614347577095
63,8,9913.0,2368.1748723983765,63,153.0,116.3614347577095
64,9,1005.0,392.0904005765915,65,11.5,33.38477599620819
65,12,3754.0,1089.2173789739609,68,18.5,36.21320307254791
66,13,6005.0,1477.827550649643,69,16.25,33.88477599620819
67,14,506190.5,47119.56885075569,71,52.0,64.5979790687561
68,14,506190.5,47119.56885075569,72,22.5,36.21320307254791
69,14,506190.5,47119.56885075569,73,58.333333333333336,63.33164922396342
70,14,506190.5,47119.56885075569,74,57.0,60.11269783973694
71,14,506190.5,47119.56885075569,75,47.0,44.38477599620819
72,14,506190.5,47119.56885075569,76,25.5,35.79898953437805
73,14,506190.5,47119.56885075569,77,96.5,108.9827550649643
74,14,506190.5,47119.56885075569,78,48.5,74.35533845424652
75,14,506190.5,47119.56885075569,79,102.0,107.56854152679443
76,14,506190.5,47119.56885075569,80,35.5,47.041630148887634
77,14,506190.5,47119.56885075569,81,36.0,62.11269783973694
78,14,506190.5,47119.56885075569,82,39.0,49.62741661071777
79,14,506190.5,47119.56885075569,83,30.0,56.11269783973694
80,14,506190.5,47119.56885075569,84,107.0,120.74011445045473
81,14,506190.5,47119.56885075569,85,20.0,35.55634891986847
82,14,506190.5,47119.56885075569,86,25.0,36.79898953437805
83,14,506190.5,47119.56885075569,87,38.5,36.21320307254791
84,14,506190.5,47119.56885075569,88,21.5,34.97056245803833
85,14,506190.5,47119.56885075569,89,32.0,32.31370830535889
86,14,506190.5,47119.56885075569,90,34.5,33.38477599620819
87,14,506190.5,47119.56885075569,91,81.5,83.94112491607666
88,14,506190.5,47119.56885075569,92,39.5,34.55634891986847
89,14,506190.5,47119.56885075569,93,74.5,83.5979790687561
90,14,506190.5,47119.56885075569,94,38.0,37.17766922712326
91,14,506190.5,47119.56885075569,95,37.5,41.79898953437805
92,14,506190.5,47119.56885075569,96,33.0,33.14213538169861
93,14,506190.5,47119.56885075569,97,34.0,41.55634891986847
94,14,506190.5,47119.56885075569,98,34.0,31.97056245803833
95,14,506190.5,47119.56885075569,99,35.5,43.38477599620819
96,14,506190.5,47119.56885075569,100,197.5,126.63960921764374
97,14,506190.5,47119.56885075569,101,21.0,27.899494767189022
98,14,506190.5,47119.56885075569,102,114.0,124.0538227558136
99,14,506190.5,47119.56885075569,103,20.0,38.79898953437805
100,14,506190.5,47119.56885075569,104,6.0,29.14213538169861
101,14,506190.5,47119.56885075569,105,109.5,124.29646337032318
102,14,506190.5,47119.56885075569,106,23.0,33.97056245803833
103,14,506190.5,47119.56885075569,107,20.5,32.899494767189026
104,14,506190.5,47119.56885075569,108,133.0,80.5979790687561
105,14,506190.5,47119.56885075569,109,68.0,59.28427076339722
106,14,506190.5,47119.56885075569,110,60.0,67.28427076339722
107,14,506190.5,47119.56885075569,111,35.5,45.87005722522736
108,14,506190.5,47119.56885075569,112,258.5,164.4385987520218
109,14,506190.5,47119.56885075569,113,16.5,33.72792184352875
110,14,506190.5,47119.56885075569,114,258.5,164.4385987520218
111,14,506190.5,47119.56885075569,115,16.5,33.72792184352875
112,14,506190.5,47119.56885075569,116,16.0,26.656854152679443
113,14,506190.5,47119.56885075569,117,121.0,81.42640614509583
114,14,506190.5,47119.56885075569,118,60.5,55.87005722522736
115,14,506190.5,47119.56885075569,119,40.0,45.62741661071777
116,14,506190.5,47119.56885075569,120,101.5,66.35533845424652
117,14,506190.5,47119.56885075569,121,33.5,45.87005722522736
118,14,506190.5,47119.56885075569,122,30.5,42.21320307254791
119,14,506190.5,47119.56885075569,123,95.0,70.5979790687561
120,14,506190.5,47119.56885075569,124,32.0,37.21320307254791
121,14,506190.5,47119.56885075569,125,25.5,45.87005722522736
122,14,506190.5,47119.56885075569,126,84.0,64.18376553058624
123,14,506190.5,47119.56885075569,127,52.0,72.5979790687561
124,14,506190.5,47119.56885075569,128,13.5,30.55634891986847
125,14,506190.5,47119.56885075569,129,75.5,82.35533845424652
126,14,506190.5,47119.56885075569,130,63.0,46.11269783973694
127,14,506190.5,47119.56885075569,131,60.5,61.5269113779068
128,14,506190.5,47119.56885075569,132,24.0,39.97056245803833
129,14,506190.5,47119.56885075569,133,49.5,43.041630148887634
130,14,506190.5,47119.56885075569,134,38.5,35.38477599620819
131,14,506190.5,47119.56885075569,135,167.0,101.22539567947388
132,14,506190.5,47119.56885075569,136,32.5,30.97056245803833
133,14,506190.5,47119.56885075569,137,33.5,43.38477599620819
134,14,506190.5,47119.56885075569,138,178.0,124.46803629398346
135,14,506190.5,47119.56885075569,139,137.0,80.66904675960541
136,14,506190.5,47119.56885075569,140,84.5,87.01219260692596
137,14,506190.5,47119.56885075569,141,66.0,75.14823168516159
138,14,506190.5,47119.56885075569,142,33.5,41.38477599620819
139,14,506190.5,47119.56885075569,143,67.5,79.5269113779068
140,14,506190.5,47119.56885075569,144,41.0,36.79898953437805
141,14,506190.5,47119.56885075569,145,13.0,31.97056245803833
142,14,506190.5,47119.56885075569,146,14.0,34.79898953437805
143,14,506190.5,47119.56885075569,147,13.0,31.97056245803833
144,14,506190.5,47119.56885075569,148,14.0,34.79898953437805
145,14,506190.5,47119.56885075569,149,35.5,35.38477599620819
146,14,506190.5,47119.56885075569,150,12.0,29.55634891986847
147,14,506190.5,47119.56885075569,151,12.0,35.14213538169861
148,14,506190.5,47119.56885075569,152,12.0,29.55634891986847
149,14,506190.5,47119.56885075569,153,28.83333333333333,35.108633637428284
150,14,506190.5,47119.56885075569,154,40.0,33.14213538169861
151,14,506190.5,47119.56885075569,155,39.0,31.97056245803833
152,14,506190.5,47119.56885075569,156,41.5,43.455843687057495
153,14,506190.5,47119.56885075569,157,30.5,30.899494767189022
154,14,506190.5,47119.56885075569,158,33.5,37.38477599620819
155,14,506190.5,47119.56885075569,159,67.0,56.87005722522736
156,14,506190.5,47119.56885075569,160,27.5,33.72792184352875
157,14,506190.5,47119.56885075569,161,35.0,39.62741661071777
158,14,506190.5,47119.56885075569,162,64.5,56.28427076339722
159,14,506190.5,47119.56885075569,163,27.0,34.31370830535889
160,14,506190.5,47119.56885075569,164,34.0,37.62741661071777
161,14,506190.5,47119.56885075569,165,66.0,60.041630148887634
162,14,506190.5,47119.56885075569,166,23.5,34.55634891986847
163,14,506190.5,47119.56885075569,167,70.0,67.28427076339722
164,14,506190.5,47119.56885075569,168,32.5,44.62741661071777
165,14,506190.5,47119.56885075569,169,68.0,67.76955199241638
166,14,506190.5,47119.56885075569,170,7.0,34.72792184352875
167,14,506190.5,47119.56885075569,171,32.0,47.62741661071777
168,14,506190.5,47119.56885075569,172,6.5,31.727921843528748
169,14,506190.5,47119.56885075569,173,22.0,38.79898953437805
170,14,506190.5,47119.56885075569,174,26.5,30.97056245803833
171,14,506190.5,47119.56885075569,175,18.0,31.14213538169861
172,14,506190.5,47119.56885075569,176,29.0,36.79898953437805
173,14,506190.5,47119.56885075569,177,28.0,30.79898953437805
174,14,506190.5,47119.56885075569,178,20.0,29.97056245803833
175,14,506190.5,47119.56885075569,179,33.0,63.76955199241638
176,14,506190.5,47119.56885075569,180,27.0,36.79898953437805
177,14,506190.5,47119.56885075569,181,20.5,34.55634891986847
178,14,506190.5,47119.56885075569,182,28.0,36.79898953437805
179,14,506190.5,47119.56885075569,183,39.5,39.38477599620819
180,14,506190.5,47119.56885075569,184,16.5,41.041630148887634
181,14,506190.5,47119.56885075569,185,15.0,34.31370830535889
182,14,506190.5,47119.56885075569,186,28.0,36.79898953437805
183,14,506190.5,47119.56885075569,187,18.5,32.071067690849304
184,14,506190.5,47119.56885075569,188,51.5,66.35533845424652
185,14,506190.5,47119.56885075569,189,16.5,32.071067690849304
186,14,506190.5,47119.56885075569,190,44.75,46.92030984163284
187,14,506190.5,47119.56885075569,191,31.0,29.14213538169861
188,14,506190.5,47119.56885075569,192,46.5,60.69848430156708
189,14,506190.5,47119.56885075569,193,73.5,72.28427076339722
190,14,506190.5,47119.56885075569,194,12.0,39.97056245803833
191,14,506190.5,47119.56885075569,195,42.25,51.29898953437805
192,14,506190.5,47119.56885075569,196,61.0,77.76955199241638
193,14,506190.5,47119.56885075569,197,38.5,40.62741661071777
