,Pore_id,#frame,pore_index_per_frame,pore_cordinate,ncm_index_per_frame,adj_id
379,293,15,35,"[[290, 904], [289, 905], [288, 906], [287, 907], [286, 906], [285, 905], [284, 906], [284, 907], [284, 908], [285, 908], [286, 909], [287, 910], [288, 911], [288, 912], [289, 911], [290, 911], [290, 910], [291, 909], [292, 909], [293, 909], [294, 909], [295, 910], [296, 911], [296, 912], [297, 913], [296, 914], [295, 914], [294, 913], [293, 913], [292, 912], [292, 911], [292, 912], [292, 913], [292, 914], [293, 915], [294, 916], [294, 917], [295, 918], [295, 919], [295, 920], [296, 920], [297, 921], [298, 921], [299, 922], [299, 923], [299, 924], [298, 925], [297, 924], [296, 924], [295, 924], [294, 925], [293, 926], [293, 927], [294, 927], [295, 927], [296, 927], [297, 927], [298, 927], [299, 928], [299, 927], [299, 926], [300, 925], [301, 926], [302, 926], [303, 927], [304, 928], [304, 929], [304, 930], [304, 931], [304, 932], [305, 933], [305, 934], [305, 935], [306, 934], [307, 933], [306, 932], [305, 931], [305, 930], [306, 929], [307, 928], [308, 929], [309, 929], [309, 928], [309, 927], [308, 927], [307, 926], [306, 926], [305, 926], [304, 926], [303, 925], [302, 924], [302, 923], [301, 922], [300, 921], [299, 920], [299, 919], [298, 918], [297, 917], [297, 916], [297, 915], [297, 914], [297, 913], [297, 912], [296, 911], [296, 910], [296, 909], [296, 908], [295, 908], [294, 908], [293, 908], [292, 908], [291, 907], [291, 906], [291, 905]]",9,[]
380,293,16,31,"[[292, 911], [292, 912], [291, 913], [292, 914], [293, 914], [294, 914], [295, 915], [295, 916], [294, 917], [294, 918], [295, 919], [295, 920], [296, 920], [297, 921], [297, 922], [297, 923], [298, 923], [299, 923], [300, 924], [299, 925], [298, 925], [297, 925], [296, 925], [295, 925], [294, 926], [293, 927], [294, 928], [293, 929], [293, 930], [294, 930], [295, 930], [296, 929], [297, 929], [298, 929], [299, 929], [300, 929], [301, 929], [302, 929], [303, 929], [304, 930], [304, 931], [303, 932], [302, 932], [302, 933], [302, 934], [302, 935], [302, 936], [301, 937], [300, 937], [299, 938], [298, 938], [298, 939], [298, 940], [299, 941], [300, 940], [300, 939], [301, 938], [302, 937], [303, 936], [304, 936], [305, 936], [306, 935], [306, 934], [306, 933], [305, 932], [305, 931], [305, 930], [304, 929], [303, 928], [303, 927], [302, 926], [302, 925], [301, 924], [301, 923], [300, 923], [299, 922], [298, 921], [298, 920], [298, 919], [297, 918], [296, 917], [297, 916], [297, 915], [297, 914], [296, 915], [295, 914], [294, 913], [293, 912]]",9,[]
381,293,17,34,"[[296, 915], [295, 916], [294, 917], [294, 918], [294, 919], [295, 920], [296, 920], [297, 921], [297, 922], [297, 923], [298, 924], [297, 925], [296, 925], [295, 925], [294, 926], [294, 927], [294, 928], [293, 929], [294, 930], [295, 930], [296, 930], [297, 929], [298, 929], [299, 929], [300, 929], [301, 929], [302, 929], [303, 930], [302, 931], [302, 932], [302, 933], [302, 934], [303, 934], [304, 935], [303, 936], [304, 936], [305, 936], [305, 935], [306, 934], [306, 933], [305, 932], [305, 931], [305, 930], [304, 929], [303, 928], [303, 927], [302, 926], [301, 925], [301, 924], [300, 923], [299, 923], [298, 922], [298, 921], [297, 920], [297, 919], [297, 918], [296, 917], [297, 916], [297, 915]]",9,[]
382,293,18,34,"[[289, 913], [289, 914], [289, 915], [290, 915], [291, 915], [292, 916], [293, 917], [293, 918], [293, 919], [293, 920], [292, 921], [291, 922], [291, 923], [292, 923], [293, 923], [294, 923], [295, 924], [296, 924], [297, 925], [298, 926], [299, 927], [299, 928], [298, 929], [297, 929], [296, 928], [296, 927], [296, 928], [296, 929], [295, 930], [296, 931], [297, 932], [297, 933], [298, 933], [299, 932], [300, 932], [301, 932], [302, 932], [303, 932], [304, 932], [303, 931], [302, 930], [302, 929], [302, 928], [301, 927], [301, 926], [300, 925], [299, 924], [298, 923], [298, 922], [297, 921], [296, 920], [296, 919], [295, 918], [295, 917], [296, 916], [297, 916], [297, 915], [296, 915], [295, 916], [294, 915], [293, 915], [292, 914], [291, 914], [290, 914]]",9,[]
383,293,19,31,"[[290, 913], [289, 914], [289, 915], [290, 915], [291, 915], [292, 916], [293, 917], [293, 918], [293, 919], [293, 920], [292, 921], [291, 922], [291, 923], [291, 924], [292, 923], [293, 923], [294, 923], [295, 924], [296, 924], [297, 925], [298, 926], [299, 927], [299, 928], [298, 929], [297, 929], [296, 928], [296, 929], [295, 930], [295, 931], [296, 931], [297, 932], [297, 933], [298, 933], [299, 933], [300, 932], [301, 932], [302, 932], [303, 932], [304, 932], [303, 931], [302, 930], [302, 929], [302, 928], [301, 927], [301, 926], [300, 925], [299, 924], [298, 923], [298, 922], [297, 921], [296, 920], [296, 919], [295, 918], [295, 917], [296, 916], [297, 916], [297, 915], [296, 915], [295, 915], [294, 915], [293, 915], [292, 914], [291, 914]]",9,[]
384,293,20,27,"[[296, 910], [295, 911], [296, 912], [296, 913], [296, 914], [295, 915], [294, 914], [293, 914], [292, 914], [291, 914], [290, 914], [289, 914], [289, 915], [290, 916], [291, 916], [292, 916], [293, 917], [293, 918], [293, 919], [293, 920], [292, 921], [291, 922], [291, 923], [291, 924], [292, 923], [293, 923], [294, 924], [295, 924], [296, 924], [297, 925], [298, 926], [299, 927], [299, 928], [298, 929], [297, 929], [296, 928], [296, 929], [296, 930], [296, 931], [297, 932], [298, 933], [299, 933], [300, 932], [301, 932], [302, 932], [303, 932], [303, 931], [303, 930], [302, 929], [302, 928], [301, 927], [301, 926], [300, 925], [299, 924], [298, 923], [298, 922], [297, 921], [296, 920], [296, 919], [295, 918], [295, 917], [296, 916], [297, 916], [297, 915], [296, 914], [296, 913], [296, 912], [297, 911], [297, 910]]",9,[]
385,293,21,52,"[[290, 914], [290, 915], [290, 916], [290, 917], [290, 918], [291, 919], [292, 920], [293, 921], [293, 922], [293, 923], [294, 924], [295, 925], [296, 925], [297, 926], [298, 927], [299, 928], [299, 929], [299, 930], [299, 931], [298, 932], [298, 933], [299, 934], [300, 935], [301, 935], [301, 934], [301, 933], [301, 932], [301, 931], [301, 930], [301, 929], [301, 928], [300, 927], [299, 926], [299, 925], [298, 924], [297, 923], [297, 922], [296, 921], [295, 920], [295, 919], [294, 918], [293, 918], [292, 917], [292, 916], [292, 915], [291, 914]]",9,[]
386,293,22,52,"[[290, 915], [290, 916], [290, 917], [290, 918], [291, 919], [292, 920], [293, 921], [294, 922], [294, 923], [294, 924], [295, 925], [296, 925], [297, 926], [297, 927], [298, 928], [299, 929], [299, 930], [299, 931], [298, 932], [298, 933], [299, 934], [299, 935], [300, 935], [301, 935], [301, 934], [301, 933], [301, 932], [300, 931], [300, 930], [301, 929], [300, 928], [300, 927], [299, 926], [298, 925], [298, 924], [297, 923], [296, 922], [295, 921], [295, 920], [294, 919], [293, 918], [293, 917], [292, 916], [291, 915]]",9,[]
387,293,23,44,"[[287, 913], [287, 914], [288, 915], [289, 916], [290, 917], [290, 918], [290, 919], [291, 919], [292, 920], [292, 921], [293, 922], [293, 923], [293, 924], [293, 925], [294, 925], [295, 926], [296, 927], [297, 928], [298, 929], [298, 930], [298, 931], [298, 932], [298, 933], [299, 934], [299, 935], [300, 935], [301, 935], [300, 934], [300, 933], [300, 932], [300, 931], [300, 930], [300, 929], [299, 928], [299, 927], [298, 926], [297, 925], [296, 924], [296, 923], [295, 922], [295, 921], [294, 920], [294, 919], [293, 918], [292, 917], [291, 916], [290, 915], [289, 914], [288, 913]]",9,[]
388,293,24,55,"[[287, 913], [287, 914], [288, 915], [288, 916], [289, 916], [290, 917], [290, 918], [290, 919], [291, 920], [292, 921], [293, 922], [293, 923], [293, 924], [293, 925], [294, 926], [295, 926], [296, 927], [297, 928], [298, 929], [298, 930], [298, 931], [298, 932], [298, 933], [298, 934], [299, 934], [300, 935], [300, 934], [300, 933], [300, 932], [300, 931], [300, 930], [300, 929], [299, 928], [299, 927], [298, 926], [297, 925], [296, 924], [296, 923], [295, 922], [294, 921], [294, 920], [293, 919], [293, 918], [292, 917], [291, 916], [290, 915], [289, 914], [288, 913]]",9,[]
