,Pore_id,#frame,pore_index_per_frame,pore_cordinate,ncm_index_per_frame,adj_id
164,123,161,220,"[[220, 296], [220, 297], [219, 298], [220, 298], [221, 299], [222, 299], [223, 300], [224, 300], [225, 301], [225, 302], [224, 303], [223, 303], [222, 302], [221, 303], [222, 303], [223, 304], [224, 304], [225, 304], [226, 304], [227, 304], [228, 304], [228, 303], [228, 302], [227, 301], [226, 300], [225, 300], [224, 299], [223, 298], [222, 297], [221, 296]]",4,[]
165,123,166,188,"[[248, 285], [248, 286], [247, 287], [247, 288], [248, 288], [249, 289], [249, 290], [248, 291], [247, 291], [246, 291], [246, 292], [245, 293], [245, 294], [246, 295], [247, 295], [248, 295], [249, 296], [250, 296], [250, 295], [249, 294], [249, 293], [248, 292], [248, 291], [249, 290], [249, 289], [250, 288], [250, 287], [250, 286], [249, 285]]",4,[]
166,123,168,196,"[[240, 287], [240, 288], [241, 288], [242, 289], [243, 290], [244, 291], [245, 292], [245, 293], [245, 294], [245, 295], [246, 296], [247, 296], [248, 296], [247, 295], [247, 294], [246, 293], [246, 292], [247, 291], [248, 290], [247, 290], [246, 289], [245, 288], [244, 288], [243, 287], [242, 287], [241, 287]]",4,[]
