,ncm_ind,ncm_cordi,pore,pore_ind
0,0,"[[[706, 1161]], [[705, 1162]], [[704, 1162]], [[703, 1162]], [[702, 1163]], [[701, 1163]], [[700, 1163]], [[699, 1164]], [[698, 1163]], [[697, 1163]], [[696, 1164]], [[696, 1165]], [[696, 1166]], [[697, 1166]], [[698, 1167]], [[699, 1168]], [[700, 1168]], [[701, 1168]], [[702, 1169]], [[703, 1170]], [[704, 1171]], [[705, 1171]], [[706, 1172]], [[706, 1173]], [[707, 1173]], [[708, 1174]], [[709, 1174]], [[710, 1174]], [[711, 1175]], [[712, 1174]], [[712, 1173]], [[713, 1172]], [[713, 1171]], [[714, 1170]], [[714, 1169]], [[713, 1168]], [[712, 1168]], [[711, 1167]], [[711, 1166]], [[711, 1165]], [[710, 1164]], [[710, 1163]], [[709, 1162]], [[708, 1161]], [[707, 1161]]]",[[]],[]
1,1,"[[[560, 1160]], [[559, 1161]], [[558, 1162]], [[558, 1163]], [[557, 1164]], [[557, 1165]], [[557, 1166]], [[557, 1167]], [[556, 1168]], [[555, 1169]], [[554, 1170]], [[553, 1170]], [[552, 1171]], [[552, 1172]], [[551, 1173]], [[550, 1173]], [[550, 1174]], [[550, 1175]], [[550, 1176]], [[551, 1177]], [[551, 1178]], [[551, 1179]], [[551, 1180]], [[552, 1180]], [[553, 1180]], [[554, 1181]], [[555, 1181]], [[556, 1182]], [[557, 1183]], [[558, 1184]], [[559, 1185]], [[560, 1185]], [[561, 1186]], [[562, 1186]], [[563, 1187]], [[564, 1187]], [[565, 1187]], [[566, 1187]], [[567, 1186]], [[568, 1186]], [[569, 1186]], [[570, 1185]], [[571, 1184]], [[572, 1184]], [[573, 1183]], [[574, 1183]], [[575, 1182]], [[575, 1181]], [[575, 1180]], [[575, 1179]], [[575, 1178]], [[575, 1177]], [[574, 1176]], [[574, 1175]], [[573, 1174]], [[573, 1173]], [[572, 1172]], [[571, 1171]], [[571, 1170]], [[570, 1169]], [[570, 1168]], [[570, 1167]], [[569, 1166]], [[569, 1165]], [[568, 1164]], [[567, 1163]], [[566, 1163]], [[565, 1162]], [[564, 1162]], [[563, 1161]], [[562, 1161]], [[561, 1161]]]",[[]],[]
2,2,"[[[702, 1146]], [[701, 1147]], [[701, 1148]], [[700, 1149]], [[700, 1150]], [[699, 1151]], [[699, 1152]], [[700, 1152]], [[701, 1153]], [[700, 1154]], [[701, 1155]], [[702, 1156]], [[703, 1157]], [[704, 1158]], [[705, 1158]], [[706, 1159]], [[707, 1158]], [[708, 1158]], [[709, 1158]], [[710, 1158]], [[711, 1157]], [[712, 1157]], [[713, 1156]], [[714, 1155]], [[715, 1154]], [[716, 1154]], [[717, 1153]], [[717, 1152]], [[717, 1151]], [[717, 1150]], [[716, 1149]], [[715, 1149]], [[714, 1149]], [[713, 1149]], [[712, 1148]], [[711, 1148]], [[710, 1148]], [[709, 1147]], [[708, 1147]], [[707, 1146]], [[706, 1146]], [[705, 1146]], [[704, 1146]], [[703, 1146]]]","[[], [[[726, 1150], [726, 1151], [727, 1152], [726, 1153], [725, 1154], [724, 1154], [723, 1155], [722, 1155], [721, 1155], [720, 1154], [719, 1153], [719, 1152], [718, 1152], [718, 1153], [717, 1154], [716, 1155], [715, 1155], [714, 1156], [713, 1157], [714, 1158], [715, 1158], [716, 1157], [716, 1156], [717, 1155], [718, 1155], [719, 1155], [720, 1156], [720, 1157], [720, 1158], [720, 1159], [720, 1160], [720, 1161], [720, 1160], [721, 1159], [722, 1159], [723, 1158], [724, 1158], [725, 1158], [726, 1158], [726, 1157], [726, 1156], [727, 1155], [727, 1154], [727, 1153], [727, 1152], [726, 1151]]]]","[[], 0]"
3,3,"[[[753, 1143]], [[752, 1144]], [[751, 1144]], [[750, 1144]], [[749, 1144]], [[749, 1145]], [[748, 1146]], [[748, 1147]], [[747, 1148]], [[746, 1149]], [[746, 1150]], [[745, 1151]], [[745, 1152]], [[745, 1153]], [[745, 1154]], [[745, 1155]], [[745, 1156]], [[745, 1157]], [[745, 1158]], [[745, 1159]], [[745, 1160]], [[745, 1161]], [[745, 1162]], [[745, 1163]], [[746, 1163]], [[747, 1164]], [[748, 1165]], [[749, 1165]], [[750, 1166]], [[751, 1167]], [[752, 1168]], [[753, 1168]], [[754, 1168]], [[755, 1168]], [[756, 1168]], [[757, 1169]], [[758, 1169]], [[759, 1168]], [[760, 1167]], [[760, 1166]], [[761, 1165]], [[762, 1164]], [[763, 1163]], [[764, 1163]], [[765, 1162]], [[766, 1161]], [[767, 1160]], [[768, 1160]], [[768, 1159]], [[769, 1158]], [[770, 1158]], [[770, 1157]], [[770, 1156]], [[770, 1155]], [[770, 1154]], [[769, 1153]], [[769, 1152]], [[769, 1151]], [[768, 1150]], [[767, 1149]], [[767, 1148]], [[766, 1147]], [[765, 1146]], [[764, 1146]], [[763, 1146]], [[762, 1146]], [[761, 1146]], [[760, 1146]], [[759, 1146]], [[758, 1145]], [[757, 1144]], [[756, 1144]], [[755, 1144]], [[754, 1144]]]","[[[[745, 1135], [744, 1136], [743, 1137], [742, 1137], [741, 1137], [740, 1137], [739, 1137], [738, 1136], [737, 1136], [736, 1136], [736, 1137], [736, 1138], [737, 1138], [738, 1138], [739, 1138], [740, 1138], [741, 1138], [742, 1137], [743, 1137], [744, 1137], [745, 1137], [746, 1137], [747, 1137], [748, 1138], [749, 1139], [749, 1140], [748, 1141], [747, 1142], [747, 1143], [747, 1144], [747, 1145], [748, 1144], [749, 1143], [749, 1142], [749, 1141], [750, 1140], [750, 1139], [750, 1138], [751, 1137], [750, 1136], [749, 1136], [748, 1136], [747, 1135], [746, 1135]]], []]","[1, []]"
4,4,"[[[535, 1137]], [[535, 1138]], [[534, 1139]], [[533, 1140]], [[532, 1140]], [[531, 1141]], [[530, 1141]], [[529, 1141]], [[528, 1142]], [[527, 1142]], [[526, 1142]], [[526, 1143]], [[526, 1144]], [[525, 1145]], [[524, 1146]], [[524, 1147]], [[524, 1148]], [[524, 1149]], [[524, 1150]], [[525, 1151]], [[525, 1152]], [[525, 1153]], [[524, 1154]], [[525, 1155]], [[526, 1156]], [[526, 1157]], [[525, 1158]], [[526, 1159]], [[526, 1160]], [[525, 1161]], [[525, 1162]], [[525, 1163]], [[524, 1164]], [[524, 1165]], [[524, 1166]], [[523, 1167]], [[523, 1168]], [[524, 1169]], [[525, 1169]], [[526, 1170]], [[527, 1169]], [[528, 1169]], [[529, 1169]], [[529, 1168]], [[529, 1167]], [[530, 1166]], [[530, 1165]], [[531, 1164]], [[531, 1163]], [[532, 1162]], [[533, 1162]], [[534, 1162]], [[535, 1163]], [[536, 1164]], [[536, 1165]], [[537, 1165]], [[537, 1164]], [[537, 1163]], [[538, 1162]], [[539, 1162]], [[540, 1163]], [[541, 1164]], [[541, 1165]], [[541, 1166]], [[542, 1167]], [[542, 1168]], [[542, 1167]], [[541, 1166]], [[542, 1165]], [[543, 1165]], [[544, 1164]], [[545, 1164]], [[546, 1164]], [[547, 1164]], [[548, 1164]], [[549, 1164]], [[549, 1163]], [[548, 1162]], [[548, 1161]], [[547, 1160]], [[546, 1159]], [[546, 1158]], [[547, 1157]], [[548, 1156]], [[549, 1155]], [[550, 1154]], [[550, 1153]], [[550, 1152]], [[550, 1151]], [[549, 1150]], [[548, 1149]], [[548, 1148]], [[548, 1147]], [[548, 1146]], [[548, 1145]], [[547, 1144]], [[546, 1143]], [[545, 1142]], [[544, 1141]], [[543, 1140]], [[543, 1139]], [[542, 1139]], [[541, 1138]], [[540, 1137]], [[539, 1137]], [[538, 1137]], [[537, 1137]], [[536, 1137]]]","[[], [[[534, 1166], [534, 1167], [533, 1168], [532, 1168], [531, 1168], [530, 1168], [530, 1169], [530, 1170], [529, 1171], [528, 1171], [527, 1171], [526, 1171], [525, 1170], [524, 1170], [523, 1170], [522, 1170], [522, 1171], [523, 1171], [524, 1171], [525, 1171], [526, 1172], [526, 1173], [525, 1174], [525, 1175], [526, 1175], [527, 1176], [528, 1176], [529, 1176], [529, 1175], [529, 1174], [529, 1173], [529, 1172], [530, 1171], [531, 1171], [532, 1171], [533, 1170], [534, 1170], [534, 1169], [534, 1168], [534, 1167]]]]","[[], 2]"
5,5,"[[[774, 1131]], [[773, 1132]], [[772, 1133]], [[771, 1134]], [[770, 1135]], [[770, 1136]], [[769, 1137]], [[769, 1138]], [[769, 1139]], [[769, 1140]], [[769, 1141]], [[769, 1142]], [[769, 1143]], [[770, 1144]], [[771, 1145]], [[772, 1146]], [[772, 1147]], [[773, 1148]], [[774, 1149]], [[774, 1150]], [[775, 1151]], [[776, 1152]], [[776, 1153]], [[776, 1154]], [[776, 1155]], [[777, 1156]], [[777, 1157]], [[778, 1157]], [[779, 1158]], [[780, 1158]], [[781, 1159]], [[782, 1160]], [[782, 1161]], [[783, 1162]], [[784, 1163]], [[784, 1164]], [[785, 1165]], [[786, 1166]], [[786, 1167]], [[787, 1168]], [[788, 1169]], [[788, 1170]], [[789, 1170]], [[790, 1170]], [[791, 1170]], [[792, 1169]], [[793, 1169]], [[794, 1168]], [[795, 1168]], [[796, 1167]], [[796, 1166]], [[797, 1165]], [[797, 1164]], [[797, 1163]], [[797, 1162]], [[797, 1161]], [[796, 1160]], [[795, 1159]], [[795, 1158]], [[794, 1157]], [[794, 1156]], [[794, 1155]], [[794, 1154]], [[794, 1153]], [[795, 1152]], [[794, 1152]], [[793, 1151]], [[793, 1150]], [[794, 1149]], [[794, 1148]], [[793, 1147]], [[792, 1146]], [[791, 1145]], [[791, 1144]], [[790, 1143]], [[789, 1142]], [[789, 1141]], [[788, 1140]], [[787, 1139]], [[787, 1138]], [[786, 1137]], [[785, 1136]], [[784, 1135]], [[784, 1134]], [[783, 1133]], [[782, 1132]], [[781, 1131]], [[780, 1131]], [[779, 1131]], [[778, 1131]], [[777, 1131]], [[776, 1131]], [[775, 1131]]]",[[]],[]
6,6,"[[[41, 1125]], [[40, 1126]], [[40, 1127]], [[40, 1128]], [[39, 1129]], [[39, 1130]], [[38, 1131]], [[38, 1132]], [[38, 1133]], [[37, 1134]], [[37, 1135]], [[36, 1136]], [[36, 1137]], [[36, 1138]], [[35, 1139]], [[34, 1140]], [[34, 1141]], [[34, 1142]], [[33, 1143]], [[33, 1144]], [[32, 1145]], [[32, 1146]], [[33, 1147]], [[33, 1148]], [[34, 1149]], [[35, 1149]], [[36, 1149]], [[37, 1150]], [[38, 1150]], [[39, 1150]], [[40, 1150]], [[41, 1150]], [[42, 1149]], [[43, 1149]], [[44, 1148]], [[45, 1148]], [[46, 1148]], [[47, 1147]], [[48, 1146]], [[49, 1145]], [[50, 1144]], [[50, 1143]], [[50, 1142]], [[50, 1141]], [[50, 1140]], [[50, 1139]], [[50, 1138]], [[50, 1137]], [[50, 1136]], [[50, 1135]], [[51, 1134]], [[51, 1133]], [[51, 1132]], [[50, 1131]], [[49, 1130]], [[48, 1129]], [[47, 1128]], [[46, 1127]], [[45, 1127]], [[44, 1126]], [[43, 1126]], [[42, 1126]]]",[[]],[]
7,7,"[[[665, 1112]], [[664, 1113]], [[663, 1114]], [[662, 1115]], [[661, 1115]], [[660, 1116]], [[659, 1117]], [[658, 1118]], [[657, 1119]], [[656, 1119]], [[655, 1120]], [[654, 1120]], [[653, 1121]], [[652, 1120]], [[651, 1120]], [[650, 1120]], [[649, 1120]], [[648, 1120]], [[647, 1121]], [[646, 1121]], [[645, 1122]], [[645, 1123]], [[645, 1124]], [[645, 1125]], [[645, 1126]], [[645, 1127]], [[645, 1128]], [[644, 1129]], [[644, 1130]], [[643, 1131]], [[642, 1131]], [[641, 1132]], [[641, 1133]], [[641, 1134]], [[640, 1135]], [[639, 1136]], [[638, 1136]], [[637, 1136]], [[636, 1137]], [[636, 1138]], [[635, 1139]], [[634, 1140]], [[633, 1141]], [[633, 1142]], [[633, 1143]], [[632, 1144]], [[632, 1145]], [[632, 1146]], [[632, 1147]], [[631, 1148]], [[630, 1148]], [[629, 1148]], [[630, 1149]], [[631, 1150]], [[631, 1151]], [[631, 1152]], [[630, 1153]], [[630, 1154]], [[630, 1155]], [[630, 1156]], [[630, 1157]], [[631, 1158]], [[632, 1158]], [[633, 1159]], [[632, 1160]], [[633, 1160]], [[634, 1160]], [[635, 1161]], [[636, 1161]], [[637, 1161]], [[638, 1161]], [[639, 1161]], [[640, 1160]], [[641, 1159]], [[642, 1158]], [[643, 1157]], [[644, 1157]], [[645, 1156]], [[646, 1156]], [[647, 1155]], [[648, 1154]], [[649, 1154]], [[650, 1154]], [[651, 1153]], [[652, 1152]], [[653, 1153]], [[654, 1152]], [[654, 1151]], [[654, 1150]], [[654, 1149]], [[655, 1148]], [[656, 1148]], [[657, 1147]], [[658, 1147]], [[659, 1147]], [[660, 1146]], [[661, 1145]], [[661, 1144]], [[662, 1143]], [[663, 1142]], [[664, 1142]], [[665, 1141]], [[666, 1140]], [[666, 1139]], [[667, 1138]], [[668, 1137]], [[669, 1137]], [[670, 1136]], [[671, 1136]], [[672, 1136]], [[673, 1135]], [[674, 1134]], [[675, 1134]], [[676, 1133]], [[676, 1132]], [[676, 1131]], [[676, 1130]], [[676, 1129]], [[677, 1128]], [[677, 1127]], [[677, 1126]], [[677, 1125]], [[676, 1124]], [[676, 1123]], [[675, 1122]], [[675, 1121]], [[674, 1120]], [[674, 1119]], [[673, 1119]], [[672, 1118]], [[671, 1117]], [[671, 1116]], [[671, 1115]], [[670, 1114]], [[669, 1113]], [[668, 1112]], [[667, 1112]], [[666, 1112]]]","[[[[666, 1110], [665, 1111], [664, 1111], [663, 1112], [663, 1113], [664, 1112], [665, 1111], [666, 1111], [667, 1111], [668, 1111], [669, 1112], [670, 1113], [671, 1114], [672, 1115], [672, 1116], [672, 1117], [673, 1118], [674, 1118], [675, 1117], [676, 1117], [677, 1117], [677, 1116], [676, 1115], [675, 1115], [674, 1116], [673, 1116], [672, 1115], [672, 1114], [671, 1113], [671, 1112], [671, 1111], [670, 1111], [669, 1111], [668, 1110], [667, 1110]]], []]","[3, []]"
8,8,"[[[522, 1091]], [[521, 1092]], [[521, 1093]], [[521, 1094]], [[521, 1095]], [[521, 1096]], [[521, 1097]], [[522, 1098]], [[522, 1099]], [[523, 1100]], [[523, 1101]], [[524, 1101]], [[525, 1101]], [[526, 1102]], [[526, 1103]], [[525, 1104]], [[525, 1105]], [[525, 1106]], [[524, 1107]], [[525, 1108]], [[525, 1109]], [[524, 1110]], [[525, 1110]], [[526, 1111]], [[527, 1110]], [[528, 1111]], [[529, 1110]], [[530, 1110]], [[530, 1109]], [[531, 1108]], [[531, 1107]], [[531, 1106]], [[532, 1105]], [[532, 1104]], [[532, 1103]], [[532, 1102]], [[533, 1101]], [[533, 1100]], [[534, 1099]], [[533, 1098]], [[533, 1097]], [[533, 1096]], [[532, 1095]], [[531, 1094]], [[531, 1093]], [[530, 1093]], [[529, 1092]], [[528, 1091]], [[527, 1091]], [[526, 1091]], [[525, 1092]], [[524, 1092]], [[523, 1092]]]",[[]],[]
9,9,"[[[576, 1083]], [[576, 1084]], [[575, 1085]], [[575, 1086]], [[574, 1087]], [[573, 1087]], [[573, 1088]], [[572, 1089]], [[571, 1090]], [[571, 1091]], [[570, 1092]], [[570, 1093]], [[569, 1094]], [[568, 1094]], [[567, 1095]], [[566, 1095]], [[565, 1095]], [[564, 1095]], [[565, 1096]], [[566, 1097]], [[566, 1098]], [[565, 1099]], [[564, 1099]], [[563, 1098]], [[563, 1097]], [[562, 1097]], [[561, 1096]], [[560, 1095]], [[559, 1094]], [[558, 1095]], [[557, 1096]], [[557, 1097]], [[557, 1098]], [[557, 1099]], [[557, 1100]], [[557, 1101]], [[557, 1102]], [[556, 1103]], [[555, 1102]], [[555, 1101]], [[555, 1100]], [[554, 1100]], [[553, 1099]], [[552, 1098]], [[551, 1098]], [[550, 1098]], [[549, 1099]], [[548, 1099]], [[547, 1099]], [[546, 1100]], [[545, 1101]], [[545, 1102]], [[545, 1103]], [[545, 1104]], [[544, 1105]], [[545, 1106]], [[546, 1107]], [[547, 1108]], [[547, 1109]], [[547, 1110]], [[548, 1111]], [[548, 1112]], [[549, 1112]], [[550, 1112]], [[551, 1113]], [[552, 1114]], [[553, 1114]], [[554, 1114]], [[555, 1114]], [[556, 1114]], [[557, 1114]], [[558, 1114]], [[559, 1114]], [[560, 1114]], [[561, 1113]], [[562, 1112]], [[563, 1111]], [[564, 1111]], [[564, 1110]], [[565, 1109]], [[566, 1109]], [[565, 1108]], [[565, 1107]], [[565, 1106]], [[566, 1105]], [[567, 1104]], [[568, 1105]], [[569, 1105]], [[570, 1106]], [[571, 1106]], [[572, 1107]], [[573, 1106]], [[574, 1106]], [[574, 1105]], [[573, 1105]], [[572, 1104]], [[573, 1103]], [[574, 1102]], [[575, 1101]], [[576, 1101]], [[577, 1101]], [[578, 1101]], [[579, 1102]], [[579, 1103]], [[580, 1103]], [[581, 1104]], [[581, 1105]], [[581, 1106]], [[581, 1107]], [[582, 1108]], [[582, 1109]], [[581, 1110]], [[581, 1111]], [[580, 1112]], [[581, 1113]], [[581, 1114]], [[581, 1115]], [[581, 1116]], [[582, 1116]], [[583, 1116]], [[584, 1117]], [[584, 1118]], [[584, 1119]], [[584, 1120]], [[583, 1121]], [[583, 1122]], [[582, 1123]], [[581, 1124]], [[580, 1125]], [[579, 1125]], [[578, 1125]], [[578, 1126]], [[578, 1127]], [[578, 1128]], [[577, 1129]], [[576, 1129]], [[575, 1130]], [[576, 1130]], [[577, 1129]], [[578, 1128]], [[579, 1129]], [[580, 1129]], [[581, 1129]], [[582, 1130]], [[583, 1131]], [[584, 1131]], [[585, 1132]], [[586, 1133]], [[586, 1134]], [[587, 1134]], [[588, 1134]], [[589, 1134]], [[590, 1134]], [[591, 1134]], [[592, 1133]], [[593, 1133]], [[594, 1132]], [[595, 1132]], [[596, 1132]], [[597, 1133]], [[598, 1133]], [[599, 1134]], [[599, 1135]], [[599, 1136]], [[600, 1137]], [[600, 1138]], [[601, 1138]], [[602, 1139]], [[602, 1140]], [[603, 1141]], [[603, 1142]], [[603, 1143]], [[604, 1143]], [[605, 1144]], [[606, 1144]], [[607, 1144]], [[608, 1144]], [[609, 1144]], [[610, 1145]], [[611, 1144]], [[611, 1143]], [[611, 1142]], [[611, 1141]], [[612, 1140]], [[613, 1140]], [[614, 1139]], [[615, 1139]], [[616, 1138]], [[617, 1137]], [[618, 1137]], [[619, 1137]], [[620, 1137]], [[621, 1136]], [[622, 1135]], [[623, 1135]], [[624, 1134]], [[624, 1133]], [[625, 1132]], [[626, 1131]], [[627, 1131]], [[628, 1130]], [[629, 1130]], [[629, 1129]], [[630, 1128]], [[630, 1127]], [[630, 1126]], [[630, 1125]], [[629, 1124]], [[628, 1123]], [[627, 1122]], [[626, 1121]], [[626, 1120]], [[627, 1119]], [[626, 1119]], [[625, 1118]], [[625, 1119]], [[624, 1120]], [[623, 1119]], [[622, 1119]], [[621, 1119]], [[620, 1118]], [[619, 1117]], [[618, 1117]], [[617, 1117]], [[616, 1116]], [[615, 1116]], [[614, 1115]], [[613, 1116]], [[612, 1116]], [[611, 1116]], [[610, 1117]], [[609, 1117]], [[608, 1117]], [[607, 1117]], [[606, 1117]], [[605, 1116]], [[604, 1115]], [[604, 1114]], [[604, 1113]], [[603, 1112]], [[603, 1111]], [[603, 1110]], [[603, 1109]], [[603, 1108]], [[603, 1107]], [[603, 1106]], [[604, 1105]], [[604, 1104]], [[604, 1103]], [[604, 1102]], [[604, 1101]], [[604, 1100]], [[604, 1099]], [[605, 1098]], [[605, 1097]], [[606, 1096]], [[606, 1095]], [[606, 1094]], [[606, 1093]], [[606, 1092]], [[605, 1092]], [[604, 1091]], [[603, 1090]], [[602, 1090]], [[601, 1090]], [[600, 1090]], [[599, 1089]], [[598, 1089]], [[597, 1089]], [[596, 1090]], [[595, 1090]], [[594, 1091]], [[593, 1091]], [[592, 1092]], [[591, 1092]], [[590, 1093]], [[589, 1094]], [[588, 1095]], [[587, 1095]], [[587, 1096]], [[586, 1097]], [[585, 1097]], [[584, 1098]], [[583, 1098]], [[582, 1098]], [[581, 1098]], [[580, 1099]], [[579, 1099]], [[578, 1098]], [[579, 1097]], [[580, 1096]], [[580, 1095]], [[580, 1094]], [[580, 1093]], [[581, 1092]], [[582, 1091]], [[582, 1090]], [[582, 1089]], [[581, 1088]], [[582, 1087]], [[581, 1086]], [[581, 1085]], [[581, 1084]], [[580, 1084]], [[579, 1084]], [[578, 1084]], [[577, 1084]]]","[[], [[[547, 1111], [546, 1112], [545, 1113], [545, 1114], [545, 1115], [546, 1116], [546, 1117], [547, 1116], [548, 1115], [549, 1115], [550, 1115], [551, 1116], [551, 1117], [550, 1118], [549, 1119], [548, 1119], [547, 1119], [546, 1120], [545, 1121], [545, 1122], [545, 1123], [544, 1124], [543, 1125], [543, 1126], [543, 1127], [544, 1127], [545, 1127], [546, 1128], [546, 1129], [545, 1130], [546, 1130], [547, 1131], [548, 1132], [548, 1133], [549, 1133], [550, 1133], [550, 1132], [549, 1131], [549, 1130], [548, 1129], [547, 1129], [546, 1128], [546, 1127], [545, 1126], [545, 1125], [545, 1124], [546, 1123], [547, 1124], [548, 1123], [549, 1123], [550, 1122], [550, 1121], [550, 1120], [551, 1119], [551, 1118], [552, 1117], [553, 1117], [554, 1117], [555, 1117], [556, 1117], [557, 1116], [558, 1117], [558, 1118], [559, 1118], [560, 1117], [561, 1117], [562, 1116], [562, 1115], [563, 1114], [563, 1113], [563, 1114], [562, 1115], [561, 1115], [560, 1115], [559, 1115], [558, 1115], [557, 1116], [556, 1116], [555, 1115], [554, 1115], [553, 1115], [552, 1115], [551, 1114], [550, 1113], [549, 1113], [548, 1113], [547, 1112]]], [[[575, 1102], [574, 1103], [575, 1104], [576, 1104], [577, 1105], [577, 1106], [577, 1107], [576, 1108], [575, 1109], [574, 1110], [573, 1111], [574, 1111], [575, 1111], [576, 1111], [577, 1111], [578, 1111], [579, 1111], [580, 1111], [580, 1110], [581, 1109], [581, 1108], [580, 1107], [580, 1106], [580, 1105], [580, 1104], [579, 1104], [578, 1103], [578, 1102], [577, 1102], [576, 1102]]], [[[570, 1112], [570, 1113], [571, 1113], [572, 1113], [573, 1114], [573, 1115], [574, 1116], [573, 1117], [572, 1117], [571, 1117], [570, 1117], [570, 1118], [570, 1119], [570, 1120], [570, 1121], [570, 1122], [570, 1123], [569, 1124], [569, 1125], [568, 1126], [567, 1127], [566, 1127], [565, 1128], [564, 1128], [565, 1128], [566, 1128], [567, 1129], [568, 1128], [569, 1128], [569, 1127], [569, 1126], [570, 1125], [571, 1124], [572, 1124], [573, 1124], [574, 1124], [575, 1125], [575, 1126], [575, 1127], [574, 1128], [574, 1129], [575, 1129], [576, 1128], [577, 1128], [577, 1127], [577, 1126], [577, 1125], [578, 1124], [579, 1124], [580, 1124], [581, 1123], [582, 1122], [582, 1121], [583, 1120], [583, 1119], [583, 1118], [583, 1117], [582, 1117], [581, 1117], [580, 1116], [580, 1115], [580, 1114], [580, 1113], [579, 1113], [578, 1113], [578, 1114], [577, 1115], [576, 1115], [575, 1115], [574, 1114], [573, 1114], [572, 1113], [571, 1112]]], [[[617, 1138], [616, 1139], [615, 1140], [614, 1140], [613, 1141], [612, 1141], [612, 1142], [612, 1143], [612, 1144], [612, 1145], [611, 1146], [610, 1146], [609, 1146], [608, 1146], [607, 1145], [607, 1146], [608, 1147], [608, 1148], [608, 1149], [608, 1150], [609, 1151], [609, 1152], [610, 1151], [611, 1150], [612, 1149], [612, 1148], [612, 1147], [613, 1146], [612, 1145], [613, 1144], [614, 1144], [614, 1143], [615, 1142], [616, 1141], [617, 1141], [617, 1140], [618, 1139], [619, 1139], [620, 1139], [621, 1139], [620, 1138], [619, 1138], [618, 1138]]], [[[626, 1107], [626, 1108], [625, 1109], [626, 1110], [626, 1111], [627, 1112], [627, 1113], [626, 1114], [625, 1114], [624, 1113], [624, 1114], [625, 1115], [626, 1116], [627, 1117], [628, 1118], [628, 1119], [627, 1120], [627, 1121], [628, 1122], [629, 1123], [630, 1124], [631, 1125], [631, 1126], [631, 1127], [631, 1128], [630, 1129], [630, 1130], [631, 1129], [631, 1128], [632, 1127], [632, 1126], [632, 1125], [632, 1124], [631, 1123], [631, 1122], [630, 1121], [630, 1120], [630, 1119], [630, 1118], [630, 1117], [630, 1116], [629, 1115], [629, 1114], [629, 1113], [630, 1112], [630, 1111], [630, 1110], [629, 1109], [628, 1108], [628, 1107], [627, 1107]]], [[[602, 1076], [601, 1077], [601, 1078], [601, 1079], [600, 1080], [599, 1080], [598, 1080], [597, 1080], [596, 1080], [595, 1080], [594, 1081], [593, 1080], [593, 1081], [594, 1081], [595, 1081], [596, 1082], [597, 1082], [598, 1082], [599, 1081], [600, 1082], [600, 1083], [599, 1084], [598, 1084], [597, 1085], [597, 1086], [598, 1087], [597, 1088], [596, 1089], [595, 1089], [594, 1089], [593, 1088], [593, 1087], [592, 1087], [591, 1087], [590, 1087], [589, 1086], [588, 1086], [588, 1087], [588, 1088], [587, 1089], [586, 1089], [585, 1088], [584, 1088], [583, 1087], [583, 1086], [583, 1085], [582, 1084], [582, 1085], [583, 1086], [583, 1087], [582, 1088], [583, 1089], [583, 1090], [584, 1091], [583, 1092], [582, 1092], [581, 1093], [582, 1093], [583, 1094], [582, 1095], [581, 1096], [580, 1097], [580, 1098], [581, 1097], [582, 1097], [583, 1097], [584, 1097], [585, 1096], [586, 1096], [586, 1095], [587, 1094], [588, 1094], [589, 1093], [590, 1092], [591, 1091], [592, 1091], [593, 1090], [594, 1090], [595, 1089], [596, 1089], [597, 1088], [598, 1088], [599, 1088], [600, 1089], [601, 1089], [602, 1089], [603, 1089], [604, 1090], [605, 1091], [606, 1091], [607, 1092], [607, 1093], [607, 1092], [608, 1091], [609, 1091], [610, 1091], [611, 1091], [612, 1091], [613, 1092], [613, 1093], [612, 1094], [611, 1094], [610, 1094], [609, 1095], [608, 1095], [609, 1096], [609, 1097], [610, 1097], [611, 1096], [612, 1095], [613, 1095], [614, 1095], [615, 1095], [616, 1095], [617, 1095], [616, 1094], [616, 1093], [615, 1092], [614, 1091], [613, 1090], [614, 1089], [614, 1088], [613, 1088], [612, 1088], [611, 1089], [610, 1089], [609, 1090], [608, 1091], [607, 1091], [606, 1090], [605, 1089], [605, 1088], [606, 1087], [607, 1087], [608, 1087], [609, 1087], [610, 1086], [611, 1086], [612, 1085], [612, 1084], [613, 1083], [614, 1082], [615, 1083], [614, 1082], [613, 1081], [612, 1081], [612, 1082], [612, 1083], [612, 1084], [611, 1085], [610, 1085], [609, 1085], [608, 1085], [607, 1086], [606, 1087], [605, 1088], [604, 1089], [603, 1088], [602, 1087], [601, 1086], [601, 1085], [601, 1084], [600, 1083], [600, 1082], [600, 1081], [601, 1080], [602, 1080], [603, 1080], [603, 1079], [603, 1078], [603, 1077], [604, 1076], [603, 1076]]]]","[[], 4, 5, 6, 7, 8, 9]"
