,ncm_ind,ncm_cordi,pore,pore_ind
0,0,"[[[264, 1187]], [[263, 1188]], [[263, 1189]], [[262, 1190]], [[262, 1191]], [[262, 1192]], [[262, 1193]], [[262, 1194]], [[263, 1194]], [[264, 1195]], [[265, 1195]], [[266, 1195]], [[267, 1196]], [[268, 1197]], [[269, 1197]], [[270, 1198]], [[271, 1198]], [[272, 1197]], [[273, 1197]], [[274, 1196]], [[274, 1195]], [[274, 1194]], [[274, 1193]], [[273, 1192]], [[273, 1191]], [[273, 1190]], [[272, 1189]], [[271, 1188]], [[270, 1188]], [[269, 1187]], [[268, 1187]], [[267, 1187]], [[266, 1187]], [[265, 1187]]]",[[]],[]
1,1,"[[[101, 1176]], [[100, 1177]], [[99, 1177]], [[98, 1178]], [[97, 1178]], [[96, 1178]], [[95, 1178]], [[94, 1178]], [[93, 1177]], [[92, 1177]], [[91, 1177]], [[90, 1178]], [[89, 1178]], [[89, 1179]], [[88, 1180]], [[87, 1180]], [[86, 1180]], [[85, 1180]], [[84, 1180]], [[83, 1181]], [[82, 1181]], [[81, 1182]], [[81, 1183]], [[81, 1184]], [[81, 1185]], [[81, 1186]], [[81, 1187]], [[81, 1188]], [[82, 1189]], [[82, 1190]], [[82, 1191]], [[83, 1192]], [[84, 1193]], [[85, 1194]], [[86, 1194]], [[87, 1195]], [[88, 1195]], [[89, 1196]], [[90, 1195]], [[91, 1196]], [[92, 1196]], [[93, 1197]], [[94, 1198]], [[95, 1199]], [[96, 1198]], [[97, 1198]], [[98, 1197]], [[99, 1197]], [[100, 1197]], [[101, 1197]], [[102, 1197]], [[103, 1196]], [[104, 1195]], [[105, 1195]], [[106, 1195]], [[107, 1195]], [[107, 1194]], [[106, 1193]], [[105, 1192]], [[105, 1191]], [[106, 1190]], [[107, 1189]], [[108, 1189]], [[108, 1188]], [[109, 1187]], [[109, 1186]], [[109, 1185]], [[109, 1184]], [[109, 1183]], [[109, 1182]], [[110, 1181]], [[111, 1182]], [[112, 1183]], [[112, 1184]], [[113, 1184]], [[114, 1183]], [[114, 1182]], [[113, 1182]], [[112, 1182]], [[111, 1182]], [[110, 1181]], [[109, 1181]], [[108, 1180]], [[107, 1180]], [[106, 1179]], [[105, 1179]], [[104, 1178]], [[104, 1177]], [[103, 1176]], [[102, 1176]]]","[[], [[[81, 1172], [82, 1173], [83, 1173], [84, 1173], [85, 1174], [86, 1175], [86, 1176], [87, 1177], [87, 1178], [88, 1178], [89, 1177], [90, 1177], [91, 1176], [92, 1176], [93, 1176], [94, 1176], [94, 1175], [94, 1174], [94, 1173], [93, 1172], [92, 1173], [91, 1173], [90, 1174], [89, 1174], [89, 1175], [88, 1176], [87, 1176], [86, 1175], [86, 1174], [85, 1173], [84, 1172], [83, 1172], [82, 1172]]]]","[[], 0]"
2,2,"[[[602, 1165]], [[601, 1166]], [[601, 1167]], [[600, 1168]], [[600, 1169]], [[599, 1170]], [[598, 1171]], [[598, 1172]], [[598, 1173]], [[599, 1174]], [[599, 1175]], [[599, 1176]], [[600, 1177]], [[600, 1178]], [[600, 1179]], [[600, 1180]], [[601, 1181]], [[601, 1182]], [[602, 1183]], [[603, 1184]], [[602, 1185]], [[602, 1186]], [[603, 1186]], [[604, 1187]], [[605, 1187]], [[606, 1187]], [[607, 1188]], [[608, 1188]], [[609, 1189]], [[610, 1189]], [[611, 1189]], [[612, 1189]], [[613, 1189]], [[614, 1188]], [[615, 1187]], [[616, 1187]], [[617, 1186]], [[618, 1185]], [[619, 1184]], [[620, 1185]], [[621, 1185]], [[622, 1185]], [[623, 1185]], [[624, 1186]], [[623, 1187]], [[622, 1188]], [[621, 1188]], [[621, 1189]], [[622, 1190]], [[621, 1191]], [[621, 1192]], [[622, 1193]], [[623, 1192]], [[624, 1192]], [[625, 1192]], [[626, 1191]], [[627, 1191]], [[628, 1192]], [[629, 1193]], [[629, 1194]], [[630, 1194]], [[631, 1194]], [[632, 1195]], [[633, 1195]], [[634, 1195]], [[635, 1196]], [[636, 1196]], [[635, 1195]], [[636, 1194]], [[637, 1193]], [[638, 1193]], [[639, 1192]], [[640, 1191]], [[641, 1190]], [[641, 1189]], [[640, 1189]], [[639, 1188]], [[638, 1187]], [[637, 1187]], [[636, 1186]], [[636, 1185]], [[636, 1184]], [[635, 1183]], [[635, 1182]], [[634, 1181]], [[634, 1180]], [[633, 1179]], [[632, 1178]], [[631, 1178]], [[630, 1178]], [[629, 1178]], [[628, 1179]], [[627, 1179]], [[626, 1179]], [[625, 1180]], [[624, 1180]], [[623, 1181]], [[622, 1182]], [[621, 1183]], [[620, 1183]], [[619, 1183]], [[618, 1182]], [[618, 1181]], [[618, 1180]], [[618, 1179]], [[618, 1178]], [[617, 1177]], [[617, 1176]], [[617, 1175]], [[616, 1175]], [[615, 1174]], [[614, 1174]], [[613, 1175]], [[612, 1175]], [[611, 1175]], [[610, 1175]], [[609, 1174]], [[608, 1173]], [[607, 1172]], [[607, 1171]], [[608, 1170]], [[608, 1169]], [[608, 1168]], [[608, 1167]], [[607, 1166]], [[606, 1165]], [[605, 1165]], [[604, 1165]], [[603, 1165]]]","[[], [[[610, 1159], [609, 1160], [608, 1160], [607, 1161], [606, 1161], [606, 1162], [606, 1163], [606, 1164], [607, 1165], [608, 1166], [609, 1167], [609, 1168], [610, 1169], [610, 1170], [611, 1169], [610, 1168], [610, 1167], [610, 1166], [611, 1165], [612, 1164], [613, 1163], [613, 1162], [613, 1161], [613, 1160], [612, 1160], [611, 1160]]]]","[[], 1]"
3,3,"[[[204, 1162]], [[203, 1163]], [[202, 1164]], [[201, 1165]], [[201, 1166]], [[200, 1167]], [[200, 1168]], [[200, 1169]], [[200, 1170]], [[200, 1171]], [[200, 1172]], [[201, 1172]], [[202, 1172]], [[203, 1172]], [[204, 1173]], [[204, 1174]], [[204, 1175]], [[204, 1176]], [[204, 1177]], [[204, 1178]], [[205, 1179]], [[205, 1180]], [[205, 1181]], [[205, 1182]], [[206, 1183]], [[207, 1184]], [[208, 1185]], [[209, 1184]], [[210, 1184]], [[211, 1185]], [[212, 1185]], [[213, 1185]], [[214, 1186]], [[215, 1186]], [[216, 1186]], [[217, 1185]], [[218, 1185]], [[219, 1184]], [[219, 1183]], [[219, 1182]], [[219, 1181]], [[219, 1180]], [[219, 1179]], [[220, 1178]], [[220, 1177]], [[220, 1176]], [[220, 1175]], [[220, 1174]], [[220, 1173]], [[220, 1172]], [[220, 1171]], [[220, 1170]], [[220, 1169]], [[220, 1168]], [[220, 1167]], [[219, 1166]], [[219, 1165]], [[218, 1164]], [[217, 1164]], [[216, 1164]], [[215, 1164]], [[214, 1164]], [[213, 1164]], [[212, 1164]], [[211, 1164]], [[210, 1164]], [[209, 1164]], [[208, 1163]], [[207, 1163]], [[206, 1163]], [[205, 1162]]]","[[[[223, 1185], [222, 1186], [222, 1187], [223, 1188], [223, 1189], [223, 1190], [224, 1191], [223, 1192], [222, 1192], [221, 1191], [220, 1191], [219, 1191], [218, 1191], [217, 1190], [217, 1189], [217, 1188], [217, 1187], [216, 1187], [215, 1187], [214, 1187], [213, 1186], [212, 1186], [211, 1186], [210, 1186], [209, 1186], [208, 1187], [207, 1187], [206, 1187], [206, 1188], [207, 1188], [208, 1189], [209, 1189], [210, 1189], [210, 1188], [211, 1187], [212, 1188], [213, 1189], [214, 1189], [215, 1190], [215, 1191], [216, 1191], [217, 1191], [218, 1192], [219, 1192], [220, 1193], [220, 1194], [220, 1195], [220, 1196], [220, 1197], [220, 1198], [221, 1199], [222, 1199], [222, 1198], [221, 1198], [220, 1197], [220, 1196], [220, 1195], [221, 1194], [222, 1194], [223, 1194], [224, 1194], [223, 1193], [224, 1192], [225, 1192], [224, 1191], [224, 1190], [224, 1189], [224, 1188], [224, 1187], [224, 1186], [224, 1185]]], []]","[2, []]"
4,4,"[[[430, 1132]], [[429, 1133]], [[428, 1134]], [[427, 1135]], [[427, 1136]], [[427, 1137]], [[427, 1138]], [[427, 1139]], [[427, 1140]], [[428, 1141]], [[428, 1142]], [[428, 1143]], [[428, 1144]], [[428, 1145]], [[428, 1146]], [[429, 1146]], [[430, 1146]], [[431, 1146]], [[432, 1145]], [[432, 1144]], [[432, 1143]], [[433, 1142]], [[433, 1141]], [[433, 1140]], [[433, 1139]], [[433, 1138]], [[433, 1137]], [[433, 1136]], [[432, 1135]], [[431, 1134]], [[430, 1133]]]",[[]],[]
5,5,"[[[100, 1128]], [[100, 1129]], [[99, 1130]], [[98, 1130]], [[97, 1130]], [[96, 1131]], [[96, 1132]], [[97, 1133]], [[98, 1134]], [[98, 1135]], [[99, 1136]], [[99, 1137]], [[99, 1138]], [[99, 1139]], [[100, 1140]], [[100, 1141]], [[100, 1142]], [[99, 1143]], [[98, 1143]], [[98, 1144]], [[97, 1145]], [[97, 1146]], [[97, 1147]], [[96, 1148]], [[96, 1149]], [[96, 1150]], [[96, 1151]], [[96, 1152]], [[96, 1153]], [[97, 1154]], [[97, 1155]], [[98, 1155]], [[99, 1156]], [[100, 1157]], [[100, 1158]], [[101, 1159]], [[102, 1159]], [[103, 1160]], [[104, 1161]], [[104, 1162]], [[103, 1163]], [[103, 1164]], [[104, 1165]], [[105, 1166]], [[105, 1167]], [[106, 1168]], [[107, 1169]], [[108, 1169]], [[109, 1170]], [[110, 1170]], [[111, 1171]], [[112, 1172]], [[113, 1171]], [[114, 1171]], [[115, 1171]], [[116, 1171]], [[117, 1171]], [[118, 1171]], [[119, 1170]], [[120, 1170]], [[121, 1170]], [[122, 1169]], [[123, 1169]], [[124, 1169]], [[125, 1169]], [[126, 1169]], [[127, 1168]], [[128, 1168]], [[129, 1167]], [[130, 1167]], [[131, 1166]], [[132, 1166]], [[133, 1166]], [[134, 1165]], [[135, 1165]], [[136, 1165]], [[137, 1164]], [[138, 1164]], [[139, 1163]], [[139, 1162]], [[139, 1161]], [[139, 1160]], [[139, 1159]], [[139, 1158]], [[139, 1157]], [[139, 1156]], [[139, 1155]], [[139, 1154]], [[139, 1153]], [[140, 1152]], [[140, 1151]], [[140, 1150]], [[140, 1149]], [[140, 1148]], [[140, 1147]], [[140, 1146]], [[140, 1145]], [[141, 1144]], [[141, 1143]], [[141, 1142]], [[142, 1141]], [[141, 1140]], [[141, 1139]], [[141, 1138]], [[142, 1137]], [[142, 1136]], [[142, 1135]], [[143, 1134]], [[143, 1133]], [[143, 1132]], [[143, 1131]], [[143, 1130]], [[142, 1129]], [[141, 1128]], [[140, 1128]], [[139, 1128]], [[138, 1128]], [[137, 1128]], [[136, 1128]], [[135, 1128]], [[134, 1129]], [[133, 1129]], [[132, 1129]], [[131, 1129]], [[130, 1130]], [[129, 1130]], [[128, 1130]], [[127, 1130]], [[126, 1130]], [[125, 1130]], [[124, 1130]], [[124, 1131]], [[123, 1132]], [[122, 1133]], [[121, 1133]], [[120, 1133]], [[119, 1132]], [[118, 1132]], [[117, 1132]], [[116, 1131]], [[116, 1132]], [[116, 1133]], [[115, 1134]], [[114, 1134]], [[113, 1133]], [[112, 1132]], [[111, 1132]], [[110, 1132]], [[109, 1132]], [[108, 1132]], [[107, 1132]], [[107, 1133]], [[107, 1134]], [[106, 1135]], [[105, 1136]], [[104, 1136]], [[103, 1135]], [[102, 1134]], [[102, 1133]], [[102, 1132]], [[103, 1131]], [[102, 1130]], [[102, 1129]], [[101, 1128]]]","[[], [[[95, 1134], [95, 1135], [94, 1136], [94, 1137], [93, 1138], [93, 1139], [94, 1140], [94, 1141], [95, 1142], [95, 1143], [95, 1144], [94, 1145], [93, 1145], [92, 1145], [92, 1146], [92, 1147], [92, 1148], [93, 1149], [94, 1149], [95, 1149], [95, 1148], [96, 1147], [96, 1146], [96, 1145], [97, 1144], [97, 1143], [98, 1142], [98, 1141], [97, 1140], [96, 1141], [95, 1140], [95, 1139], [95, 1138], [95, 1137], [96, 1136], [96, 1135]]], [[[110, 1128], [110, 1129], [110, 1130], [109, 1131], [110, 1131], [111, 1131], [112, 1131], [113, 1132], [114, 1133], [115, 1133], [115, 1132], [115, 1131], [116, 1130], [117, 1131], [118, 1131], [119, 1131], [120, 1132], [121, 1132], [122, 1132], [123, 1131], [123, 1130], [123, 1129], [122, 1129], [121, 1128], [120, 1129], [119, 1130], [118, 1129], [117, 1129], [116, 1129], [115, 1129], [114, 1128], [113, 1128], [112, 1128], [111, 1128]]]]","[[], 3, 4]"
6,6,"[[[771, 1122]], [[770, 1123]], [[769, 1123]], [[768, 1124]], [[768, 1125]], [[767, 1126]], [[766, 1127]], [[766, 1128]], [[766, 1129]], [[766, 1130]], [[766, 1131]], [[765, 1132]], [[764, 1133]], [[763, 1134]], [[762, 1135]], [[761, 1136]], [[760, 1137]], [[759, 1138]], [[758, 1139]], [[757, 1139]], [[756, 1139]], [[755, 1140]], [[754, 1141]], [[754, 1142]], [[754, 1143]], [[753, 1144]], [[753, 1145]], [[753, 1146]], [[753, 1147]], [[753, 1148]], [[753, 1149]], [[753, 1150]], [[753, 1151]], [[753, 1152]], [[753, 1153]], [[753, 1154]], [[753, 1155]], [[754, 1156]], [[754, 1157]], [[754, 1158]], [[754, 1159]], [[754, 1160]], [[755, 1161]], [[755, 1162]], [[756, 1163]], [[756, 1164]], [[757, 1165]], [[758, 1166]], [[759, 1166]], [[760, 1166]], [[761, 1166]], [[762, 1165]], [[763, 1165]], [[764, 1164]], [[765, 1164]], [[766, 1164]], [[767, 1163]], [[768, 1163]], [[769, 1163]], [[770, 1163]], [[771, 1164]], [[772, 1164]], [[773, 1164]], [[774, 1164]], [[775, 1163]], [[776, 1163]], [[777, 1163]], [[778, 1162]], [[778, 1161]], [[779, 1160]], [[780, 1159]], [[780, 1158]], [[780, 1157]], [[780, 1156]], [[781, 1155]], [[781, 1154]], [[782, 1153]], [[783, 1152]], [[784, 1151]], [[785, 1150]], [[786, 1149]], [[786, 1148]], [[787, 1147]], [[787, 1146]], [[788, 1145]], [[788, 1144]], [[788, 1143]], [[789, 1142]], [[789, 1141]], [[789, 1140]], [[789, 1139]], [[789, 1138]], [[789, 1137]], [[790, 1136]], [[790, 1135]], [[790, 1134]], [[790, 1133]], [[790, 1132]], [[789, 1131]], [[789, 1130]], [[788, 1129]], [[788, 1128]], [[787, 1127]], [[786, 1126]], [[785, 1125]], [[784, 1125]], [[783, 1125]], [[782, 1125]], [[781, 1124]], [[780, 1124]], [[779, 1124]], [[778, 1123]], [[777, 1122]], [[776, 1122]], [[775, 1122]], [[774, 1122]], [[773, 1122]], [[772, 1122]]]","[[[[769, 1103], [768, 1104], [767, 1105], [767, 1106], [767, 1107], [766, 1108], [766, 1109], [765, 1110], [764, 1111], [763, 1111], [762, 1112], [761, 1113], [760, 1114], [759, 1114], [758, 1114], [757, 1115], [758, 1115], [759, 1115], [760, 1115], [761, 1115], [762, 1114], [763, 1113], [764, 1112], [765, 1112], [766, 1111], [767, 1110], [768, 1110], [769, 1111], [770, 1112], [769, 1113], [769, 1114], [768, 1115], [768, 1116], [769, 1117], [769, 1118], [770, 1119], [771, 1120], [771, 1121], [772, 1121], [773, 1120], [774, 1120], [775, 1121], [776, 1121], [777, 1121], [778, 1121], [779, 1121], [778, 1120], [778, 1119], [778, 1118], [778, 1117], [779, 1116], [780, 1116], [781, 1116], [782, 1117], [783, 1118], [784, 1119], [785, 1120], [786, 1120], [787, 1121], [787, 1122], [786, 1123], [786, 1124], [786, 1125], [787, 1126], [788, 1127], [789, 1128], [789, 1129], [790, 1130], [791, 1131], [790, 1130], [790, 1129], [789, 1128], [789, 1127], [788, 1126], [787, 1125], [787, 1124], [788, 1123], [788, 1122], [788, 1121], [788, 1120], [787, 1120], [786, 1119], [787, 1118], [788, 1118], [789, 1118], [788, 1118], [787, 1118], [786, 1118], [785, 1118], [784, 1119], [783, 1118], [782, 1117], [783, 1116], [784, 1115], [785, 1115], [784, 1115], [783, 1115], [782, 1115], [781, 1114], [780, 1113], [779, 1113], [778, 1113], [777, 1113], [776, 1113], [775, 1112], [774, 1111], [774, 1110], [773, 1109], [773, 1108], [773, 1107], [773, 1106], [774, 1105], [774, 1104], [773, 1103], [772, 1104], [771, 1104], [770, 1103]]], [[[753, 1135], [752, 1136], [751, 1137], [750, 1138], [749, 1138], [749, 1139], [750, 1140], [751, 1141], [751, 1142], [751, 1143], [752, 1144], [752, 1145], [751, 1146], [751, 1147], [752, 1147], [752, 1146], [752, 1145], [752, 1144], [753, 1143], [753, 1142], [753, 1141], [752, 1141], [751, 1140], [752, 1139], [753, 1138], [754, 1139], [755, 1139], [756, 1138], [757, 1137], [758, 1137], [757, 1137], [756, 1137], [755, 1136], [754, 1135]]], []]","[5, 6, []]"
7,7,"[[[631, 1119]], [[630, 1120]], [[629, 1120]], [[628, 1120]], [[628, 1121]], [[627, 1122]], [[627, 1123]], [[626, 1124]], [[626, 1125]], [[626, 1126]], [[625, 1127]], [[625, 1128]], [[625, 1129]], [[625, 1130]], [[626, 1131]], [[626, 1132]], [[627, 1133]], [[628, 1134]], [[629, 1135]], [[630, 1136]], [[631, 1136]], [[632, 1137]], [[632, 1138]], [[633, 1139]], [[634, 1140]], [[635, 1140]], [[636, 1140]], [[637, 1141]], [[637, 1142]], [[637, 1143]], [[638, 1143]], [[639, 1143]], [[640, 1143]], [[641, 1144]], [[642, 1143]], [[643, 1143]], [[644, 1143]], [[645, 1143]], [[646, 1143]], [[647, 1143]], [[648, 1143]], [[649, 1143]], [[649, 1142]], [[650, 1141]], [[651, 1140]], [[651, 1139]], [[651, 1138]], [[652, 1137]], [[653, 1136]], [[654, 1136]], [[655, 1137]], [[655, 1136]], [[655, 1135]], [[655, 1134]], [[655, 1133]], [[656, 1132]], [[656, 1131]], [[656, 1130]], [[656, 1129]], [[656, 1128]], [[657, 1127]], [[657, 1126]], [[657, 1125]], [[656, 1124]], [[656, 1123]], [[656, 1122]], [[655, 1121]], [[654, 1120]], [[653, 1120]], [[652, 1119]], [[651, 1119]], [[650, 1119]], [[649, 1119]], [[648, 1120]], [[647, 1119]], [[647, 1120]], [[646, 1121]], [[645, 1120]], [[644, 1120]], [[643, 1120]], [[642, 1121]], [[641, 1121]], [[640, 1121]], [[639, 1121]], [[638, 1121]], [[637, 1121]], [[636, 1120]], [[635, 1120]], [[634, 1120]], [[633, 1120]], [[632, 1120]]]",[[]],[]
8,8,"[[[55, 1108]], [[54, 1109]], [[53, 1109]], [[52, 1110]], [[52, 1111]], [[52, 1112]], [[53, 1113]], [[53, 1114]], [[53, 1115]], [[52, 1116]], [[51, 1116]], [[50, 1117]], [[49, 1118]], [[48, 1119]], [[47, 1119]], [[46, 1118]], [[45, 1119]], [[45, 1120]], [[45, 1121]], [[45, 1122]], [[44, 1123]], [[44, 1124]], [[43, 1125]], [[43, 1126]], [[42, 1127]], [[41, 1128]], [[40, 1129]], [[39, 1130]], [[38, 1131]], [[37, 1130]], [[36, 1131]], [[37, 1132]], [[37, 1133]], [[37, 1134]], [[37, 1135]], [[37, 1136]], [[37, 1137]], [[37, 1138]], [[37, 1139]], [[37, 1140]], [[37, 1141]], [[37, 1142]], [[37, 1143]], [[38, 1143]], [[39, 1144]], [[40, 1145]], [[41, 1146]], [[41, 1147]], [[41, 1148]], [[42, 1149]], [[43, 1150]], [[43, 1151]], [[44, 1152]], [[44, 1153]], [[45, 1154]], [[45, 1155]], [[46, 1156]], [[47, 1156]], [[48, 1155]], [[49, 1154]], [[50, 1153]], [[51, 1154]], [[52, 1155]], [[52, 1156]], [[52, 1157]], [[53, 1156]], [[54, 1155]], [[54, 1154]], [[55, 1153]], [[55, 1152]], [[55, 1151]], [[55, 1150]], [[56, 1149]], [[57, 1148]], [[57, 1147]], [[57, 1146]], [[58, 1145]], [[59, 1144]], [[59, 1143]], [[59, 1142]], [[59, 1141]], [[59, 1140]], [[59, 1139]], [[59, 1138]], [[59, 1137]], [[59, 1136]], [[59, 1135]], [[59, 1134]], [[59, 1133]], [[59, 1132]], [[59, 1131]], [[59, 1130]], [[59, 1129]], [[59, 1128]], [[59, 1127]], [[59, 1126]], [[59, 1125]], [[59, 1124]], [[58, 1123]], [[58, 1122]], [[58, 1121]], [[59, 1120]], [[60, 1119]], [[60, 1118]], [[61, 1117]], [[61, 1116]], [[62, 1115]], [[62, 1114]], [[62, 1113]], [[62, 1112]], [[62, 1111]], [[61, 1110]], [[61, 1109]], [[60, 1108]], [[59, 1108]], [[58, 1108]], [[57, 1108]], [[56, 1108]]]","[[], [[[38, 1122], [37, 1123], [37, 1124], [37, 1125], [37, 1126], [36, 1127], [35, 1127], [34, 1127], [33, 1128], [33, 1129], [33, 1130], [34, 1130], [35, 1129], [36, 1129], [37, 1129], [38, 1130], [39, 1129], [40, 1128], [41, 1127], [40, 1127], [39, 1126], [39, 1125], [40, 1124], [40, 1123], [40, 1122], [39, 1122]]], [[[37, 1144], [36, 1145], [35, 1146], [34, 1146], [33, 1146], [32, 1146], [32, 1147], [31, 1148], [30, 1149], [29, 1149], [29, 1150], [29, 1151], [30, 1151], [31, 1151], [31, 1150], [31, 1149], [32, 1148], [33, 1148], [34, 1149], [35, 1150], [35, 1151], [36, 1150], [36, 1149], [37, 1148], [38, 1147], [39, 1148], [40, 1149], [40, 1150], [41, 1151], [41, 1152], [42, 1153], [42, 1154], [43, 1155], [43, 1156], [44, 1157], [44, 1158], [45, 1158], [46, 1159], [47, 1159], [48, 1160], [49, 1160], [50, 1160], [51, 1160], [52, 1161], [52, 1162], [51, 1163], [50, 1163], [51, 1164], [52, 1165], [53, 1165], [54, 1165], [55, 1166], [56, 1166], [57, 1166], [58, 1167], [58, 1166], [58, 1165], [57, 1165], [56, 1165], [55, 1164], [54, 1163], [54, 1162], [53, 1161], [54, 1160], [54, 1159], [53, 1158], [52, 1158], [51, 1157], [51, 1156], [51, 1155], [50, 1154], [49, 1155], [48, 1156], [47, 1157], [46, 1157], [45, 1156], [44, 1155], [44, 1154], [43, 1153], [43, 1152], [42, 1151], [42, 1150], [41, 1149], [40, 1148], [40, 1147], [40, 1146], [39, 1145], [38, 1144]]], [[[59, 1145], [58, 1146], [58, 1147], [58, 1148], [57, 1149], [56, 1150], [56, 1151], [56, 1152], [56, 1153], [55, 1154], [55, 1155], [55, 1156], [56, 1155], [57, 1154], [58, 1154], [59, 1154], [60, 1154], [60, 1153], [61, 1152], [62, 1152], [63, 1153], [64, 1154], [64, 1155], [64, 1156], [63, 1157], [62, 1157], [63, 1157], [64, 1157], [65, 1157], [66, 1158], [65, 1159], [64, 1159], [64, 1160], [64, 1161], [65, 1161], [66, 1160], [67, 1159], [68, 1159], [68, 1158], [68, 1157], [68, 1156], [67, 1155], [66, 1154], [65, 1153], [65, 1152], [64, 1151], [63, 1151], [62, 1151], [61, 1151], [60, 1150], [60, 1149], [61, 1148], [61, 1147], [61, 1146], [60, 1145]], [[37, 1144], [36, 1145], [35, 1146], [34, 1146], [33, 1146], [32, 1146], [32, 1147], [31, 1148], [30, 1149], [29, 1149], [29, 1150], [29, 1151], [30, 1151], [31, 1151], [31, 1150], [31, 1149], [32, 1148], [33, 1148], [34, 1149], [35, 1150], [35, 1151], [36, 1150], [36, 1149], [37, 1148], [38, 1147], [39, 1148], [40, 1149], [40, 1150], [41, 1151], [41, 1152], [42, 1153], [42, 1154], [43, 1155], [43, 1156], [44, 1157], [44, 1158], [45, 1158], [46, 1159], [47, 1159], [48, 1160], [49, 1160], [50, 1160], [51, 1160], [52, 1161], [52, 1162], [51, 1163], [50, 1163], [51, 1164], [52, 1165], [53, 1165], [54, 1165], [55, 1166], [56, 1166], [57, 1166], [58, 1167], [58, 1166], [58, 1165], [57, 1165], [56, 1165], [55, 1164], [54, 1163], [54, 1162], [53, 1161], [54, 1160], [54, 1159], [53, 1158], [52, 1158], [51, 1157], [51, 1156], [51, 1155], [50, 1154], [49, 1155], [48, 1156], [47, 1157], [46, 1157], [45, 1156], [44, 1155], [44, 1154], [43, 1153], [43, 1152], [42, 1151], [42, 1150], [41, 1149], [40, 1148], [40, 1147], [40, 1146], [39, 1145], [38, 1144]]], [[[59, 1145], [58, 1146], [58, 1147], [58, 1148], [57, 1149], [56, 1150], [56, 1151], [56, 1152], [56, 1153], [55, 1154], [55, 1155], [55, 1156], [56, 1155], [57, 1154], [58, 1154], [59, 1154], [60, 1154], [60, 1153], [61, 1152], [62, 1152], [63, 1153], [64, 1154], [64, 1155], [64, 1156], [63, 1157], [62, 1157], [63, 1157], [64, 1157], [65, 1157], [66, 1158], [65, 1159], [64, 1159], [64, 1160], [64, 1161], [65, 1161], [66, 1160], [67, 1159], [68, 1159], [68, 1158], [68, 1157], [68, 1156], [67, 1155], [66, 1154], [65, 1153], [65, 1152], [64, 1151], [63, 1151], [62, 1151], [61, 1151], [60, 1150], [60, 1149], [61, 1148], [61, 1147], [61, 1146], [60, 1145]]]]","[[], 7, 8, 9, 10]"
9,9,"[[[663, 1096]], [[662, 1097]], [[661, 1097]], [[660, 1098]], [[659, 1099]], [[658, 1099]], [[657, 1100]], [[656, 1101]], [[655, 1101]], [[655, 1102]], [[654, 1103]], [[654, 1104]], [[654, 1105]], [[654, 1106]], [[654, 1107]], [[655, 1108]], [[655, 1109]], [[655, 1110]], [[655, 1111]], [[656, 1112]], [[656, 1113]], [[656, 1114]], [[657, 1115]], [[658, 1116]], [[659, 1117]], [[660, 1117]], [[661, 1116]], [[662, 1116]], [[663, 1116]], [[664, 1115]], [[665, 1115]], [[666, 1114]], [[667, 1114]], [[668, 1114]], [[669, 1114]], [[670, 1114]], [[671, 1114]], [[672, 1114]], [[673, 1113]], [[673, 1112]], [[673, 1111]], [[673, 1110]], [[673, 1109]], [[673, 1108]], [[673, 1107]], [[673, 1106]], [[673, 1105]], [[673, 1104]], [[672, 1103]], [[671, 1102]], [[670, 1101]], [[669, 1101]], [[668, 1100]], [[667, 1099]], [[666, 1098]], [[665, 1097]], [[665, 1096]], [[664, 1096]]]","[[], [[[661, 1096], [660, 1097], [659, 1098], [658, 1098], [657, 1099], [656, 1099], [655, 1100], [654, 1100], [653, 1100], [653, 1101], [653, 1102], [653, 1103], [653, 1104], [652, 1105], [651, 1106], [652, 1106], [653, 1107], [653, 1106], [653, 1105], [653, 1104], [653, 1103], [654, 1102], [654, 1101], [655, 1100], [656, 1100], [657, 1099], [658, 1098], [659, 1098], [660, 1097]]], [[[674, 1109], [674, 1110], [675, 1111], [675, 1112], [674, 1113], [674, 1114], [674, 1115], [674, 1116], [673, 1117], [672, 1117], [671, 1116], [670, 1116], [669, 1116], [668, 1115], [667, 1115], [666, 1115], [665, 1116], [664, 1116], [663, 1117], [662, 1117], [661, 1118], [662, 1118], [663, 1118], [664, 1117], [665, 1117], [666, 1117], [667, 1118], [668, 1119], [668, 1120], [669, 1120], [669, 1119], [670, 1118], [671, 1118], [672, 1119], [673, 1118], [673, 1117], [674, 1116], [675, 1116], [676, 1115], [677, 1114], [678, 1114], [679, 1114], [680, 1113], [681, 1112], [680, 1112], [679, 1112], [678, 1112], [677, 1113], [676, 1113], [675, 1112], [675, 1111], [675, 1110]]]]","[[], 11, 12]"
