,ncm_ind,ncm_cordi,pore,pore_ind
0,0,"[[[545, 1171]], [[544, 1172]], [[543, 1173]], [[542, 1174]], [[541, 1174]], [[540, 1174]], [[539, 1173]], [[539, 1172]], [[539, 1173]], [[538, 1174]], [[537, 1175]], [[537, 1176]], [[537, 1177]], [[537, 1178]], [[536, 1179]], [[536, 1180]], [[536, 1181]], [[536, 1182]], [[536, 1183]], [[536, 1184]], [[535, 1185]], [[535, 1186]], [[535, 1187]], [[534, 1188]], [[534, 1189]], [[534, 1190]], [[535, 1190]], [[536, 1190]], [[537, 1190]], [[538, 1191]], [[537, 1192]], [[538, 1192]], [[539, 1191]], [[540, 1191]], [[541, 1191]], [[542, 1191]], [[543, 1192]], [[544, 1193]], [[545, 1193]], [[546, 1193]], [[547, 1192]], [[548, 1192]], [[549, 1191]], [[550, 1191]], [[551, 1190]], [[552, 1189]], [[553, 1188]], [[554, 1188]], [[554, 1187]], [[555, 1186]], [[556, 1185]], [[556, 1184]], [[557, 1183]], [[558, 1183]], [[559, 1183]], [[560, 1182]], [[561, 1182]], [[560, 1181]], [[559, 1181]], [[558, 1180]], [[557, 1180]], [[556, 1179]], [[556, 1178]], [[555, 1177]], [[554, 1176]], [[554, 1175]], [[553, 1174]], [[552, 1173]], [[551, 1173]], [[550, 1172]], [[549, 1172]], [[548, 1172]], [[547, 1172]], [[546, 1171]]]",[[]],[]
1,1,"[[[579, 1157]], [[578, 1158]], [[577, 1158]], [[576, 1159]], [[576, 1160]], [[575, 1161]], [[574, 1161]], [[574, 1162]], [[574, 1163]], [[574, 1164]], [[573, 1165]], [[572, 1165]], [[571, 1164]], [[571, 1163]], [[571, 1162]], [[570, 1162]], [[569, 1163]], [[568, 1163]], [[567, 1164]], [[566, 1165]], [[566, 1166]], [[565, 1167]], [[564, 1168]], [[564, 1169]], [[564, 1170]], [[564, 1171]], [[564, 1172]], [[564, 1173]], [[563, 1174]], [[563, 1175]], [[562, 1176]], [[562, 1177]], [[563, 1176]], [[564, 1177]], [[564, 1178]], [[565, 1178]], [[566, 1178]], [[567, 1179]], [[568, 1179]], [[569, 1179]], [[570, 1178]], [[570, 1177]], [[570, 1176]], [[570, 1175]], [[570, 1174]], [[571, 1173]], [[571, 1172]], [[571, 1171]], [[571, 1170]], [[571, 1169]], [[572, 1168]], [[573, 1167]], [[574, 1168]], [[574, 1169]], [[574, 1170]], [[574, 1171]], [[574, 1172]], [[574, 1173]], [[574, 1174]], [[574, 1175]], [[574, 1176]], [[574, 1177]], [[574, 1178]], [[574, 1179]], [[575, 1180]], [[575, 1181]], [[575, 1182]], [[575, 1183]], [[575, 1184]], [[575, 1185]], [[576, 1186]], [[575, 1187]], [[575, 1188]], [[576, 1189]], [[576, 1190]], [[577, 1191]], [[577, 1192]], [[578, 1193]], [[578, 1194]], [[579, 1194]], [[580, 1194]], [[581, 1194]], [[582, 1194]], [[583, 1194]], [[584, 1194]], [[585, 1194]], [[586, 1193]], [[587, 1193]], [[588, 1193]], [[589, 1192]], [[590, 1192]], [[590, 1191]], [[591, 1190]], [[592, 1189]], [[592, 1188]], [[593, 1187]], [[594, 1186]], [[594, 1185]], [[594, 1184]], [[595, 1183]], [[595, 1182]], [[596, 1181]], [[596, 1180]], [[596, 1179]], [[596, 1178]], [[597, 1177]], [[597, 1176]], [[597, 1175]], [[597, 1174]], [[597, 1173]], [[597, 1172]], [[597, 1171]], [[597, 1170]], [[598, 1169]], [[597, 1168]], [[597, 1167]], [[598, 1166]], [[598, 1165]], [[598, 1164]], [[598, 1163]], [[597, 1162]], [[597, 1161]], [[597, 1160]], [[596, 1159]], [[595, 1159]], [[594, 1159]], [[593, 1159]], [[592, 1159]], [[591, 1159]], [[590, 1158]], [[589, 1158]], [[588, 1157]], [[587, 1157]], [[586, 1157]], [[585, 1157]], [[584, 1158]], [[583, 1158]], [[582, 1158]], [[581, 1158]], [[580, 1157]]]","[[], [[[585, 1150], [585, 1151], [585, 1152], [584, 1153], [584, 1154], [585, 1155], [586, 1155], [587, 1155], [588, 1155], [589, 1156], [589, 1157], [590, 1157], [591, 1158], [592, 1158], [593, 1158], [592, 1158], [591, 1157], [591, 1156], [591, 1155], [591, 1154], [591, 1153], [590, 1153], [589, 1152], [588, 1151], [587, 1150], [586, 1150]]]]","[[], 0]"
2,2,"[[[610, 1144]], [[609, 1145]], [[608, 1145]], [[608, 1146]], [[607, 1147]], [[607, 1148]], [[607, 1149]], [[607, 1150]], [[607, 1151]], [[607, 1152]], [[607, 1153]], [[607, 1154]], [[607, 1155]], [[607, 1156]], [[607, 1157]], [[608, 1158]], [[609, 1159]], [[609, 1160]], [[609, 1161]], [[610, 1162]], [[610, 1163]], [[611, 1163]], [[612, 1164]], [[613, 1165]], [[613, 1166]], [[614, 1167]], [[614, 1168]], [[614, 1169]], [[615, 1169]], [[616, 1168]], [[617, 1169]], [[618, 1169]], [[619, 1169]], [[620, 1169]], [[621, 1168]], [[622, 1169]], [[623, 1168]], [[624, 1168]], [[625, 1168]], [[626, 1168]], [[627, 1169]], [[628, 1170]], [[629, 1171]], [[629, 1172]], [[629, 1173]], [[629, 1174]], [[630, 1174]], [[631, 1174]], [[632, 1173]], [[633, 1174]], [[634, 1175]], [[634, 1176]], [[634, 1177]], [[634, 1178]], [[633, 1179]], [[634, 1180]], [[634, 1181]], [[633, 1182]], [[632, 1182]], [[633, 1183]], [[633, 1184]], [[634, 1185]], [[634, 1186]], [[634, 1187]], [[634, 1188]], [[635, 1189]], [[636, 1190]], [[637, 1191]], [[638, 1190]], [[639, 1189]], [[640, 1189]], [[641, 1190]], [[642, 1189]], [[643, 1190]], [[644, 1190]], [[645, 1189]], [[646, 1189]], [[647, 1188]], [[648, 1188]], [[649, 1188]], [[650, 1188]], [[651, 1187]], [[652, 1187]], [[653, 1186]], [[654, 1185]], [[654, 1184]], [[654, 1183]], [[654, 1182]], [[653, 1181]], [[653, 1180]], [[652, 1179]], [[653, 1178]], [[654, 1177]], [[654, 1176]], [[655, 1175]], [[655, 1174]], [[655, 1173]], [[655, 1172]], [[656, 1171]], [[656, 1170]], [[655, 1169]], [[656, 1168]], [[655, 1167]], [[655, 1166]], [[654, 1166]], [[653, 1167]], [[652, 1166]], [[652, 1165]], [[652, 1164]], [[652, 1163]], [[652, 1162]], [[651, 1162]], [[650, 1162]], [[649, 1161]], [[648, 1160]], [[647, 1159]], [[646, 1158]], [[646, 1157]], [[645, 1156]], [[644, 1156]], [[643, 1155]], [[642, 1154]], [[641, 1154]], [[640, 1154]], [[639, 1153]], [[638, 1153]], [[637, 1153]], [[636, 1153]], [[635, 1153]], [[634, 1153]], [[633, 1154]], [[632, 1154]], [[631, 1155]], [[630, 1155]], [[629, 1155]], [[628, 1154]], [[627, 1154]], [[626, 1153]], [[625, 1152]], [[625, 1151]], [[625, 1150]], [[624, 1149]], [[624, 1148]], [[623, 1147]], [[622, 1146]], [[621, 1145]], [[620, 1144]], [[619, 1144]], [[618, 1144]], [[617, 1145]], [[616, 1145]], [[615, 1145]], [[614, 1145]], [[613, 1145]], [[612, 1145]], [[611, 1144]]]","[[[[628, 1180], [627, 1181], [626, 1182], [625, 1182], [624, 1183], [623, 1184], [622, 1185], [621, 1185], [622, 1186], [623, 1186], [624, 1185], [625, 1186], [625, 1187], [625, 1188], [624, 1189], [623, 1190], [623, 1191], [622, 1192], [621, 1191], [620, 1192], [619, 1192], [618, 1191], [618, 1190], [617, 1189], [617, 1190], [618, 1191], [618, 1192], [618, 1193], [618, 1194], [619, 1194], [620, 1194], [621, 1194], [622, 1194], [623, 1194], [624, 1194], [625, 1194], [626, 1194], [627, 1195], [628, 1195], [627, 1194], [626, 1194], [625, 1194], [624, 1194], [623, 1193], [623, 1192], [624, 1191], [625, 1190], [626, 1191], [627, 1192], [627, 1191], [627, 1190], [627, 1189], [627, 1188], [627, 1187], [627, 1186], [626, 1186], [625, 1185], [626, 1184], [627, 1183], [627, 1182], [628, 1181], [629, 1181], [630, 1181], [631, 1181], [631, 1180], [630, 1181], [629, 1180]]], []]","[1, []]"
3,3,"[[[24, 1134]], [[23, 1135]], [[22, 1135]], [[21, 1136]], [[20, 1137]], [[19, 1138]], [[18, 1139]], [[18, 1140]], [[17, 1141]], [[17, 1142]], [[17, 1143]], [[16, 1144]], [[16, 1145]], [[16, 1146]], [[16, 1147]], [[16, 1148]], [[16, 1149]], [[17, 1150]], [[18, 1150]], [[19, 1150]], [[20, 1151]], [[21, 1151]], [[22, 1152]], [[23, 1152]], [[24, 1152]], [[25, 1153]], [[26, 1153]], [[27, 1153]], [[28, 1154]], [[29, 1155]], [[30, 1155]], [[31, 1155]], [[32, 1156]], [[33, 1156]], [[34, 1156]], [[35, 1156]], [[36, 1156]], [[37, 1156]], [[37, 1155]], [[38, 1154]], [[38, 1153]], [[38, 1152]], [[37, 1151]], [[37, 1150]], [[38, 1149]], [[38, 1148]], [[38, 1147]], [[38, 1146]], [[37, 1145]], [[36, 1144]], [[36, 1143]], [[36, 1142]], [[36, 1141]], [[35, 1140]], [[34, 1139]], [[34, 1138]], [[33, 1138]], [[32, 1138]], [[31, 1138]], [[30, 1137]], [[29, 1136]], [[28, 1136]], [[27, 1136]], [[26, 1135]], [[25, 1134]]]","[[], [[[39, 1147], [39, 1148], [39, 1149], [38, 1150], [39, 1150], [40, 1150], [41, 1151], [42, 1151], [43, 1152], [44, 1152], [45, 1152], [46, 1153], [45, 1154], [44, 1154], [43, 1154], [42, 1154], [41, 1155], [40, 1155], [39, 1155], [39, 1156], [39, 1157], [39, 1158], [40, 1158], [41, 1158], [41, 1157], [42, 1156], [43, 1156], [44, 1156], [45, 1155], [46, 1154], [46, 1153], [45, 1152], [45, 1151], [44, 1151], [43, 1151], [42, 1150], [41, 1149], [40, 1148]]]]","[[], 2]"
4,4,"[[[292, 1123]], [[291, 1124]], [[290, 1124]], [[290, 1125]], [[289, 1126]], [[289, 1127]], [[289, 1128]], [[288, 1129]], [[287, 1130]], [[287, 1131]], [[286, 1132]], [[286, 1133]], [[285, 1134]], [[284, 1135]], [[284, 1136]], [[283, 1137]], [[283, 1138]], [[283, 1139]], [[282, 1140]], [[282, 1141]], [[281, 1142]], [[280, 1142]], [[280, 1143]], [[279, 1144]], [[279, 1145]], [[279, 1146]], [[279, 1147]], [[278, 1148]], [[277, 1149]], [[277, 1150]], [[278, 1151]], [[279, 1152]], [[279, 1153]], [[280, 1154]], [[280, 1155]], [[281, 1156]], [[281, 1157]], [[282, 1158]], [[283, 1159]], [[284, 1160]], [[285, 1160]], [[286, 1161]], [[287, 1162]], [[288, 1163]], [[289, 1164]], [[289, 1165]], [[290, 1165]], [[291, 1165]], [[292, 1165]], [[293, 1165]], [[294, 1166]], [[295, 1166]], [[296, 1167]], [[297, 1167]], [[298, 1168]], [[299, 1168]], [[300, 1168]], [[301, 1169]], [[302, 1170]], [[303, 1171]], [[304, 1172]], [[305, 1172]], [[306, 1173]], [[307, 1173]], [[308, 1174]], [[309, 1174]], [[310, 1174]], [[311, 1175]], [[312, 1175]], [[313, 1175]], [[314, 1175]], [[315, 1175]], [[316, 1175]], [[317, 1174]], [[318, 1174]], [[319, 1173]], [[320, 1172]], [[321, 1171]], [[322, 1171]], [[323, 1171]], [[324, 1171]], [[325, 1171]], [[326, 1171]], [[327, 1171]], [[328, 1170]], [[329, 1170]], [[330, 1170]], [[331, 1169]], [[332, 1169]], [[333, 1168]], [[334, 1167]], [[334, 1166]], [[334, 1165]], [[334, 1164]], [[334, 1163]], [[334, 1162]], [[333, 1161]], [[333, 1160]], [[333, 1159]], [[332, 1158]], [[332, 1157]], [[332, 1156]], [[331, 1155]], [[331, 1154]], [[330, 1153]], [[330, 1152]], [[329, 1151]], [[329, 1150]], [[328, 1149]], [[328, 1148]], [[328, 1147]], [[328, 1146]], [[328, 1145]], [[328, 1144]], [[327, 1144]], [[326, 1143]], [[325, 1142]], [[324, 1141]], [[323, 1140]], [[322, 1140]], [[321, 1139]], [[320, 1138]], [[319, 1137]], [[318, 1136]], [[317, 1136]], [[316, 1135]], [[315, 1135]], [[314, 1134]], [[313, 1134]], [[312, 1133]], [[311, 1132]], [[310, 1132]], [[309, 1131]], [[308, 1130]], [[307, 1130]], [[306, 1130]], [[305, 1129]], [[304, 1128]], [[303, 1127]], [[302, 1127]], [[301, 1126]], [[301, 1125]], [[300, 1125]], [[299, 1125]], [[298, 1125]], [[297, 1124]], [[296, 1124]], [[295, 1124]], [[294, 1124]], [[293, 1124]]]","[[[[323, 1105], [322, 1106], [321, 1106], [320, 1106], [319, 1106], [318, 1107], [318, 1108], [319, 1109], [319, 1110], [318, 1111], [317, 1112], [316, 1112], [315, 1112], [314, 1112], [313, 1113], [312, 1113], [311, 1113], [310, 1113], [309, 1112], [308, 1112], [307, 1112], [306, 1113], [306, 1114], [305, 1115], [304, 1115], [303, 1115], [302, 1115], [301, 1116], [300, 1117], [299, 1117], [298, 1118], [297, 1118], [296, 1119], [295, 1119], [294, 1119], [293, 1119], [293, 1120], [293, 1121], [293, 1122], [294, 1123], [295, 1123], [296, 1123], [297, 1123], [298, 1124], [298, 1123], [298, 1122], [299, 1121], [300, 1120], [301, 1120], [302, 1121], [303, 1121], [304, 1121], [305, 1120], [305, 1119], [306, 1118], [307, 1118], [308, 1118], [309, 1117], [310, 1116], [311, 1116], [312, 1115], [313, 1115], [314, 1114], [315, 1114], [316, 1113], [317, 1113], [318, 1113], [319, 1113], [320, 1113], [320, 1112], [320, 1111], [321, 1110], [321, 1109], [322, 1108], [323, 1107], [324, 1107], [325, 1107], [325, 1106], [325, 1105], [324, 1105]]], []]","[3, []]"
5,5,"[[[542, 1120]], [[541, 1121]], [[540, 1121]], [[539, 1122]], [[538, 1122]], [[537, 1122]], [[536, 1123]], [[535, 1124]], [[534, 1124]], [[534, 1125]], [[534, 1126]], [[534, 1127]], [[534, 1128]], [[534, 1129]], [[534, 1130]], [[534, 1131]], [[535, 1132]], [[535, 1133]], [[536, 1133]], [[537, 1133]], [[538, 1133]], [[539, 1134]], [[539, 1135]], [[539, 1136]], [[539, 1137]], [[539, 1138]], [[539, 1139]], [[540, 1140]], [[540, 1141]], [[540, 1142]], [[540, 1143]], [[539, 1144]], [[539, 1145]], [[539, 1146]], [[538, 1147]], [[538, 1148]], [[538, 1149]], [[538, 1150]], [[538, 1151]], [[538, 1152]], [[538, 1153]], [[538, 1154]], [[539, 1155]], [[539, 1156]], [[540, 1157]], [[540, 1158]], [[540, 1159]], [[541, 1160]], [[542, 1161]], [[542, 1162]], [[543, 1163]], [[544, 1163]], [[545, 1163]], [[546, 1164]], [[547, 1164]], [[548, 1165]], [[549, 1166]], [[550, 1166]], [[551, 1166]], [[552, 1166]], [[553, 1166]], [[554, 1167]], [[555, 1166]], [[556, 1166]], [[556, 1165]], [[557, 1164]], [[558, 1164]], [[559, 1163]], [[560, 1162]], [[560, 1161]], [[561, 1160]], [[562, 1160]], [[562, 1159]], [[562, 1158]], [[563, 1157]], [[563, 1156]], [[563, 1155]], [[563, 1154]], [[564, 1153]], [[565, 1153]], [[566, 1152]], [[567, 1152]], [[568, 1152]], [[569, 1152]], [[570, 1153]], [[571, 1153]], [[572, 1154]], [[573, 1154]], [[574, 1154]], [[574, 1153]], [[575, 1152]], [[576, 1151]], [[576, 1150]], [[576, 1149]], [[577, 1148]], [[577, 1147]], [[578, 1146]], [[578, 1145]], [[578, 1144]], [[578, 1143]], [[578, 1142]], [[578, 1141]], [[578, 1140]], [[578, 1139]], [[578, 1138]], [[577, 1138]], [[576, 1137]], [[575, 1136]], [[574, 1135]], [[573, 1134]], [[572, 1133]], [[571, 1133]], [[570, 1133]], [[569, 1132]], [[568, 1132]], [[567, 1132]], [[566, 1132]], [[565, 1132]], [[564, 1132]], [[563, 1132]], [[562, 1132]], [[561, 1132]], [[560, 1132]], [[559, 1132]], [[558, 1132]], [[557, 1131]], [[556, 1131]], [[555, 1130]], [[554, 1130]], [[553, 1129]], [[552, 1128]], [[551, 1127]], [[550, 1126]], [[550, 1125]], [[550, 1124]], [[550, 1123]], [[549, 1122]], [[549, 1121]], [[548, 1120]], [[547, 1121]], [[546, 1121]], [[545, 1121]], [[544, 1121]], [[543, 1121]]]","[[[[547, 1111], [547, 1112], [548, 1112], [549, 1112], [550, 1113], [550, 1114], [549, 1115], [548, 1115], [547, 1114], [547, 1115], [546, 1116], [545, 1117], [544, 1118], [543, 1119], [544, 1119], [545, 1118], [546, 1119], [547, 1119], [548, 1119], [549, 1119], [549, 1118], [550, 1117], [551, 1116], [552, 1115], [553, 1115], [554, 1115], [555, 1115], [554, 1115], [553, 1115], [552, 1114], [553, 1113], [553, 1112], [552, 1111], [551, 1111], [550, 1111], [549, 1111], [548, 1111]]], []]","[4, []]"
6,6,"[[[341, 1118]], [[340, 1119]], [[339, 1119]], [[338, 1120]], [[337, 1120]], [[336, 1121]], [[335, 1121]], [[334, 1121]], [[334, 1122]], [[333, 1123]], [[333, 1124]], [[332, 1125]], [[332, 1126]], [[332, 1127]], [[332, 1128]], [[332, 1129]], [[332, 1130]], [[333, 1131]], [[333, 1132]], [[333, 1133]], [[334, 1134]], [[335, 1135]], [[335, 1136]], [[334, 1137]], [[333, 1138]], [[332, 1139]], [[331, 1139]], [[330, 1140]], [[330, 1141]], [[330, 1142]], [[330, 1143]], [[330, 1144]], [[330, 1145]], [[331, 1146]], [[332, 1147]], [[332, 1148]], [[332, 1149]], [[332, 1150]], [[333, 1151]], [[333, 1152]], [[334, 1153]], [[334, 1154]], [[334, 1155]], [[335, 1156]], [[335, 1157]], [[335, 1158]], [[336, 1159]], [[336, 1160]], [[337, 1161]], [[337, 1162]], [[338, 1163]], [[338, 1164]], [[339, 1165]], [[340, 1166]], [[341, 1166]], [[342, 1166]], [[343, 1166]], [[344, 1166]], [[345, 1166]], [[346, 1166]], [[347, 1166]], [[348, 1166]], [[349, 1166]], [[350, 1165]], [[351, 1165]], [[352, 1164]], [[353, 1164]], [[354, 1163]], [[354, 1162]], [[355, 1161]], [[356, 1161]], [[357, 1161]], [[358, 1160]], [[359, 1160]], [[360, 1160]], [[361, 1160]], [[362, 1160]], [[363, 1160]], [[364, 1159]], [[365, 1158]], [[365, 1157]], [[365, 1156]], [[366, 1155]], [[366, 1154]], [[366, 1153]], [[366, 1152]], [[366, 1151]], [[366, 1150]], [[365, 1149]], [[365, 1148]], [[365, 1147]], [[365, 1146]], [[365, 1145]], [[365, 1144]], [[364, 1143]], [[363, 1142]], [[362, 1141]], [[362, 1140]], [[361, 1139]], [[361, 1138]], [[360, 1137]], [[359, 1136]], [[358, 1135]], [[357, 1134]], [[356, 1133]], [[356, 1132]], [[356, 1131]], [[356, 1130]], [[356, 1129]], [[356, 1128]], [[355, 1127]], [[354, 1126]], [[353, 1125]], [[352, 1124]], [[351, 1124]], [[350, 1123]], [[350, 1122]], [[349, 1121]], [[348, 1120]], [[348, 1119]], [[347, 1119]], [[346, 1118]], [[345, 1118]], [[344, 1118]], [[343, 1118]], [[342, 1118]]]","[[[[327, 1109], [328, 1110], [329, 1111], [330, 1111], [331, 1112], [332, 1111], [333, 1111], [334, 1111], [335, 1111], [336, 1111], [337, 1111], [338, 1111], [339, 1111], [340, 1112], [341, 1112], [342, 1113], [343, 1114], [344, 1115], [345, 1116], [346, 1117], [347, 1118], [348, 1118], [348, 1117], [348, 1116], [347, 1115], [346, 1114], [346, 1113], [345, 1113], [344, 1112], [343, 1111], [342, 1110], [341, 1109], [340, 1109], [339, 1109], [338, 1109], [337, 1109], [336, 1110], [335, 1111], [334, 1111], [333, 1111], [332, 1111], [331, 1111], [330, 1110], [329, 1110], [328, 1109]]], [], [[[368, 1116], [368, 1117], [369, 1118], [368, 1119], [367, 1120], [366, 1121], [366, 1122], [365, 1123], [364, 1124], [363, 1123], [362, 1123], [361, 1124], [360, 1124], [359, 1125], [358, 1126], [357, 1126], [356, 1125], [355, 1124], [354, 1123], [353, 1122], [352, 1122], [351, 1121], [350, 1120], [349, 1120], [350, 1121], [351, 1122], [351, 1123], [352, 1123], [353, 1124], [354, 1125], [355, 1126], [356, 1127], [357, 1128], [357, 1129], [358, 1129], [359, 1128], [360, 1127], [361, 1126], [362, 1126], [363, 1125], [364, 1125], [365, 1124], [366, 1125], [367, 1126], [368, 1126], [369, 1126], [370, 1127], [371, 1128], [371, 1129], [372, 1130], [373, 1130], [374, 1131], [374, 1132], [375, 1133], [375, 1132], [374, 1131], [374, 1130], [373, 1129], [373, 1128], [372, 1127], [371, 1127], [370, 1126], [369, 1126], [368, 1125], [369, 1124], [370, 1123], [371, 1122], [371, 1121], [370, 1120], [370, 1119], [370, 1118], [370, 1117], [369, 1116]]]]","[5, [], 6]"
7,7,"[[[77, 1110]], [[76, 1111]], [[75, 1111]], [[74, 1111]], [[73, 1112]], [[72, 1112]], [[71, 1113]], [[70, 1114]], [[69, 1114]], [[68, 1114]], [[67, 1114]], [[66, 1114]], [[65, 1114]], [[64, 1114]], [[63, 1115]], [[62, 1116]], [[62, 1117]], [[61, 1118]], [[60, 1119]], [[59, 1118]], [[58, 1119]], [[57, 1120]], [[56, 1121]], [[55, 1121]], [[54, 1122]], [[53, 1122]], [[53, 1123]], [[52, 1124]], [[52, 1125]], [[51, 1126]], [[50, 1127]], [[50, 1128]], [[50, 1129]], [[50, 1130]], [[51, 1131]], [[51, 1132]], [[52, 1133]], [[52, 1134]], [[52, 1135]], [[53, 1135]], [[54, 1135]], [[55, 1136]], [[56, 1137]], [[56, 1138]], [[57, 1139]], [[57, 1140]], [[58, 1141]], [[58, 1142]], [[59, 1143]], [[60, 1144]], [[60, 1145]], [[61, 1146]], [[61, 1147]], [[61, 1148]], [[60, 1149]], [[59, 1150]], [[59, 1151]], [[59, 1152]], [[59, 1153]], [[59, 1154]], [[59, 1155]], [[59, 1156]], [[60, 1157]], [[61, 1158]], [[62, 1159]], [[63, 1159]], [[64, 1160]], [[65, 1161]], [[66, 1162]], [[67, 1162]], [[68, 1163]], [[69, 1164]], [[69, 1165]], [[70, 1166]], [[70, 1167]], [[70, 1168]], [[70, 1169]], [[70, 1170]], [[70, 1171]], [[71, 1172]], [[72, 1172]], [[73, 1173]], [[74, 1173]], [[75, 1173]], [[76, 1173]], [[77, 1173]], [[78, 1174]], [[79, 1175]], [[80, 1175]], [[80, 1174]], [[81, 1173]], [[82, 1173]], [[83, 1173]], [[84, 1173]], [[85, 1174]], [[86, 1175]], [[87, 1176]], [[88, 1177]], [[89, 1178]], [[89, 1179]], [[90, 1179]], [[91, 1178]], [[91, 1177]], [[92, 1176]], [[92, 1175]], [[92, 1174]], [[92, 1173]], [[92, 1172]], [[92, 1171]], [[92, 1170]], [[92, 1169]], [[92, 1168]], [[91, 1167]], [[90, 1166]], [[90, 1165]], [[91, 1164]], [[92, 1163]], [[92, 1162]], [[93, 1161]], [[94, 1160]], [[95, 1159]], [[96, 1158]], [[97, 1157]], [[98, 1157]], [[99, 1157]], [[100, 1156]], [[100, 1155]], [[101, 1154]], [[102, 1154]], [[103, 1153]], [[104, 1153]], [[105, 1152]], [[106, 1152]], [[107, 1152]], [[108, 1153]], [[109, 1152]], [[110, 1151]], [[111, 1150]], [[112, 1149]], [[112, 1148]], [[113, 1147]], [[114, 1146]], [[115, 1145]], [[116, 1144]], [[116, 1143]], [[116, 1142]], [[117, 1141]], [[117, 1140]], [[117, 1139]], [[116, 1138]], [[116, 1137]], [[116, 1136]], [[116, 1135]], [[115, 1134]], [[115, 1133]], [[115, 1132]], [[115, 1131]], [[114, 1130]], [[114, 1129]], [[114, 1128]], [[114, 1127]], [[114, 1126]], [[113, 1125]], [[113, 1124]], [[113, 1123]], [[112, 1122]], [[111, 1122]], [[110, 1121]], [[109, 1120]], [[108, 1119]], [[107, 1118]], [[106, 1117]], [[105, 1117]], [[104, 1116]], [[103, 1116]], [[102, 1116]], [[101, 1116]], [[100, 1116]], [[99, 1116]], [[98, 1115]], [[97, 1114]], [[96, 1114]], [[95, 1113]], [[95, 1112]], [[94, 1111]], [[93, 1112]], [[92, 1112]], [[91, 1112]], [[90, 1113]], [[89, 1114]], [[88, 1114]], [[88, 1115]], [[87, 1116]], [[86, 1116]], [[85, 1116]], [[84, 1116]], [[83, 1116]], [[82, 1116]], [[81, 1116]], [[80, 1116]], [[79, 1115]], [[79, 1114]], [[79, 1113]], [[79, 1112]], [[78, 1111]], [[78, 1110]]]","[[], [[[92, 1164], [91, 1165], [92, 1165], [93, 1165], [94, 1166], [94, 1167], [95, 1168], [95, 1169], [96, 1169], [97, 1170], [97, 1171], [96, 1172], [96, 1173], [97, 1173], [98, 1173], [98, 1172], [99, 1171], [100, 1171], [101, 1171], [100, 1170], [100, 1169], [99, 1168], [99, 1167], [98, 1167], [97, 1166], [96, 1166], [95, 1166], [94, 1165], [93, 1164]]]]","[[], 7]"
8,8,"[[[656, 1102]], [[655, 1103]], [[655, 1104]], [[654, 1105]], [[653, 1106]], [[652, 1106]], [[651, 1107]], [[650, 1108]], [[649, 1109]], [[648, 1110]], [[647, 1110]], [[646, 1110]], [[645, 1111]], [[645, 1112]], [[644, 1113]], [[643, 1114]], [[642, 1115]], [[641, 1115]], [[640, 1116]], [[639, 1117]], [[638, 1117]], [[638, 1118]], [[638, 1119]], [[637, 1120]], [[636, 1120]], [[635, 1121]], [[634, 1122]], [[634, 1123]], [[633, 1124]], [[633, 1125]], [[632, 1126]], [[631, 1127]], [[630, 1128]], [[630, 1129]], [[629, 1130]], [[629, 1131]], [[629, 1132]], [[629, 1133]], [[629, 1134]], [[630, 1135]], [[631, 1136]], [[632, 1136]], [[633, 1136]], [[634, 1136]], [[635, 1135]], [[636, 1135]], [[637, 1135]], [[638, 1134]], [[639, 1134]], [[640, 1134]], [[641, 1133]], [[642, 1133]], [[643, 1132]], [[644, 1131]], [[645, 1130]], [[646, 1130]], [[647, 1129]], [[648, 1129]], [[649, 1128]], [[650, 1127]], [[651, 1128]], [[652, 1129]], [[652, 1130]], [[652, 1131]], [[652, 1132]], [[653, 1133]], [[653, 1134]], [[653, 1135]], [[653, 1136]], [[653, 1137]], [[653, 1138]], [[654, 1139]], [[655, 1139]], [[656, 1140]], [[657, 1140]], [[658, 1141]], [[659, 1141]], [[660, 1141]], [[661, 1141]], [[662, 1140]], [[663, 1139]], [[664, 1138]], [[665, 1138]], [[666, 1138]], [[667, 1138]], [[668, 1138]], [[669, 1137]], [[670, 1137]], [[671, 1136]], [[672, 1135]], [[673, 1135]], [[673, 1134]], [[674, 1133]], [[673, 1132]], [[674, 1131]], [[674, 1130]], [[675, 1129]], [[676, 1130]], [[676, 1129]], [[676, 1128]], [[676, 1127]], [[677, 1126]], [[678, 1126]], [[679, 1125]], [[680, 1124]], [[681, 1123]], [[682, 1123]], [[683, 1123]], [[684, 1123]], [[684, 1122]], [[684, 1121]], [[685, 1120]], [[684, 1120]], [[683, 1120]], [[682, 1121]], [[681, 1121]], [[680, 1121]], [[679, 1121]], [[678, 1121]], [[677, 1120]], [[677, 1119]], [[676, 1119]], [[675, 1118]], [[675, 1117]], [[676, 1116]], [[676, 1115]], [[675, 1114]], [[674, 1113]], [[673, 1113]], [[672, 1113]], [[671, 1112]], [[670, 1111]], [[670, 1110]], [[669, 1109]], [[669, 1108]], [[669, 1107]], [[669, 1106]], [[668, 1106]], [[667, 1105]], [[667, 1104]], [[666, 1103]], [[665, 1103]], [[664, 1103]], [[663, 1102]], [[662, 1102]], [[661, 1102]], [[660, 1102]], [[659, 1103]], [[658, 1103]], [[657, 1103]]]",[[]],[]
