,ncm_ind,ncm_cordi,pore,pore_ind
0,0,"[[[203, 1163]], [[203, 1164]], [[202, 1165]], [[201, 1166]], [[200, 1167]], [[199, 1168]], [[198, 1169]], [[197, 1169]], [[196, 1169]], [[195, 1169]], [[194, 1169]], [[193, 1170]], [[192, 1171]], [[191, 1171]], [[190, 1172]], [[189, 1173]], [[188, 1174]], [[187, 1175]], [[187, 1176]], [[187, 1177]], [[188, 1178]], [[189, 1179]], [[189, 1178]], [[190, 1177]], [[191, 1178]], [[192, 1178]], [[193, 1179]], [[193, 1180]], [[194, 1181]], [[194, 1182]], [[195, 1181]], [[196, 1181]], [[197, 1181]], [[198, 1180]], [[199, 1179]], [[199, 1178]], [[199, 1177]], [[200, 1176]], [[201, 1175]], [[202, 1174]], [[202, 1173]], [[203, 1172]], [[204, 1171]], [[205, 1170]], [[206, 1169]], [[206, 1168]], [[207, 1167]], [[207, 1166]], [[208, 1165]], [[209, 1165]], [[210, 1165]], [[211, 1164]], [[211, 1163]], [[210, 1163]], [[209, 1163]], [[208, 1164]], [[207, 1164]], [[206, 1164]], [[205, 1164]], [[204, 1164]]]",[[]],[]
1,1,"[[[800, 1153]], [[799, 1154]], [[798, 1154]], [[797, 1155]], [[796, 1155]], [[796, 1156]], [[796, 1157]], [[795, 1158]], [[795, 1159]], [[795, 1160]], [[794, 1161]], [[793, 1162]], [[792, 1162]], [[791, 1162]], [[791, 1163]], [[791, 1164]], [[791, 1165]], [[791, 1166]], [[792, 1167]], [[792, 1168]], [[793, 1169]], [[793, 1170]], [[794, 1171]], [[795, 1172]], [[796, 1172]], [[797, 1173]], [[798, 1173]], [[799, 1174]], [[800, 1174]], [[801, 1174]], [[802, 1174]], [[803, 1173]], [[804, 1172]], [[805, 1172]], [[805, 1171]], [[806, 1170]], [[807, 1170]], [[808, 1169]], [[809, 1168]], [[810, 1167]], [[810, 1166]], [[810, 1165]], [[811, 1164]], [[811, 1163]], [[810, 1162]], [[810, 1161]], [[810, 1160]], [[809, 1159]], [[808, 1158]], [[807, 1157]], [[806, 1156]], [[805, 1155]], [[804, 1154]], [[804, 1153]], [[803, 1153]], [[802, 1153]], [[801, 1153]]]","[[], [[[797, 1143], [798, 1144], [798, 1145], [797, 1146], [798, 1145], [799, 1146], [799, 1147], [798, 1148], [797, 1148], [796, 1149], [797, 1150], [798, 1151], [799, 1151], [800, 1150], [801, 1150], [802, 1150], [803, 1151], [804, 1152], [805, 1153], [806, 1154], [807, 1155], [808, 1156], [809, 1157], [809, 1158], [810, 1159], [811, 1159], [812, 1159], [813, 1160], [813, 1161], [814, 1161], [815, 1161], [814, 1160], [813, 1160], [812, 1159], [811, 1159], [810, 1158], [809, 1157], [809, 1156], [808, 1155], [807, 1154], [806, 1153], [805, 1152], [804, 1151], [804, 1150], [804, 1149], [803, 1148], [802, 1147], [802, 1146], [801, 1145], [800, 1144], [799, 1143], [798, 1143]]]]","[[], 0]"
2,2,"[[[426, 1153]], [[425, 1154]], [[424, 1155]], [[423, 1155]], [[423, 1156]], [[423, 1157]], [[423, 1158]], [[423, 1159]], [[424, 1160]], [[425, 1161]], [[426, 1162]], [[427, 1162]], [[428, 1163]], [[429, 1164]], [[430, 1164]], [[431, 1164]], [[432, 1164]], [[433, 1164]], [[434, 1164]], [[435, 1164]], [[436, 1164]], [[437, 1163]], [[438, 1163]], [[439, 1163]], [[440, 1162]], [[441, 1161]], [[442, 1161]], [[443, 1160]], [[444, 1160]], [[444, 1159]], [[443, 1158]], [[442, 1158]], [[441, 1157]], [[440, 1157]], [[439, 1156]], [[438, 1156]], [[437, 1156]], [[436, 1155]], [[435, 1155]], [[434, 1155]], [[433, 1154]], [[432, 1155]], [[431, 1154]], [[430, 1154]], [[429, 1154]], [[428, 1153]], [[427, 1153]]]","[[[[421, 1158], [421, 1159], [421, 1160], [420, 1161], [419, 1161], [418, 1162], [417, 1163], [416, 1164], [415, 1164], [415, 1165], [416, 1166], [417, 1167], [418, 1168], [419, 1169], [420, 1170], [421, 1170], [422, 1171], [423, 1172], [423, 1173], [424, 1173], [423, 1172], [424, 1171], [425, 1171], [426, 1171], [427, 1172], [427, 1173], [427, 1174], [428, 1174], [429, 1173], [430, 1174], [429, 1173], [430, 1172], [431, 1171], [431, 1170], [432, 1169], [433, 1168], [434, 1168], [435, 1168], [436, 1167], [437, 1167], [438, 1166], [439, 1166], [440, 1166], [441, 1166], [442, 1165], [442, 1164], [443, 1163], [443, 1162], [442, 1163], [441, 1163], [440, 1163], [439, 1164], [438, 1164], [437, 1165], [436, 1165], [435, 1165], [434, 1165], [433, 1165], [432, 1165], [431, 1165], [430, 1165], [429, 1165], [428, 1164], [427, 1164], [426, 1163], [425, 1162], [424, 1162], [423, 1161], [422, 1160], [422, 1159]]], []]","[1, []]"
3,3,"[[[671, 1144]], [[670, 1145]], [[669, 1146]], [[668, 1147]], [[668, 1148]], [[667, 1149]], [[667, 1150]], [[666, 1151]], [[665, 1152]], [[664, 1153]], [[663, 1154]], [[663, 1155]], [[662, 1156]], [[662, 1157]], [[661, 1158]], [[661, 1159]], [[660, 1160]], [[660, 1161]], [[660, 1162]], [[660, 1163]], [[659, 1164]], [[658, 1165]], [[657, 1166]], [[657, 1167]], [[657, 1168]], [[657, 1169]], [[657, 1170]], [[657, 1171]], [[657, 1172]], [[657, 1173]], [[657, 1174]], [[658, 1175]], [[659, 1176]], [[660, 1177]], [[661, 1177]], [[662, 1177]], [[663, 1177]], [[664, 1178]], [[665, 1179]], [[665, 1180]], [[666, 1180]], [[667, 1180]], [[668, 1180]], [[669, 1180]], [[670, 1180]], [[671, 1181]], [[672, 1182]], [[673, 1182]], [[674, 1181]], [[675, 1181]], [[676, 1181]], [[677, 1181]], [[678, 1180]], [[679, 1179]], [[680, 1178]], [[680, 1177]], [[680, 1176]], [[681, 1175]], [[682, 1175]], [[683, 1174]], [[684, 1173]], [[685, 1172]], [[685, 1171]], [[686, 1170]], [[686, 1169]], [[686, 1168]], [[687, 1167]], [[687, 1166]], [[688, 1165]], [[688, 1164]], [[688, 1163]], [[688, 1162]], [[689, 1161]], [[690, 1160]], [[690, 1159]], [[690, 1158]], [[690, 1157]], [[690, 1156]], [[690, 1155]], [[690, 1154]], [[690, 1153]], [[690, 1152]], [[690, 1151]], [[690, 1150]], [[689, 1150]], [[688, 1149]], [[687, 1149]], [[686, 1149]], [[685, 1150]], [[684, 1149]], [[683, 1149]], [[682, 1149]], [[681, 1148]], [[680, 1147]], [[679, 1146]], [[678, 1145]], [[677, 1145]], [[676, 1145]], [[675, 1145]], [[674, 1144]], [[673, 1144]], [[672, 1144]]]","[[[[677, 1127], [677, 1128], [677, 1129], [677, 1130], [676, 1131], [675, 1131], [674, 1131], [673, 1131], [672, 1131], [671, 1131], [671, 1132], [672, 1133], [672, 1134], [672, 1135], [672, 1136], [672, 1137], [671, 1138], [671, 1139], [671, 1140], [671, 1141], [670, 1142], [670, 1143], [671, 1143], [672, 1142], [673, 1142], [673, 1141], [673, 1140], [673, 1139], [672, 1138], [673, 1137], [674, 1136], [675, 1136], [676, 1135], [675, 1134], [675, 1133], [675, 1132], [676, 1131], [677, 1131], [678, 1130], [679, 1129], [680, 1129], [680, 1128], [679, 1127], [678, 1128]]], [], [[[661, 1148], [661, 1149], [661, 1150], [660, 1151], [659, 1152], [659, 1153], [658, 1154], [657, 1155], [657, 1156], [656, 1157], [656, 1158], [656, 1159], [655, 1160], [655, 1161], [656, 1161], [657, 1161], [657, 1160], [657, 1159], [658, 1158], [658, 1157], [659, 1156], [659, 1155], [659, 1154], [660, 1153], [661, 1154], [661, 1155], [662, 1154], [662, 1153], [663, 1152], [664, 1151], [664, 1150], [665, 1149], [666, 1148], [665, 1148], [664, 1149], [663, 1150], [662, 1149], [662, 1148]]], [[[654, 1170], [654, 1171], [654, 1172], [655, 1173], [655, 1174], [655, 1175], [656, 1176], [657, 1177], [657, 1178], [657, 1179], [656, 1180], [655, 1181], [656, 1182], [656, 1183], [657, 1184], [658, 1184], [659, 1184], [659, 1183], [659, 1182], [658, 1182], [657, 1181], [657, 1180], [657, 1179], [658, 1178], [658, 1177], [657, 1176], [656, 1175], [656, 1174], [656, 1173], [656, 1172], [656, 1171], [656, 1170], [655, 1170]]], [[[692, 1150], [692, 1151], [692, 1152], [691, 1153], [691, 1154], [691, 1155], [691, 1156], [691, 1157], [691, 1158], [691, 1159], [691, 1160], [690, 1161], [689, 1162], [689, 1163], [689, 1162], [690, 1161], [691, 1160], [692, 1159], [692, 1158], [692, 1157], [692, 1156], [692, 1155], [692, 1154], [692, 1153], [693, 1152], [694, 1151], [695, 1151], [696, 1151], [695, 1150], [694, 1150], [693, 1150]]]]","[2, [], 3, 4, 5]"
4,4,"[[[632, 1133]], [[631, 1134]], [[630, 1134]], [[629, 1134]], [[628, 1134]], [[627, 1134]], [[626, 1134]], [[625, 1134]], [[624, 1135]], [[624, 1136]], [[624, 1137]], [[624, 1138]], [[624, 1139]], [[624, 1140]], [[625, 1140]], [[626, 1141]], [[627, 1142]], [[627, 1143]], [[627, 1144]], [[627, 1145]], [[627, 1146]], [[627, 1147]], [[627, 1148]], [[627, 1149]], [[627, 1150]], [[627, 1151]], [[627, 1152]], [[627, 1153]], [[627, 1154]], [[627, 1155]], [[627, 1156]], [[627, 1157]], [[627, 1158]], [[628, 1159]], [[627, 1160]], [[626, 1161]], [[625, 1161]], [[624, 1161]], [[623, 1162]], [[623, 1163]], [[623, 1164]], [[624, 1165]], [[624, 1166]], [[624, 1167]], [[624, 1168]], [[625, 1169]], [[626, 1169]], [[627, 1169]], [[628, 1168]], [[629, 1169]], [[630, 1169]], [[631, 1169]], [[632, 1170]], [[633, 1170]], [[634, 1170]], [[635, 1170]], [[636, 1170]], [[637, 1170]], [[638, 1170]], [[639, 1169]], [[640, 1169]], [[641, 1168]], [[642, 1168]], [[643, 1168]], [[644, 1167]], [[645, 1167]], [[646, 1166]], [[646, 1165]], [[647, 1164]], [[647, 1163]], [[648, 1162]], [[649, 1162]], [[649, 1161]], [[649, 1160]], [[650, 1159]], [[650, 1158]], [[650, 1157]], [[650, 1156]], [[650, 1155]], [[650, 1154]], [[650, 1153]], [[650, 1152]], [[650, 1151]], [[650, 1150]], [[650, 1149]], [[650, 1148]], [[650, 1147]], [[650, 1146]], [[650, 1145]], [[650, 1144]], [[650, 1143]], [[649, 1143]], [[648, 1143]], [[647, 1142]], [[646, 1142]], [[645, 1141]], [[644, 1140]], [[643, 1140]], [[642, 1140]], [[641, 1140]], [[640, 1140]], [[639, 1140]], [[638, 1139]], [[638, 1138]], [[637, 1137]], [[637, 1136]], [[636, 1135]], [[636, 1134]], [[635, 1134]], [[634, 1134]], [[633, 1134]]]","[[[[621, 1166], [621, 1167], [620, 1168], [621, 1168], [622, 1169], [622, 1170], [623, 1170], [624, 1171], [624, 1172], [625, 1173], [625, 1174], [626, 1175], [627, 1176], [627, 1177], [627, 1178], [628, 1179], [628, 1180], [628, 1181], [628, 1182], [628, 1183], [628, 1184], [629, 1185], [630, 1184], [631, 1185], [632, 1186], [633, 1187], [634, 1187], [634, 1186], [633, 1185], [632, 1185], [631, 1184], [630, 1184], [629, 1183], [629, 1182], [630, 1181], [630, 1180], [630, 1179], [630, 1178], [629, 1177], [629, 1176], [628, 1176], [627, 1176], [626, 1175], [627, 1174], [626, 1173], [626, 1172], [627, 1171], [628, 1170], [629, 1170], [630, 1170], [629, 1170], [628, 1169], [627, 1170], [626, 1170], [625, 1170], [624, 1170], [623, 1170], [622, 1169], [622, 1168], [622, 1167]]], [], [[[646, 1118], [645, 1119], [645, 1120], [644, 1121], [644, 1122], [644, 1123], [643, 1124], [643, 1125], [642, 1126], [642, 1127], [641, 1128], [640, 1129], [639, 1130], [638, 1131], [637, 1132], [636, 1132], [635, 1132], [634, 1133], [635, 1132], [636, 1132], [637, 1132], [638, 1132], [639, 1131], [640, 1131], [641, 1132], [642, 1133], [641, 1134], [642, 1135], [643, 1134], [643, 1133], [643, 1132], [642, 1132], [641, 1131], [642, 1130], [643, 1129], [643, 1128], [643, 1127], [644, 1126], [644, 1125], [645, 1124], [646, 1124], [647, 1124], [648, 1125], [648, 1124], [648, 1123], [648, 1122], [648, 1121], [647, 1120], [647, 1119], [647, 1118]]]]","[6, [], 7]"
5,5,"[[[791, 1129]], [[790, 1130]], [[790, 1131]], [[789, 1132]], [[789, 1133]], [[788, 1134]], [[787, 1135]], [[786, 1136]], [[786, 1137]], [[785, 1138]], [[784, 1139]], [[783, 1140]], [[782, 1141]], [[781, 1141]], [[781, 1142]], [[780, 1143]], [[780, 1144]], [[779, 1145]], [[778, 1146]], [[777, 1146]], [[776, 1147]], [[776, 1148]], [[775, 1149]], [[775, 1150]], [[774, 1151]], [[773, 1152]], [[772, 1152]], [[772, 1153]], [[771, 1154]], [[770, 1155]], [[769, 1156]], [[769, 1157]], [[770, 1158]], [[770, 1159]], [[770, 1160]], [[770, 1161]], [[771, 1162]], [[772, 1162]], [[773, 1163]], [[774, 1164]], [[775, 1165]], [[775, 1166]], [[776, 1166]], [[777, 1166]], [[778, 1167]], [[779, 1166]], [[780, 1166]], [[780, 1165]], [[781, 1164]], [[782, 1164]], [[783, 1163]], [[783, 1162]], [[784, 1161]], [[785, 1160]], [[786, 1160]], [[786, 1159]], [[787, 1158]], [[787, 1157]], [[787, 1156]], [[788, 1155]], [[789, 1155]], [[790, 1155]], [[791, 1155]], [[792, 1155]], [[792, 1154]], [[792, 1153]], [[792, 1152]], [[792, 1151]], [[793, 1150]], [[794, 1149]], [[795, 1148]], [[796, 1147]], [[796, 1146]], [[796, 1145]], [[797, 1144]], [[796, 1143]], [[796, 1142]], [[796, 1141]], [[796, 1140]], [[796, 1139]], [[797, 1138]], [[796, 1137]], [[795, 1136]], [[795, 1135]], [[794, 1134]], [[794, 1133]], [[794, 1132]], [[794, 1131]], [[793, 1130]], [[793, 1129]], [[792, 1130]]]","[[[[790, 1112], [790, 1113], [790, 1114], [789, 1115], [788, 1116], [788, 1117], [787, 1118], [787, 1119], [787, 1120], [787, 1121], [786, 1122], [786, 1123], [787, 1122], [788, 1122], [789, 1122], [790, 1122], [791, 1122], [792, 1123], [792, 1124], [791, 1125], [791, 1126], [791, 1127], [790, 1128], [791, 1128], [792, 1128], [792, 1127], [792, 1126], [792, 1125], [793, 1124], [794, 1124], [795, 1123], [794, 1122], [794, 1121], [793, 1120], [792, 1121], [791, 1122], [790, 1122], [789, 1122], [788, 1121], [788, 1120], [788, 1119], [789, 1118], [789, 1117], [790, 1116], [790, 1115], [791, 1114], [792, 1113], [793, 1114], [794, 1114], [793, 1113], [792, 1113], [791, 1113]]], [], [[[797, 1143], [798, 1144], [798, 1145], [797, 1146], [798, 1145], [799, 1146], [799, 1147], [798, 1148], [797, 1148], [796, 1149], [797, 1150], [798, 1151], [799, 1151], [800, 1150], [801, 1150], [802, 1150], [803, 1151], [804, 1152], [805, 1153], [806, 1154], [807, 1155], [808, 1156], [809, 1157], [809, 1158], [810, 1159], [811, 1159], [812, 1159], [813, 1160], [813, 1161], [814, 1161], [815, 1161], [814, 1160], [813, 1160], [812, 1159], [811, 1159], [810, 1158], [809, 1157], [809, 1156], [808, 1155], [807, 1154], [806, 1153], [805, 1152], [804, 1151], [804, 1150], [804, 1149], [803, 1148], [802, 1147], [802, 1146], [801, 1145], [800, 1144], [799, 1143], [798, 1143]]]]","[8, [], 0]"
6,6,"[[[152, 1128]], [[152, 1129]], [[151, 1130]], [[150, 1131]], [[149, 1132]], [[148, 1132]], [[147, 1132]], [[146, 1133]], [[145, 1133]], [[144, 1134]], [[143, 1134]], [[142, 1134]], [[141, 1135]], [[140, 1135]], [[139, 1136]], [[138, 1137]], [[137, 1137]], [[137, 1138]], [[136, 1139]], [[136, 1140]], [[136, 1141]], [[137, 1142]], [[137, 1143]], [[138, 1144]], [[138, 1145]], [[139, 1146]], [[140, 1145]], [[141, 1145]], [[142, 1144]], [[143, 1143]], [[144, 1143]], [[145, 1143]], [[146, 1142]], [[147, 1142]], [[148, 1141]], [[149, 1141]], [[150, 1140]], [[151, 1139]], [[152, 1139]], [[153, 1139]], [[154, 1139]], [[155, 1139]], [[156, 1138]], [[157, 1137]], [[158, 1136]], [[158, 1135]], [[158, 1134]], [[158, 1133]], [[158, 1132]], [[158, 1131]], [[157, 1130]], [[156, 1129]], [[155, 1128]], [[154, 1128]], [[153, 1128]]]",[[]],[]
7,7,"[[[457, 1119]], [[456, 1120]], [[455, 1120]], [[454, 1120]], [[453, 1121]], [[452, 1121]], [[451, 1122]], [[450, 1123]], [[450, 1124]], [[450, 1125]], [[449, 1126]], [[449, 1127]], [[449, 1128]], [[448, 1129]], [[447, 1130]], [[447, 1131]], [[447, 1132]], [[447, 1133]], [[446, 1134]], [[446, 1135]], [[446, 1136]], [[446, 1137]], [[446, 1138]], [[445, 1139]], [[445, 1140]], [[445, 1141]], [[446, 1142]], [[447, 1143]], [[447, 1144]], [[448, 1143]], [[449, 1144]], [[450, 1145]], [[451, 1145]], [[452, 1144]], [[453, 1144]], [[454, 1143]], [[455, 1143]], [[455, 1142]], [[456, 1141]], [[456, 1140]], [[457, 1139]], [[458, 1139]], [[459, 1140]], [[460, 1141]], [[461, 1141]], [[462, 1140]], [[463, 1140]], [[464, 1140]], [[465, 1139]], [[466, 1139]], [[466, 1138]], [[467, 1137]], [[467, 1136]], [[467, 1135]], [[467, 1134]], [[467, 1133]], [[467, 1132]], [[467, 1131]], [[467, 1130]], [[467, 1129]], [[467, 1128]], [[466, 1127]], [[466, 1126]], [[466, 1125]], [[465, 1124]], [[464, 1123]], [[463, 1122]], [[463, 1121]], [[462, 1121]], [[461, 1121]], [[460, 1120]], [[459, 1120]], [[458, 1119]]]",[[]],[]
8,8,"[[[340, 1097]], [[339, 1098]], [[338, 1098]], [[337, 1099]], [[336, 1100]], [[336, 1101]], [[335, 1102]], [[335, 1103]], [[334, 1104]], [[334, 1105]], [[334, 1106]], [[334, 1107]], [[334, 1108]], [[335, 1109]], [[335, 1110]], [[336, 1111]], [[336, 1112]], [[337, 1112]], [[338, 1112]], [[339, 1113]], [[340, 1113]], [[341, 1113]], [[342, 1113]], [[343, 1112]], [[344, 1111]], [[344, 1110]], [[345, 1109]], [[345, 1108]], [[346, 1107]], [[346, 1106]], [[346, 1105]], [[346, 1104]], [[346, 1103]], [[346, 1102]], [[346, 1101]], [[345, 1100]], [[345, 1099]], [[344, 1098]], [[343, 1097]], [[342, 1097]], [[341, 1097]]]","[[[[346, 1091], [345, 1092], [345, 1093], [344, 1094], [343, 1094], [342, 1094], [341, 1095], [341, 1096], [342, 1096], [343, 1096], [344, 1097], [345, 1098], [346, 1099], [346, 1100], [347, 1101], [347, 1102], [347, 1103], [348, 1103], [349, 1103], [350, 1104], [351, 1104], [352, 1105], [353, 1106], [354, 1107], [354, 1108], [355, 1108], [356, 1108], [357, 1108], [358, 1108], [359, 1108], [360, 1108], [361, 1109], [362, 1109], [363, 1108], [364, 1108], [365, 1108], [366, 1108], [367, 1109], [368, 1109], [367, 1108], [366, 1108], [365, 1108], [364, 1108], [363, 1108], [362, 1108], [361, 1108], [360, 1107], [359, 1107], [358, 1107], [357, 1107], [356, 1106], [355, 1106], [354, 1106], [353, 1105], [352, 1104], [351, 1104], [350, 1103], [350, 1102], [350, 1101], [349, 1100], [349, 1099], [349, 1098], [349, 1097], [349, 1096], [349, 1095], [349, 1094], [349, 1093], [348, 1092], [347, 1091]]], [[[337, 1089], [336, 1090], [335, 1091], [334, 1092], [333, 1093], [333, 1094], [333, 1095], [334, 1096], [335, 1097], [335, 1098], [336, 1098], [337, 1098], [337, 1097], [336, 1097], [335, 1096], [335, 1095], [335, 1094], [335, 1093], [336, 1092], [337, 1092], [338, 1092], [339, 1092], [340, 1092], [340, 1091], [340, 1090], [340, 1089], [339, 1089], [338, 1089]]]]","[10, 11]"
9,9,"[[[436, 1092]], [[435, 1093]], [[434, 1093]], [[433, 1093]], [[432, 1094]], [[432, 1095]], [[431, 1096]], [[431, 1097]], [[430, 1098]], [[430, 1099]], [[429, 1100]], [[428, 1101]], [[428, 1102]], [[428, 1103]], [[428, 1104]], [[428, 1105]], [[427, 1106]], [[427, 1107]], [[427, 1108]], [[427, 1109]], [[426, 1110]], [[426, 1111]], [[426, 1112]], [[426, 1113]], [[427, 1114]], [[426, 1115]], [[425, 1116]], [[424, 1116]], [[423, 1115]], [[422, 1115]], [[421, 1115]], [[420, 1116]], [[419, 1116]], [[418, 1116]], [[417, 1116]], [[416, 1117]], [[416, 1118]], [[415, 1119]], [[415, 1120]], [[415, 1121]], [[415, 1122]], [[415, 1123]], [[415, 1124]], [[415, 1125]], [[415, 1126]], [[415, 1127]], [[416, 1128]], [[417, 1128]], [[418, 1128]], [[419, 1129]], [[420, 1130]], [[420, 1131]], [[421, 1132]], [[422, 1132]], [[423, 1132]], [[424, 1132]], [[425, 1131]], [[426, 1131]], [[427, 1131]], [[428, 1131]], [[429, 1131]], [[430, 1131]], [[431, 1131]], [[432, 1130]], [[433, 1130]], [[434, 1130]], [[435, 1129]], [[436, 1129]], [[437, 1129]], [[438, 1128]], [[439, 1127]], [[440, 1127]], [[440, 1126]], [[441, 1125]], [[442, 1124]], [[443, 1124]], [[444, 1125]], [[445, 1124]], [[446, 1124]], [[447, 1124]], [[447, 1123]], [[447, 1122]], [[448, 1121]], [[448, 1120]], [[447, 1119]], [[447, 1118]], [[447, 1117]], [[446, 1116]], [[447, 1115]], [[447, 1114]], [[447, 1113]], [[448, 1112]], [[448, 1111]], [[449, 1110]], [[449, 1109]], [[449, 1108]], [[450, 1107]], [[450, 1106]], [[450, 1105]], [[451, 1104]], [[450, 1103]], [[450, 1102]], [[450, 1101]], [[450, 1100]], [[450, 1099]], [[449, 1098]], [[448, 1097]], [[448, 1096]], [[448, 1095]], [[447, 1094]], [[446, 1094]], [[445, 1094]], [[444, 1094]], [[443, 1093]], [[442, 1093]], [[441, 1093]], [[440, 1093]], [[439, 1093]], [[438, 1092]], [[437, 1092]]]","[[], [[[435, 1083], [435, 1084], [435, 1085], [436, 1086], [437, 1087], [438, 1088], [438, 1089], [439, 1089], [440, 1090], [440, 1091], [441, 1091], [442, 1091], [443, 1092], [444, 1092], [445, 1092], [446, 1092], [447, 1093], [448, 1093], [449, 1093], [449, 1092], [448, 1092], [447, 1091], [446, 1091], [445, 1091], [444, 1091], [443, 1091], [442, 1091], [441, 1091], [440, 1090], [440, 1089], [439, 1088], [438, 1087], [438, 1086], [437, 1085], [436, 1085], [435, 1084]]]]","[[], 12]"
