,#frame,#ncm,center
0,262,170,"[744, 129]"
1,263,157,
2,264,155,
3,265,164,
4,266,161,
5,267,156,
6,268,155,
7,269,156,
8,270,161,
9,271,164,
10,272,169,
11,273,168,
12,274,165,
13,275,161,
14,276,156,
15,277,164,
16,278,162,
17,279,169,
18,280,168,
19,281,167,
20,282,168,
21,283,168,
22,284,159,
23,285,160,
24,286,154,
25,287,153,
26,288,152,
27,289,157,
28,290,150,
29,291,146,
30,292,155,
31,293,159,
32,294,158,
33,295,160,
34,296,156,
35,297,152,
36,298,157,
37,299,160,
38,300,157,
39,301,154,
40,302,159,
41,303,154,
42,304,148,
43,305,151,
44,306,159,
45,307,159,
46,308,149,
47,309,151,
48,310,150,
49,311,148,
50,312,142,
51,313,141,
52,314,146,
53,315,152,
54,316,149,
55,317,148,
56,318,148,
57,319,149,
58,320,158,
59,321,158,
60,322,152,
61,323,155,
62,324,153,
63,325,157,
64,326,158,
