,#frame,#ncm,center
0,17,70,"[561, 729]"
1,18,69,"[561, 729]"
2,19,67,"[562, 729]"
3,20,69,"[562, 729]"
4,21,69,"[562, 730]"
5,22,69,"[561, 730]"
6,23,71,"[561, 730]"
7,24,69,"[561, 730]"
8,25,70,"[562, 730]"
9,26,71,"[562, 731]"
10,27,70,"[562, 731]"
11,28,70,"[562, 732]"
12,29,70,"[562, 732]"
13,30,69,"[562, 732]"
14,31,68,"[563, 732]"
15,32,62,"[563, 733]"
16,33,61,"[563, 733]"
17,34,55,"[563, 733]"
18,35,55,"[563, 733]"
19,36,55,"[563, 734]"
20,37,57,"[563, 733]"
21,38,62,"[563, 733]"
22,39,61,
23,40,63,
24,41,,
25,42,63,
26,43,64,
27,44,64,
28,45,,
29,46,55,
30,47,49,
31,48,50,
