,#frame,#ncm,center
0,19,162,"[509, 116]"
1,20,162,"[508, 116]"
2,21,159,"[508, 116]"
3,22,159,"[509, 115]"
4,23,164,"[509, 115]"
5,24,165,"[510, 115]"
6,25,165,"[510, 115]"
7,26,168,"[511, 115]"
8,27,168,"[512, 114]"
9,28,167,"[512, 114]"
10,29,167,"[513, 114]"
11,30,169,"[515, 113]"
12,31,172,"[515, 113]"
13,32,176,"[517, 112]"
14,33,176,"[517, 112]"
15,34,162,"[518, 112]"
16,35,163,"[518, 112]"
17,36,159,"[518, 112]"
18,37,161,"[519, 112]"
19,38,172,"[519, 112]"
20,39,170,"[519, 111]"
21,40,170,"[519, 110]"
22,41,169,"[520, 110]"
23,42,172,"[521, 110]"
24,43,174,"[521, 111]"
25,44,173,"[521, 111]"
26,45,160,"[521, 112]"
27,46,154,"[521, 112]"
28,47,152,"[521, 113]"
29,48,154,"[521, 113]"
30,49,156,
31,50,158,
