,#frame,#ncm,#ncm2,center
0,221,113,,"[442, 437]"
1,222,107,,"[442, 437]"
2,223,108,,
3,224,103,,
4,225,101,102,
5,226,100,,
6,227,102,,
7,228,104,,
8,229,109,,
9,230,114,,
10,231,116,,
11,232,116,,
12,233,115,,
13,234,109,,
14,235,110,,
15,236,108,,
16,237,98,,
17,238,100,,
18,239,92,,
19,240,98,,
20,241,96,,
21,242,101,,
22,243,101,,
23,244,104,,
24,245,106,,
25,246,99,,
26,247,104,,
27,248,98,,
28,249,99,,
29,250,101,,
30,251,103,,
31,252,99,,
32,253,102,,
33,254,101,,
34,255,102,,
35,256,115,,
36,257,115,,
37,258,116,,
38,259,112,,
39,260,108,,
40,261,110,,
41,262,115,,
42,263,106,,
43,264,106,,
44,265,109,,
45,266,107,,
46,267,98,,
47,268,96,,
48,269,102,,
49,270,105,,
50,271,108,,
51,272,115,,
52,273,114,,
53,274,113,,
54,275,113,,
55,276,108,,
56,277,115,,
57,278,112,,
58,279,118,,
