,#frame,#ncm,center
0,501,183,"[522, 49]"
1,502,181,"[522, 50]"
2,503,168,
3,504,171,
4,505,172,
5,506,169,
6,507,168,
7,508,176,
8,509,180,
9,510,172,
10,511,174,
11,512,174,
12,513,176,
13,514,170,
14,515,170,
15,516,170,
16,517,168,
17,518,186,
18,519,187,
19,520,189,
20,521,181,
21,522,181,
22,523,179,
23,524,184,
24,525,184,
25,526,187,
26,527,180,
27,528,179,
28,529,180,
29,530,188,
30,531,199,
31,532,200,
32,533,210,
33,534,208,
34,535,209,
35,536,201,
36,537,196,
37,538,196,
38,539,193,
39,540,190,
40,541,191,
41,542,185,
42,543,192,
43,544,190,
44,545,184,
45,546,186,
46,547,186,
47,548,184,
48,549,191,
49,550,189,
50,551,188,
51,552,183,
52,553,176,
53,554,167,
54,555,165,
55,556,156,
