,#frame,#ncm,#ncm2,center
0,9,171,,"[309, 81]"
1,10,169,,
2,11,168,,
3,12,174,,
4,13,176,,
5,14,172,,
6,15,177,,
7,16,169,,
8,17,166,153,
9,18,164,151,
10,19,168,156,
11,20,169,157,
12,21,168,156,
13,22,168,156,
14,23,173,162,
15,24,176,163,
16,25,171,162,
17,26,175,165,
18,27,175,165,
19,28,172,,
20,29,172,,
21,30,174,,
22,31,177,,
23,32,180,,
24,33,180,,
25,34,166,,
26,35,169,,
27,36,164,,
28,37,165,,
29,38,176,,
30,39,175,,
31,40,173,,
32,41,172,,
33,42,174,164,
34,43,176,166,
35,44,175,165,
36,45,161,152,
37,46,155,146,
38,47,153,144,
39,48,155,146,
40,49,158,149,
41,50,160,,
42,51,153,,
43,52,158,,
44,53,160,,
45,54,159,,
46,55,153,,
47,56,155,,
