,#frame,#ncm,center
0,432,126,"[210, 195]"
1,433,128,
2,434,125,
3,435,127,
4,436,137,
5,437,141,
6,438,136,
7,439,132,
8,440,136,
9,441,141,
10,442,141,
11,443,149,
12,444,144,
13,445,145,
14,446,150,
15,447,147,
16,448,156,
17,449,155,
18,450,149,
19,451,151,
20,452,145,
21,453,156,
22,454,160,
23,455,162,
24,456,157,
25,457,155,
26,458,154,
27,459,141,
28,460,146,
29,461,145,
30,462,141,
31,463,146,
32,464,142,
33,465,143,
34,466,150,
35,467,146,
36,468,156,
37,469,153,
38,470,146,
39,471,147,
40,472,151,
41,473,147,
42,474,148,
43,475,148,
