,#frame,#ncm,center
0,8,122,"[130, 386]"
1,9,122,
2,10,121,
3,11,123,
4,12,125,
5,13,128,
6,14,124,
7,15,131,
8,16,126,
9,17,120,
10,18,119,
11,19,121,
12,20,124,
13,21,123,
14,22,121,
15,23,124,
16,24,129,
17,25,131,
18,26,134,
19,27,133,
20,28,136,
21,29,137,
22,30,,
23,31,,
24,32,,
25,33,,
26,34,,
27,35,,
28,36,,
29,37,,
30,38,137,
31,39,136,
32,40,134,
33,41,133,
34,42,,
35,43,134,
36,44,135,
37,45,123,
38,46,117,
39,47,113,
40,48,116,
41,49,119,
42,50,120,
43,51,115,
44,52,117,
45,53,120,
46,54,117,
47,55,112,
48,56,114,
49,57,112,
50,58,119,
51,59,119,
52,60,122,
53,61,123,
54,62,124,
55,63,122,
