,#frame,#ncm,center
0,3,6,"[464, 1083]"
1,4,7,"[463, 1083]"
2,5,7,"[463, 1083]"
3,6,8,"[463, 1084]"
4,7,10,"[463, 1085]"
5,8,12,"[463, 1085]"
6,9,12,"[462, 1086]"
7,10,10,"[462, 1086]"
8,11,9,"[461, 1087]"
9,12,11,"[461, 1087]"
10,13,11,"[460, 1088]"
11,14,9,"[460, 1088]"
12,15,9,"[458, 1088]"
13,16,9,"[458, 1088]"
14,17,10,"[456, 1089]"
15,18,10,"[456, 1089]"
16,19,10,"[454, 1090]"
17,20,11,"[454, 1090]"
18,21,11,
19,22,11,
20,23,10,
21,24,10,
22,25,11,
23,26,11,
