,#frame,#ncm,#ncm2,center
0,19,28,,"[143, 950]"
1,20,29,,"[143, 949]"
2,21,29,,"[143, 949]"
3,22,31,,
4,23,31,,
5,24,31,,
6,25,32,,
7,26,34,,
8,27,33,,
9,28,36,,
10,29,38,,
11,30,35,,
12,31,36,,
13,32,32,,
14,33,31,,
15,34,27,,
16,35,28,,
17,36,29,,
18,37,29,,
19,38,30,,
20,39,26,30,
21,40,25,30,
22,41,25,30,
23,42,24,28,
24,43,26,30,
25,44,25,29,
26,45,,26,
27,46,,28,
28,47,,26,
29,48,,27,
30,49,22,30,
31,50,24,32,
32,51,,27,
33,52,,28,
34,53,,32,
35,54,,32,
36,55,,30,
37,56,,29,
38,57,,,
39,58,,30,
40,59,,,
41,60,,,
42,61,,,
43,62,,,
44,63,,,
45,64,,34,
46,65,,28,
47,66,,32,
48,67,,33,
49,68,,32,
50,69,,33,
51,70,,29,
52,71,,27,
53,72,,27,
54,73,,27,
55,74,,28,
56,75,,26,
57,76,,22,
58,77,,24,
59,78,,29,
60,79,,29,
61,80,,33,
62,81,,35,
63,82,,34,
64,83,,35,
65,84,,30,
66,85,,27,
67,86,,26,
68,87,,28,
69,88,,27,
70,89,,24,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
