,#frame,#ncm,#ncm2,center
0,557,110,,"[512, 378]"
1,558,109,,"[512, 379]"
2,559,115,,"[512, 379]"
3,560,119,,"[512, 379]"
4,561,114,,
5,562,115,,
6,563,112,,
7,564,120,,
8,565,120,,
9,566,123,,
10,567,120,,
11,568,123,,
12,569,120,,
13,570,122,,
14,571,116,,
15,572,119,,
16,573,116,,
17,574,117,,
18,575,116,,
19,576,115,,
20,577,118,,
21,578,113,,
22,579,110,,
23,580,107,,
24,581,110,,
25,582,112,,
26,583,112,,
27,584,112,113,
28,585,112,,
29,586,110,113,
30,587,116,118,
31,588,117,119,
32,589,,117,
33,590,,115,
34,591,,114,
35,592,,112,
36,593,,114,
37,594,,116,
38,595,,119,
39,596,,121,
40,597,,124,
41,598,,124,
42,599,,122,
43,600,,128,
44,601,,124,
45,602,,127,
46,603,,127,
47,604,,120,
