,#frame,#ncm,#ncm2,center
0,446,86,,"[402, 568]"
1,447,86,,
2,448,92,,
3,449,97,,
4,450,88,,
5,451,89,,
6,452,88,,
7,453,96,,
8,454,99,,
9,455,98,,
10,456,99,,
11,457,96,,
12,458,98,,
13,459,88,,
14,460,91,,
15,461,89,,
16,462,90,,
17,463,92,,
18,464,91,,
19,465,94,,
20,466,94,,
21,467,92,,
22,468,98,,
23,469,95,,
24,470,93,,
25,471,92,,
26,472,96,,
27,473,92,,
28,474,94,,
29,475,91,,
30,476,83,,
31,477,83,,
32,478,87,,
33,479,83,,
34,480,83,,
35,481,83,,
36,482,79,,
37,483,82,,
38,484,81,,
39,485,85,,
40,486,86,,
41,487,83,,
42,488,84,,
43,489,89,,
44,490,85,,
45,491,85,,
46,492,81,,
47,493,82,,
48,494,84,,
49,495,83,,
50,496,81,,
51,497,79,,
52,498,79,,
53,499,78,77,
54,500,78,81,
