,#frame,#ncm,center
0,7,23,"[64, 992]"
1,8,26,"[64, 992]"
2,9,28,"[65, 993]"
3,10,25,"[65, 993]"
4,11,26,"[66, 995]"
5,12,25,"[66, 995]"
6,13,24,"[67, 995]"
7,14,24,"[67, 995]"
8,15,26,"[66, 995]"
9,16,23,"[66, 995]"
10,17,25,"[67, 996]"
11,18,24,"[67, 996]"
12,19,23,"[67, 996]"
13,20,24,"[67, 996]"
14,21,,
15,22,,
16,23,26,
17,24,27,
18,25,28,
19,26,28,
20,27,27,
21,28,31,
22,29,32,
23,30,29,
24,31,30,
25,32,25,
26,33,24,
27,34,22,
28,35,22,
29,36,22,
30,37,21,
31,38,22,
32,39,21,
33,40,20,
34,41,21,
35,42,20,
36,43,22,
37,44,21,
