,#frame,#ncm,center
0,17,140,"[65, 253]"
1,18,138,"[65, 253]"
2,19,143,
3,20,144,
4,21,142,
5,22,141,
6,23,146,
7,24,148,
8,25,147,
9,26,152,
10,27,151,
11,28,155,
12,29,155,
13,30,152,
14,31,155,
15,32,159,
16,33,158,
17,34,145,
18,35,147,
19,36,145,
20,37,148,
21,38,158,
22,39,156,
23,40,154,
24,41,154,
25,42,152,
26,43,155,
27,44,155,
28,45,142,
29,46,135,
30,47,131,
31,48,132,
32,49,135,
33,50,138,
34,51,133,
35,52,137,
36,53,142,
37,54,141,
38,55,135,
39,56,137,
40,57,131,
41,58,138,
42,59,136,
43,60,138,
44,61,138,
45,62,141,
46,63,,
47,64,,
48,65,,
49,66,140,
50,67,140,
51,68,144,
