,#frame,#ncm,center
0,406,184,"[406, 60]"
1,407,177,
2,408,174,
3,409,175,
4,410,175,
5,411,174,
6,412,173,
7,413,163,
8,414,166,
9,415,153,
10,416,152,
11,417,151,
12,418,156,
13,419,157,
14,420,152,
15,421,149,
16,422,144,
17,423,146,
18,424,153,
19,425,154,
20,426,152,
21,427,145,
22,428,159,
23,429,160,
24,430,152,
25,431,149,
26,432,147,
27,433,148,
28,434,144,
29,435,146,
30,436,156,
31,437,161,
32,438,156,
33,439,154,
34,440,158,
35,441,166,
36,442,165,
37,443,174,
38,444,168,
39,445,166,
40,446,170,
41,447,169,
42,448,177,
43,449,176,
44,450,171,
