,#frame,#ncm,#ncm2,center
0,112,164,,"[76, 126]"
1,113,167,,"[76, 126]"
2,114,165,,"[76, 125]"
3,115,167,,
4,116,166,,
5,117,156,,
6,118,164,,
7,119,169,,
8,120,168,,
9,121,165,,
10,122,163,,
11,123,158,,
12,124,165,,
13,125,164,161,
14,126,172,170,
15,127,170,167,
16,128,177,,
17,129,177,,
18,130,180,,
19,131,184,,
20,132,180,,
21,133,166,,
22,134,167,,
23,135,167,,
24,136,172,,
25,137,167,,
26,138,161,,
27,139,170,,
28,140,166,,
29,141,156,,
30,142,,,
31,143,162,,
32,144,161,,
33,145,162,,
34,146,156,,
35,147,161,,
36,148,163,,
37,149,164,,
38,150,165,,
39,151,164,,
40,152,161,,
41,153,166,,
42,154,165,,
43,155,162,,
44,156,163,,
45,157,163,,
