,Pore_id,#frame,pore_index_per_frame,pore_cordinate,ncm_index_per_frame,adj_id
508,365,27,112,"[[387, 143], [387, 144], [387, 145], [386, 146], [385, 146], [385, 147], [384, 148], [383, 149], [382, 150], [381, 150], [380, 150], [381, 151], [382, 151], [383, 152], [384, 153], [384, 154], [383, 155], [384, 155], [384, 154], [385, 153], [385, 152], [385, 151], [385, 150], [385, 149], [386, 148], [386, 147], [387, 146], [388, 146], [388, 145], [388, 144], [388, 143]]",22,[]
509,365,30,131,"[[366, 158], [365, 159], [364, 159], [364, 160], [363, 161], [362, 161], [362, 162], [361, 163], [361, 164], [360, 165], [360, 166], [360, 167], [359, 168], [358, 169], [358, 170], [358, 171], [358, 172], [358, 173], [359, 172], [359, 171], [359, 170], [360, 169], [360, 168], [360, 167], [361, 166], [362, 165], [363, 164], [363, 163], [364, 162], [364, 161], [365, 160], [365, 159]]",22,[]
510,365,31,116,"[[365, 159], [364, 160], [363, 160], [362, 161], [362, 162], [361, 163], [360, 164], [360, 165], [361, 166], [360, 167], [359, 168], [358, 169], [358, 170], [358, 171], [358, 172], [358, 173], [358, 172], [359, 171], [359, 170], [360, 169], [360, 168], [360, 167], [361, 166], [362, 165], [362, 164], [363, 163], [364, 162], [365, 161], [365, 160]]",22,[]
