,#frame,#ncm,center
0,47,111,"[188, 262]"
1,48,117,"[187, 261]"
2,49,118,"[187, 261]"
3,50,118,"[187, 261]"
4,51,117,"[187, 261]"
5,52,118,"[187, 261]"
6,53,117,"[187, 261]"
7,54,113,"[187, 261]"
8,55,112,"[187, 261]"
9,56,112,"[188, 261]"
10,57,117,"[188, 261]"
11,58,113,"[188, 261]"
12,59,109,"[188, 261]"
13,60,118,"[189, 261]"
14,61,121,"[189, 260]"
15,62,131,"[190, 260]"
16,63,131,"[190, 260]"
17,64,129,"[190, 260]"
18,65,,
19,66,,
20,67,,
21,68,,
22,69,,
23,70,,
24,71,,
25,72,,
26,73,125,
27,74,120,
28,75,120,
29,76,128,
