,#frame,#ncm,center
0,12,86,"[187, 459]"
1,13,85,"[187, 459]"
2,14,86,
3,15,91,
4,16,,
5,17,87,
6,18,82,
7,19,83,
8,20,81,
9,21,86,
10,22,92,
11,23,88,
12,24,92,
13,25,92,
14,26,90,
15,27,87,
16,28,84,
17,29,91,
18,30,89,
19,31,87,
20,32,87,
21,33,80,
22,34,83,
23,35,94,
24,36,96,
25,37,88,
26,38,87,
27,39,89,
28,40,89,
29,41,85,
30,42,87,
31,43,90,
32,44,90,
33,45,85,
34,46,84,
35,47,86,
36,48,87,
37,49,88,
38,50,90,
39,51,88,
40,52,90,
41,53,89,
42,54,83,
43,55,84,
44,56,85,
45,57,88,
46,58,85,
47,59,82,
48,60,92,
49,61,94,
50,62,98,
51,63,98,
52,64,97,
53,65,100,
54,66,102,
