,#frame,#ncm,#ncm2,center
0,257,114,,"[254, 412]"
1,258,115,,
2,259,116,,
3,260,115,,
4,261,112,,
5,262,104,,
6,263,103,,
7,264,108,,
8,265,111,,
9,266,106,,
10,267,105,,
11,268,109,,
12,269,104,,
13,270,104,,
14,271,103,,
15,272,92,,
16,273,93,,
17,274,99,,
18,275,100,,
19,276,111,,
20,277,110,,
21,278,109,,
22,279,101,,
23,280,104,,
24,281,108,,
25,282,100,,
26,283,107,,
27,284,106,,
28,285,105,,
29,286,106,,
30,287,95,,
31,288,96,,
32,289,106,,
33,290,101,,
34,291,101,,
35,292,97,,
36,293,96,,
37,294,96,,
38,295,106,,
39,296,96,99,
