,#frame,#ncm,#ncm2,center
0,148,120,,"[418, 349]"
1,149,121,,
2,150,118,,
3,151,122,,
4,152,119,,
5,153,120,,
6,154,122,,
7,155,128,,
8,156,131,,
9,157,132,,
10,158,129,,
11,159,130,,
12,160,133,,
13,161,118,,
14,162,117,,
15,163,118,,
16,164,119,,
17,165,121,,
18,166,121,,
19,167,119,,
20,168,110,,
21,169,117,,
22,170,117,118,
23,171,114,115,
24,172,116,117,
25,173,121,122,
26,174,117,119,
27,175,116,117,
28,176,118,120,
29,177,116,118,
30,178,115,117,
31,179,117,119,
32,180,117,119,
33,181,116,,
34,182,117,,
35,183,116,,
36,184,114,,
37,185,115,,
38,186,107,,
39,187,107,,
40,188,109,111,
41,189,110,112,
42,190,,111,
43,191,,110,
44,192,,106,
45,193,,103,
