,#frame,#ncm,center
0,239,162,"[145, 216]"
1,240,159,
2,241,155,
3,242,159,
4,243,158,
5,244,154,
6,245,145,
7,246,142,
8,247,144,
9,248,143,
10,249,144,
11,250,146,
12,251,137,
13,252,140,
14,253,126,
15,254,124,
16,255,123,
17,256,125,
18,257,137,
19,258,139,
20,259,136,
21,260,134,
22,261,130,
23,262,120,
24,263,120,
25,264,128,
26,265,132,
27,266,125,
28,267,123,
29,268,129,
30,269,125,
31,270,124,
32,271,124,
33,272,113,
34,273,113,
35,274,118,
36,275,118,
37,276,127,
38,277,126,
39,278,124,
40,279,117,
41,280,122,
42,281,127,
43,282,120,
