,#frame,#ncm,center
0,6,115,"[775, 308]"
1,7,112,"[775, 308]"
2,8,121,
3,9,121,"[775, 308]"
4,10,115,"[775, 308]"
5,11,114,"[775, 308]"
6,12,114,"[776, 308]"
7,13,114,"[776, 308]"
8,14,115,"[776, 308]"
9,15,119,"[776, 308]"
10,16,112,"[776, 308]"
11,17,113,"[776, 308]"
12,18,104,"[776, 308]"
13,19,104,"[776, 308]"
14,20,105,"[776, 308]"
15,21,106,"[776, 307]"
16,22,111,"[776, 307]"
17,23,109,"[776, 307]"
18,24,,
19,25,,
20,26,,
21,27,,
22,28,,
23,29,,
24,30,,
25,31,,
26,32,,
27,33,,
28,34,,
29,35,119,
30,36,121,
31,37,113,
32,38,113,
33,39,115,
34,40,114,
35,41,110,
36,42,113,
37,43,117,
