,#frame,#ncm,center
0,21,123,"[325, 151]"
1,22,128,"[325, 151]"
2,23,131,
3,24,132,
4,25,133,
5,26,128,
6,27,126,
7,28,122,
8,29,128,
9,30,126,
10,31,125,
11,32,127,
12,33,124,
13,34,126,
14,35,142,
15,36,143,
16,37,140,
17,38,138,
18,39,138,
19,40,137,
20,41,131,
21,42,138,
22,43,141,
23,44,143,
24,45,135,
25,46,134,
26,47,135,
27,48,139,
28,49,138,
29,50,137,
30,51,135,
31,52,136,
32,53,135,
33,54,133,
34,55,132,
35,56,131,
36,57,136,
37,58,134,
38,59,130,
39,60,138,
40,61,140,
41,62,150,
42,63,150,
43,64,147,
44,65,147,
45,66,150,
46,67,149,
47,68,147,
48,69,147,
49,70,151,
50,71,146,
51,72,148,
52,73,144,
53,74,140,
54,75,141,
55,76,149,
56,77,143,
57,78,144,
