,#frame,#ncm,center
0,25,119,"[696, 228]"
1,26,114,
2,27,113,
3,28,111,
4,29,117,
5,30,,
6,31,,
7,32,,
8,33,,
9,34,,
10,35,,
11,36,,
12,37,125,
13,38,124,
14,39,124,
15,40,123,
16,41,118,
17,42,124,
18,43,127,
19,44,127,
20,45,120,
21,46,117,
22,47,119,
23,48,123,
24,49,122,
25,50,122,
26,51,121,
27,52,122,
28,53,121,
29,54,117,
30,55,116,
31,56,116,
32,57,121,
33,58,119,
34,59,115,
35,60,126,
36,61,129,
37,62,139,
38,63,138,
39,64,136,
40,65,135,
41,66,138,
42,67,135,
43,68,134,
44,69,132,
45,70,137,
46,71,131,
47,72,134,
48,73,131,
49,74,126,
50,75,127,
51,76,135,
