,#frame,#ncm,center
0,50,84,"[74, 474]"
1,51,82,
2,52,85,
3,53,84,
4,54,79,
5,55,79,
6,56,81,
7,57,84,
8,58,81,
9,59,78,
10,60,88,
11,61,90,
12,62,95,
13,63,95,
14,64,95,
15,65,97,
16,66,98,
17,67,96,
18,68,94,
19,69,95,
20,70,99,
21,71,95,
22,72,97,
23,73,99,
24,74,93,
25,75,93,
26,76,100,
27,77,94,
28,78,94,
29,79,103,
30,80,103,
31,81,105,
32,82,105,
33,83,100,
34,84,105,
35,85,103,
36,86,104,
37,87,90,
38,88,93,
39,89,98,
40,90,91,
41,91,88,
42,92,92,
43,93,95,
44,94,97,
45,95,,
46,96,,
47,97,,
48,98,,
49,99,,
50,100,,
51,101,,
52,102,,
53,103,,
54,104,84,
55,105,85,
