,#frame,#ncm,center
0,121,119,"[239, 280]"
1,122,111,
2,123,120,
3,124,117,
4,125,112,
5,126,119,
6,127,119,
7,128,116,
8,129,118,
9,130,113,
10,131,113,
11,132,122,
12,133,124,
13,134,121,
14,135,122,
15,136,127,
16,137,120,
17,138,116,
18,139,122,
19,140,109,
20,141,115,
21,142,111,
22,143,108,
23,144,117,
24,145,119,
25,146,124,
26,147,129,
27,148,132,
28,149,132,
29,150,128,
30,151,130,
31,152,127,
32,153,126,
33,154,128,
34,155,134,
35,156,137,
36,157,138,
37,158,134,
38,159,134,
39,160,137,
40,161,122,
41,162,121,
42,163,123,
43,164,124,
44,165,126,
45,166,126,
46,167,123,
47,168,114,
