,#frame,#ncm,#ncm2,#ncm3,#ncm4,center
0,12,128,,,,"[747, 199]"
1,13,128,,,,
2,14,129,,,,
3,15,134,,,,
4,16,126,,,,
5,17,126,,,,
6,18,118,116,,,
7,19,117,,,,
8,20,118,,,,
9,21,116,,,,
10,22,121,,,,
11,23,122,,,,
12,24,122,,,,
13,25,123,,,,
14,26,118,,,,
15,27,114,,,,
16,28,112,,,,
17,29,118,,,,
18,30,117,,,,
19,31,116,,,,
20,32,118,,,,
21,33,115,,,,
22,34,116,,,,
23,35,129,,,,
24,36,131,,,,
25,37,127,,,,
26,38,126,,,,
27,39,126,,,,
28,40,125,,,,
29,41,120,,,,
30,42,127,,,,
31,43,130,,,,
32,44,131,,,,
33,45,123,,,,
34,46,120,,,,
35,47,122,,,,
36,48,127,,,,
37,49,126,,,,
38,50,125,,,,
39,51,124,,,,
40,52,125,,,,
41,53,124,,,,
42,54,120,,,,
43,55,119,,,,
44,56,119,,,,
45,57,124,,,,
46,58,122,,,,
47,59,118,,,,
48,60,127,,,,
49,61,130,,,,
50,62,140,,,,
51,63,139,,,,
52,64,139,,,,
53,65,139,,,,
54,66,141,,,,
55,67,138,,,,
56,68,137,,,,
57,69,136,,134,,
58,70,141,,139,,
59,71,136,,134,,
60,72,133,,,138,
61,73,130,,,135,
62,74,124,,,130,
63,75,126,,,130,
64,76,134,,,138,
65,77,132,,,,
66,78,133,,,,
67,79,139,,,,
68,80,141,,,,
69,81,142,,,,
70,82,148,,,,
71,83,146,,,,
72,84,151,,,,
73,85,153,,,,
74,86,155,,,,
75,87,138,,,,
76,88,142,,,,
77,89,143,,,,
78,90,140,,,,
79,91,138,,,,
80,92,134,,,,
81,93,137,,,,
82,94,136,,,,
83,95,135,,,,
84,96,131,,,,
85,97,124,,,,
86,98,119,,,,
87,99,120,,,,
88,100,120,,,,
89,101,117,,,,
90,102,120,,,,
91,103,121,,,,
92,104,122,,,,
93,105,123,,,,
94,106,125,,,,
95,107,125,,,,
96,108,124,,,,
97,109,122,,,,
98,110,123,,,,
99,111,121,,,,
100,112,120,,,,
101,113,128,,,,
102,114,118,,,,
