,#frame,#ncm,center
0,52,92,"[274, 439]"
1,53,91,"[274, 440]"
2,54,85,
3,55,85,
4,56,86,
5,57,89,
6,58,86,
7,59,84,
8,60,95,
9,61,97,
10,62,103,
11,63,103,
12,64,102,
13,65,104,
14,66,106,
15,67,103,
16,68,101,
17,69,101,
18,70,106,
19,71,102,
20,72,102,
21,73,103,
22,74,97,
23,75,97,
24,76,104,
25,77,99,
26,78,99,
27,79,109,
28,80,109,
29,81,111,
30,82,111,
31,83,109,
32,84,113,
33,85,111,
34,86,114,
35,87,101,
36,88,103,
37,89,106,
38,90,100,
39,91,97,
40,92,97,
41,93,100,
42,94,102,
43,95,101,
44,96,99,
45,97,92,
