,#frame,#ncm,center
0,54,65,"[451, 578]"
1,55,65,"[451, 578]"
2,56,67,"[451, 577]"
3,57,69,"[452, 577]"
4,58,69,"[453, 577]"
5,59,66,"[453, 577]"
6,60,74,"[454, 577]"
7,61,76,"[454, 577]"
8,62,83,"[455, 577]"
9,63,83,"[455, 577]"
10,64,83,"[455, 577]"
11,65,83,"[456, 578]"
12,66,85,"[456, 578]"
13,67,86,"[457, 578]"
14,68,85,"[457, 578]"
15,69,80,"[457, 578]"
16,70,84,"[458, 578]"
17,71,82,"[458, 578]"
18,72,84,"[459, 578]"
19,73,86,"[461, 578]"
20,74,80,
21,75,82,
22,76,88,
23,77,83,
24,78,82,
25,79,89,
26,80,89,
27,81,89,
28,82,89,
29,83,86,
30,84,90,
31,85,89,
32,86,91,
33,87,79,
34,88,80,
35,89,86,
36,90,79,
37,91,75,
38,92,78,
39,93,82,
40,94,80,
41,95,81,
42,96,79,
