,#frame,#ncm,center
0,270,134,"[599, 159]"
1,271,133,
2,272,120,
3,273,120,
4,274,125,
5,275,124,
6,276,136,
7,277,135,
8,278,132,
9,279,124,
10,280,128,
11,281,132,
12,282,126,
13,283,135,
14,284,134,
15,285,132,
16,286,132,
17,287,119,
18,288,121,
19,289,133,
20,290,129,
21,291,127,
22,292,123,
23,293,120,
24,294,121,
25,295,,
26,296,,
27,297,,
28,298,,
29,299,,
30,300,,
31,301,,
32,302,,
33,303,129,
34,304,119,
35,305,125,
36,306,130,
37,307,129,
38,308,138,
39,309,142,
40,310,143,
41,311,143,
42,312,141,
43,313,134,
44,314,135,
45,315,136,
46,316,141,
47,317,141,
48,318,137,
49,319,143,
50,320,141,
51,321,141,
52,322,142,
53,323,140,
54,324,135,
55,325,137,
56,326,141,
57,327,140,
58,328,138,
59,329,,
60,330,,
61,331,,
62,332,,
63,333,,
64,334,,
65,335,,
66,336,,
67,337,153,
68,338,155,
69,339,153,
70,340,158,
71,341,164,
72,342,157,
73,343,156,
74,344,151,
75,345,149,
76,346,151,
77,347,148,
78,348,146,
79,349,143,
80,350,145,
81,351,140,
82,352,148,
83,353,152,
84,354,157,
85,355,155,
86,356,153,
87,357,155,
88,358,150,
89,359,150,
90,360,145,
91,361,148,
92,362,144,
93,363,146,
94,364,147,
95,365,145,
96,366,140,
97,367,141,
98,368,148,
99,369,143,
100,370,141,
101,371,146,
102,372,143,
103,373,135,
104,374,135,
105,375,126,
106,376,126,
107,377,133,
108,378,134,
109,379,138,
110,380,141,
111,381,143,
112,382,139,
113,383,146,
114,384,147,
115,385,152,
116,386,151,
117,387,140,
118,388,142,
