,#frame,#ncm,#ncm2,center
0,29,78,,"[33, 513]"
1,30,76,,"[33, 512]"
2,31,76,,
3,32,76,,
4,33,67,,
5,34,70,,
6,35,83,,
7,36,84,,
8,37,80,,
9,38,78,,
10,39,80,,
11,40,80,,
12,41,77,,
13,42,79,,
14,43,82,,
15,44,81,,
16,45,77,,
17,46,76,,
18,47,78,,
19,48,80,,
20,49,81,,
21,50,81,,
22,51,79,,
23,52,82,,
24,53,81,,
25,54,76,,
26,55,76,,
27,56,78,,
28,57,81,,
29,58,78,,
30,59,75,,
31,60,82,,
32,61,84,,
33,62,91,,
34,63,91,,
35,64,91,,
36,65,93,,
37,66,94,,
38,67,92,,
39,68,90,,
40,69,89,,
41,70,93,,
42,71,88,,
43,72,90,,
44,73,92,,
45,74,86,,
46,75,86,,
47,76,93,92,
