,#frame,#ncm,center
0,2,80,"[675, 502]"
1,3,80,"[675, 502]"
2,4,88,"[676, 502]"
3,5,82,"[676, 502]"
4,6,83,"[676, 501]"
5,7,80,"[677, 501]"
6,8,86,"[677, 500]"
7,9,87,"[678, 499]"
8,10,79,"[678, 499]"
9,11,77,"[678, 498]"
10,12,80,"[678, 496]"
11,13,79,"[678, 495]"
12,14,82,"[677, 494]"
13,15,87,"[677, 494]"
14,16,83,"[677, 493]"
15,17,83,"[678, 493]"
16,18,76,"[678, 493]"
17,19,77,"[678, 492]"
18,20,75,"[678, 492]"
19,21,79,"[679, 491]"
20,22,84,"[679, 491]"
21,23,80,"[679, 489]"
22,24,83,"[679, 489]"
23,25,85,"[679, 487]"
24,26,83,"[679, 487]"
25,27,78,"[679, 486]"
26,28,74,"[679, 485]"
27,29,81,"[680, 484]"
28,30,78,"[680, 484]"
