,#frame,#ncm,center
0,268,134,"[651, 184]"
1,269,130,"[652, 184]"
2,270,129,
3,271,130,
4,272,118,
5,273,118,
6,274,123,
7,275,123,
8,276,133,
9,277,133,
10,278,129,
11,279,120,
12,280,125,
13,281,130,
14,282,124,
15,283,133,
16,284,132,
17,285,129,
18,286,130,
19,287,116,
20,288,118,
21,289,131,
22,290,127,
23,291,125,
24,292,121,
25,293,117,
26,294,118,
27,295,,
28,296,,
29,297,,
30,298,,
31,299,,
32,300,,
33,301,,
34,302,,
35,303,127,
36,304,117,
37,305,123,
38,306,127,
39,307,126,
40,308,136,
41,309,138,
42,310,139,
43,311,139,
44,312,139,
45,313,131,
46,314,132,
47,315,133,
48,316,140,
49,317,140,
