,#frame,#ncm,center
0,300,99,"[197, 367]"
1,301,105,
2,302,106,
3,303,109,
4,304,99,
5,305,105,
6,306,109,
7,307,109,
8,308,116,
9,309,117,
10,310,118,
11,311,119,
12,312,119,
13,313,112,
14,314,109,
15,315,109,
16,316,111,
17,317,110,
18,318,108,
19,319,113,
20,320,111,
21,321,111,
22,322,113,
23,323,113,
24,324,108,
25,325,108,
26,326,112,
27,327,112,
28,328,110,
29,329,107,
30,330,104,
31,331,,
32,332,,
33,333,115,
34,334,119,
35,335,122,
36,336,119,
37,337,118,
38,338,122,
39,339,119,
40,340,124,
41,341,129,
42,342,124,
43,343,124,
44,344,,
45,345,,
46,346,118,
47,347,,
48,348,117,
49,349,113,
50,350,115,
51,351,110,
52,352,124,
53,353,125,
54,354,131,
55,355,129,
