,#frame,#ncm,#ncm2,center
0,12,33,,"[306, 918]"
1,13,31,,"[307, 917]"
2,14,32,,
3,15,34,,
4,16,34,,
5,17,34,30,
6,18,32,29,
7,19,31,26,
8,20,32,29,
9,21,37,31,
10,22,39,30,
11,23,37,30,
12,24,39,33,
13,25,38,,
14,26,36,,
15,27,34,,
16,28,32,,
17,29,33,,
18,30,32,,
19,31,31,,
20,32,31,,
21,33,28,,
22,34,29,,
23,35,30,,
24,36,32,,
25,37,33,,
26,38,33,,
27,39,34,,
28,40,33,,
29,41,32,,
30,42,34,,
31,43,36,,
32,44,34,,
33,45,35,,
34,46,33,,
35,47,33,,
36,48,31,,
37,49,31,,
38,50,31,,
39,51,31,,
40,52,32,,
41,53,30,,
42,54,28,,
43,55,27,,
44,56,,,
45,57,,,
46,58,,,
47,59,,,
48,60,,,
49,61,,,
50,62,,,
51,63,,,
52,64,,,
53,65,42,,
54,66,43,,
55,67,40,,
56,68,39,,
57,69,34,,
58,70,37,,
