,#frame,#ncm,center
0,58,103,"[658, 342]"
1,59,99,
2,60,108,
3,61,111,
4,62,117,
5,63,117,
6,64,116,
7,65,117,
8,66,119,
9,67,117,
10,68,118,
11,69,115,
12,70,119,
13,71,115,
14,72,118,
15,73,116,
16,74,111,
17,75,110,
18,76,118,
19,77,113,
20,78,114,
21,79,121,
22,80,124,
23,81,128,
24,82,134,
25,83,128,
26,84,132,
27,85,132,
28,86,135,
29,87,119,
30,88,125,
31,89,126,
32,90,124,
33,91,122,
34,92,119,
35,93,122,
36,94,121,
37,95,121,
38,96,119,
39,97,113,
40,98,106,
41,99,109,
42,100,108,
43,101,106,
44,102,106,
45,103,107,
46,104,108,
47,105,110,
48,106,111,
49,107,112,
50,108,109,
51,109,106,
52,110,107,
